score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1120000,Mahindra,Thar,LX D 4*4 MT HT,2021,Manual,Diesel,1,21318,69936
750000,Mahindra,XUV300,W6 1.5 Diesel,2021,Manual,Diesel,2,14663,38074
740000,Toyota,URBAN CRUISER,HIGH GRADE MT,2021,Manual,Petrol,1,14467,33186
659000,Maruti,Vitara Brezza,ZXI,2020,Manual,Petrol,1,12884,19936
649000,Hyundai,NEW I20,MAGNA 1.2 MT,2023,Manual,Petrol,1,12688,17326
630000,Toyota,Glanza,V CVT,2021,Automatic,Petrol,2,12317,23224
580000,Hyundai,Elite i20,ASTA 1.2  CVT,2018,Automatic,Petrol,1,11339,35194
575000,Maruti,Vitara Brezza,ZDI,2017,Manual,Diesel,1,11241,69797
560000,Maruti,S Cross,DELTA 1.3,2019,Manual,Diesel,2,10948,74712
550000,Honda,WR-V,1.2L I-VTEC VX MT,2019,Manual,Petrol,1,10753,52260
532000,Ford,Ecosport,TITANIUM 1.5L PETROL,2017,Manual,Petrol,1,10401,37779
500000,Maruti,Dzire,VXI,2020,Manual,Petrol,1,9775,69055
499000,Renault,TRIBER,RXL MT,2021,Manual,Petrol,1,9756,44496
480000,Honda,Amaze,1.5L I-DTEC E,2019,Manual,Diesel,1,9384,62515
480000,Volkswagen,Polo,TRENDLINE 1.0L,2021,Manual,Petrol,1,9384,65690
430000,Renault,TRIBER,RXT,2019,Manual,Petrol,1,8407,41075
425000,Renault,TRIBER,RXL MT,2019,Manual,CNG,2,8309,82561
385000,Maruti,Baleno,DELTA DIESEL 1.3,2017,Manual,Diesel,2,7527,93015
380000,Maruti,Baleno,ZETA PETROL 1.2,2016,Manual,Petrol,1,7429,57613
375000,Hyundai,NEW SANTRO,MAGNA,2020,Manual,Petrol,1,7331,33846
350000,Renault,Kwid,CLIMBER 1.0 (O),2022,Manual,Petrol,1,6843,25997
350000,Maruti,S PRESSO,VXI+,2020,Manual,Petrol,1,6843,57753
