score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1990000,Mahindra,XUV700,AX 7 LUXURY P AT 7 STR,2023,Automatic,Petrol,1,37878,18150
1861800,Toyota,Innova Crysta,2.7 ZX AT 7 STR,2022,Automatic,Petrol,1,35438,28249
1540000,Mahindra,XUV700,AX 5 D MT 5 STR,2024,Manual,Diesel,1,29312,17349
1431000,Mahindra,Thar,LX HARD TOP 4WD MT,2023,Manual,Diesel,1,27238,12791
1380000,Mahindra,Thar,LX D 4*4 MT HT,2023,Manual,Diesel,1,26267,11290
1319200,KIA,CARENS,PRESTIGE PLUS 1.5 PETROL IMT 7 STR,2023,Manual,Petrol,1,25110,14519
1301110,Hyundai,Creta,SX (O) 1.5 DIESEL,2021,Manual,Diesel,1,24765,79707
1300000,KIA,CARENS,PRESTIGE 1.5 DIESEL IMT 7 STR,2024,Manual,Diesel,1,24744,18033
1282500,Tata,NEXON,FEARLESS + SUNROOF DCA DUAL TONE 1.2 PETROL,2024,Automatic,Petrol,1,24411,13314
1275400,KIA,SELTOS,GTX PLUS DCT 1.4 PETROL,2021,Automatic,Petrol,1,24276,45050
1248520,Hyundai,Creta,S PLUS 1.4 TURBO DCT,2022,Automatic,Petrol,1,23764,66222
1215280,MG,HECTOR,SHARP 1.5 DCT PETROL,2020,Automatic,Petrol,1,23132,50569
1189000,Tata,Harrier,XZ 2.0L DARK EDITION,2020,Manual,Diesel,1,22632,54789
1161700,Hyundai,Creta,SX 1.5 PETROL,2022,Manual,Petrol,1,22112,57987
1158360,Mahindra,Thar,LX P 2WD AT HT,2023,Automatic,Petrol,1,22048,21936
1140954,Mahindra,XUV300,W8 (O) 1.5 DIESEL,2023,Manual,Diesel,1,21717,24091
1105000,KIA,SELTOS,HTX 1.5 PETROL,2022,Manual,Petrol,1,21033,23244
1100000,KIA,SELTOS,GTX PLUS DCT 1.4 PETROL,2019,Automatic,Petrol,1,20937,70898
1076000,Mahindra,Thar,LX PETROL HT 4WD AT,2021,Automatic,Petrol,1,20481,48397
1047000,Mahindra,Thar,LX PETROL HT 4WD AT,2021,Automatic,Petrol,1,19929,60072
1015000,Hyundai,Creta,E 1.5 PETROL,2023,Manual,Petrol,1,19320,7982
994500,Mahindra,Thar,LX HT PETROL 4WD MT,2021,Manual,Petrol,1,18929,30837
990000,Mahindra,XUV500,W11,2019,Manual,Diesel,1,18844,97149
983000,KIA,SELTOS,HTK 1.5 PETROL,2022,Manual,Petrol,1,18710,9945
980000,Mahindra,Thar,LX PETROL HT 4WD AT,2021,Automatic,Petrol,2,18653,46221
974000,Hyundai,VENUE,SX PLUS 1.0 TURBO DCT,2022,Automatic,Petrol,1,18539,8891
965000,Tata,NEXON,XZ PLUS LUXURY SUNROOF PETROL,2023,Manual,Petrol,1,18368,4183
951000,KIA,SONET,HTK PLUS 1.5,2022,Manual,Diesel,1,18101,89014
936580,Tata,NEXON,XZA PLUS LUXURY SUNROOF PETROL,2023,Automatic,Petrol,1,17827,9859
915000,KIA,SONET,HTK PLUS 1.0 IMT,2023,Manual,Petrol,1,17416,26698
895000,Hyundai,Creta,SX AT 1.6 PETROL,2019,Automatic,Petrol,1,17036,46196
879680,Maruti,XL6,ALPHA MT,2022,Manual,Petrol,1,16744,79302
870000,Mahindra,XUV300,W8 (O) 1.5 DIESEL,2021,Manual,Diesel,1,16560,58871
868500,Hyundai,Creta,S PLUS 1.4 DIESEL,2018,Manual,Diesel,1,16531,88345
839550,Hyundai,Creta,SX 1.6 DIESEL,2018,Manual,Diesel,1,18254,123073
839000,Hyundai,Creta,SX AT 1.6 PETROL,2019,Automatic,Petrol,2,15970,42697
837401,Honda,City,1.5L I-VTEC VX CVT,2020,Automatic,Petrol,1,15939,39918
832700,Mahindra,XUV300,W8 (O) 1.2 PETROL,2022,Manual,Petrol,1,15850,56993
827000,Hyundai,VENUE,SX PLUS 1.0 TURBO DCT,2021,Automatic,Petrol,1,15741,32118
823000,Honda,City,1.5L I-VTE V CVT,2020,Automatic,Petrol,1,15665,40000
806000,Hyundai,VENUE,SX PLUS 1.0 TURBO DCT,2019,Automatic,Petrol,1,15341,15232
800000,Tata,TIGOR, XZA CNG,2024,Automatic,CNG,1,15227,16026
799000,Mahindra,XUV300,W6 1.2 PETROL AMT,2022,Automatic,Petrol,1,15621,15411
785000,Hyundai,NEW I20,ASTA 1.0 GDI TURBO DCT,2021,Automatic,Petrol,1,15347,21143
779000,Hyundai,Creta,SX AT 1.6 PETROL,2019,Automatic,Petrol,2,15230,40204
776000,Ford,Ecosport,TITANIUM 1.5L PETROL,2021,Manual,Petrol,1,15171,34328
773122,Volkswagen,Vento,HIGHLINE PLUS 1.0L TSI AT,2021,Automatic,Petrol,1,15115,45412
773000,Tata,ALTROZ,XT DIESEL,2023,Manual,Diesel,1,15112,36917
771000,Hyundai,VENUE,SX 1.0 (O) TURBO IMT,2020,Manual,Petrol,1,15073,54129
770000,Hyundai,NEW I20,Sportz (O) 1.2,2024,Manual,Petrol,1,15054,7190
768320,Tata,TIGOR,XZ PLUS CNG,2024,Manual,CNG,1,15021,7989
767000,Honda,City,1.5L I-VTEC ZX CVT,2018,Automatic,Petrol,1,14995,55477
765330,KIA,SONET,HTK PLUS 1.0 DCT,2021,Automatic,Petrol,1,14962,41337
751750,Skoda,Rapid,AMBITION AT TSI,2021,Automatic,Petrol,1,14697,64882
749700,Tata,ALTROZ,XM PLUS CNG,2023,Manual,CNG,1,14657,13151
746000,Hyundai,Verna,1.6 VTVT SX,2019,Manual,Petrol,1,14584,33588
738000,Tata,ALTROZ,XZ PLUS I-TURBO PETROL,2023,Manual,Petrol,1,14428,20977
732000,Tata,ALTROZ,XZ PLUS I-TURBO PETROL,2021,Manual,Petrol,1,14311,18686
730410,Tata,Tiago,XTA CNG ,2024,Automatic,CNG,1,14280,27465
727000,Maruti,Baleno,ZETA PETROL 1.2,2024,Manual,Petrol,1,14213,5676
726000,Honda,City,1.5L I-VTEC VX CVT,2019,Automatic,Petrol,1,14193,58074
725000,Honda,City,1.5L I-VTEC V MT,2019,Manual,CNG,1,14174,57413
720000,Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT CNG,2024,Manual,CNG,1,14076,11546
718000,KIA,SONET,HTK PLUS 1.2,2020,Manual,Petrol,1,14037,33298
717360,Tata,ALTROZ,XM PLUS CNG,2023,Manual,CNG,1,14025,33947
713423,Hyundai,Verna,1.6 VTVT SX (O) AT,2017,Automatic,Petrol,2,13948,98276
704000,Jeep,Compass,LONGITUDE 2.0 DIESEL,2017,Manual,Diesel,2,13763,52909
683000,Maruti,Vitara Brezza,VDI,2018,Manual,Diesel,1,13353,32451
683000,Maruti,Baleno,ALPHA PETROL 1.2,2022,Manual,Petrol,2,13353,40278
673076,Hyundai,Creta,E PLUS 1.6 PETROL,2017,Manual,Petrol,1,13159,67914
670000,Skoda,Rapid,1.0 AMBITION TSI MT,2021,Manual,Petrol,1,13099,54039
670000,Maruti,Baleno,ZETA PETROL 1.2,2022,Manual,Petrol,1,13099,38586
661000,Maruti,Ciaz,DELTA 1.5 SHVS MT PETROL,2022,Manual,Petrol,1,12923,71319
647960,Maruti,Vitara Brezza,VXI AT SHVS,2020,Automatic,Petrol,2,12668,53877
640000,Tata,TIGOR,XZ PETROL,2023,Manual,Petrol,1,12512,16739
633000,Hyundai,NEW I20,SPORTZ 1.2 MT,2022,Manual,Petrol,1,12375,62225
627000,Tata,Tiago,XT CNG,2024,Manual,CNG,1,12258,22827
624000,Maruti,Baleno,ZETA PETROL 1.2,2021,Manual,Petrol,1,12199,32707
621690,Tata,NEXON,XZ PLUS PETROL,2019,Manual,Petrol,1,12154,63752
618000,Hyundai,NEW I20,SPORTZ 1.2 MT,2021,Manual,Petrol,1,12082,18200
617000,Maruti,Baleno,DELTA PETROL 1.2,2022,Manual,Petrol,1,12062,30670
610000,Maruti,Swift,VXI,2021,Manual,Petrol,1,11926,50235
610000,Renault,Duster,RXS CVT,2019,Automatic,Petrol,1,11926,72154
606000,Honda,WR-V,1.2L I-VTEC VX MT,2018,Manual,Petrol,1,11847,30805
605000,Honda,Amaze,1.2L I-VTEC S,2022,Manual,Petrol,1,11828,36429
598000,Hyundai,Elite i20,SPORTZ PLUS 1.2,2020,Manual,Petrol,1,11691,52149
593880,Hyundai,Elite i20,SPORTZ PLUS 1.2,2020,Manual,Petrol,1,11610,59781
591000,Hyundai,Elite i20,MAGNA PLUS 1.2,2019,Manual,Petrol,1,11554,25190
590000,Maruti,Swift,VXI,2023,Manual,Petrol,1,11535,70285
590000,Maruti,Eeco,5 STR AC CNG,2023,Manual,CNG,1,11535,37216
585000,Tata,ALTROZ,XM PLUS PETROL,2021,Manual,CNG,1,11437,58888
