score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
3775000,Audi,Q5,35 TDI PREMIUM PLUS,2018,Automatic,Diesel,1,71854,27420
2464000,Toyota,Innova Crysta,2.7 ZX AT 7 STR,2022,Automatic,Petrol,1,46900,15534
2354000,Mahindra,XUV700,AX 7 LUXURY D AT 7 STR,2023,Automatic,Diesel,1,44806,16533
2034000,Mahindra,XUV700,AX 7 LUXURY P AT 7 STR,2021,Automatic,Petrol,2,38715,45885
1994000,Mahindra,SCORPIO-N,Z8 L PETROL AT 7 STR,2023,Automatic,Petrol,1,37954,20705
1960000,Mahindra,XUV700,AX 5 D MT 7 STR,2024,Manual,Diesel,1,37307,25587
1792000,Mahindra,SCORPIO-N,Z8 L PETROL MT 7 STR,2022,Manual,Petrol,1,34109,22510
1786000,Mahindra,SCORPIO-N,Z6 DIESEL AT 2WD 7 STR,2023,Automatic,Diesel,1,33995,15479
1632000,KIA,SELTOS,GTX PLUS 1.5 DIESEL AT,2022,Automatic,Diesel,1,31064,12700
1548000,Tata,Safari,XMA,2022,Automatic,Diesel,1,29465,51585
1525000,MG,HECTOR PLUS,SHARP 1.5 PETROL TURBO CVT 6-STR,2021,Automatic,Petrol,1,29027,40705
1505000,Hyundai,Creta,SX (O) 1.5 DIESEL,2022,Manual,Diesel,2,28646,41393
1485000,MG,ASTOR,SAVVY 1.3 TURBO AT S RED,2022,Automatic,Petrol,1,28266,29052
1451000,Mahindra,XUV700,MX D MT 5 STR,2023,Manual,Diesel,1,27618,32566
1420000,KIA,CARENS,LUXURY PLUS 1.4 PETROL 7 STR,2022,Manual,Petrol,1,27028,38716
1419000,KIA,SELTOS,HTX IVT 1.5 PETROL,2022,Automatic,Petrol,1,27009,19664
1417000,MG,ASTOR,SAVVY 1.5 CVT S RED,2022,Automatic,Petrol,1,26971,16915
1407000,Hyundai,Creta,SX (O) 1.4 TURBO DCT,2021,Automatic,Petrol,1,26781,47079
1403000,Skoda,KUSHAQ,STYLE 1.0L TSI AT,2022,Automatic,Petrol,1,26705,20805
1395000,KIA,SELTOS,X LINE 1.5 DIESEL AT,2022,Automatic,Diesel,2,26553,44985
1394000,MG,HECTOR,SMART 1.5 PETROL CVT,2021,Automatic,Petrol,1,26534,24524
1380800,Maruti,Grand Vitara,ALPHA SMART HYBRID,2023,Manual,Petrol,1,26282,36420
1375000,KIA,SELTOS,GTX PLUS DCT 1.4 PETROL,2022,Automatic,Petrol,1,26172,46247
1359000,MG,HECTOR PLUS,SHARP 1.5 PETROL TURBO DCT 6-STR,2020,Automatic,Petrol,1,25867,76179
1351000,Hyundai,Creta,SX (O) IVT 1.5 PETROL,2020,Automatic,Petrol,1,25715,56517
1326000,KIA,SELTOS,HTX ANNIVERSARY EDITION 1.5 DIESEL,2020,Manual,Diesel,1,25239,45103
1319000,Skoda,SLAVIA,STYLE 1.0L TSI AT,2022,Automatic,Petrol,1,25106,24676
1316000,KIA,SELTOS,GTX PLUS DCT 1.4 PETROL,2020,Automatic,Petrol,1,25049,34667
1279000,MG,HECTOR,SHARP 1.5 DCT PETROL,2020,Automatic,Petrol,1,24345,35389
