score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1380000,Mahindra,Thar,LX D AT 4WD HT,2022,Automatic,Diesel,2,26267,75061
1300000,KIA,CARENS,LUXURY PLUS 1.5 DIESEL AT 6 STR,2022,Automatic,Diesel,1,24744,56645
1300000,Skoda,SLAVIA,STYLE 1.5L TSI DSG,2022,Automatic,Petrol,1,24744,5223
1249000,Skoda,KUSHAQ,STYLE 1.0L TSI AT,2022,Automatic,Petrol,1,23774,50742
1248000,Mahindra,Thar,LX D 4*4 MT HT,2022,Manual,Diesel,2,23755,41054
1230000,KIA,CARENS,PRESTIGE PLUS 1.5 PETROL DCT 7 STR,2023,Automatic,Petrol,1,23412,43777
1225000,KIA,SELTOS, HTX 1.5 PETROL MT,2023,Manual,Petrol,1,23317,31887
1076000,KIA,SONET,GTX PLUS 1.5,2022,Manual,Diesel,1,20481,25120
1075000,KIA,SELTOS,GTX PLUS 1.4 PETROL,2020,Manual,Petrol,1,20462,37998
1075000,Tata,NEXON,CREATIVE + SUNROOF 1.2 PETROL,2024,Manual,Petrol,1,20462,8462
1027000,Jeep,Compass,LIMITED 1.4 PETROL AT,2018,Automatic,Petrol,2,19548,54995
990000,Honda,City,1.5L I-VTEC V CVT 5TH GEN,2022,Automatic,Petrol,1,18844,22977
988000,Hyundai,VENUE,SX 1.5 (O) EXECUTIVE CRDI,2022,Manual,Diesel,1,18806,45471
960000,Tata,NEXON,XZA PLUS DIESEL DARK EDITION,2023,Automatic,Diesel,1,18273,16077
949000,Jeep,Compass,LIMITED (O) 1.4 PETROL AT,2018,Automatic,Petrol,1,18063,76020
945000,Hyundai,Verna,1.6 CRDI SX (O) AT,2020,Automatic,Diesel,2,17987,55299
941000,Hyundai,VENUE,SX PLUS 1.0 TURBO DCT,2022,Automatic,Petrol,1,17911,41599
935000,Hyundai,Creta,SX (O) 1.6 DIESEL,2019,Manual,Diesel,1,17797,61709
920000,Tata,NEXON,XZ PLUS SUNROOF DARK DIESEL,2023,Manual,Diesel,1,17511,19294
890000,MG,ASTOR,STYLE 1.5 MT,2023,Manual,Petrol,1,16940,3499
875000,Mahindra,XUV300,W8 (O) 1.5 DIESEL,2022,Manual,Diesel,1,16655,28880
864000,Tata,NEXON,XMA SUNROOF PETROL,2023,Automatic,Petrol,1,16445,36551
860000,Skoda,KUSHAQ,AMBITION 1.0L TSI MT,2021,Manual,Petrol,1,16369,21980
850000,Mahindra,XUV300,W8 (O) 1.2 PETROL AMT DUAL TONE,2021,Automatic,Petrol,2,16179,23559
845000,Mahindra,XUV500,W7,2018,Manual,Diesel,1,16084,80000
845000,KIA,SONET,HTK PLUS 1.0 TURBO PETROL IMT,2023,Manual,Petrol,1,16084,31298
830000,Tata,NEXON,XZ PLUS PETROL SUNROOF DARK EDITION,2023,Manual,Petrol,1,15798,36233
830000,Honda,City,1.5L I-VTEC VX CVT,2019,Automatic,Petrol,2,15798,22332
828000,Maruti,Ciaz,DELTA 1.5 SHVS MT PETROL,2023,Manual,Petrol,1,15760,33778
825000,Mahindra,XUV500,W5,2019,Manual,Diesel,1,15703,99966
825000,Hyundai,VENUE,SX 1.0 (O) TURBO IMT,2023,Manual,Petrol,1,15703,24029
820000,Volkswagen,VIRTUS,COMFORTLINE TSI 1.0 MT,2022,Manual,Petrol,1,15608,26747
808000,Hyundai,AURA,SX 1.2 (O),2023,Manual,Petrol,1,15380,45977
805000,Hyundai,VENUE,S (O) 1.2 KNIGHT EDITION,2023,Manual,Petrol,1,15322,25447
798000,Hyundai,Creta,E PLUS 1.4 DIESEL,2020,Manual,Diesel,1,17751,131007
790000,Hyundai,VENUE,S (O) 1.0 TURBO IMT,2022,Manual,Petrol,1,15445,27394
790000,Skoda,KUSHAQ,ACTIVE 1.0L TSI MT,2021,Manual,Petrol,1,15445,74418
771000,Mahindra,XUV500,W7,2018,Manual,Diesel,1,15073,91769
763000,Tata,TIGOR,XZ PLUS PETROL,2024,Manual,Petrol,1,14917,10480
760000,KIA,SONET,HTE 1.2,2024,Manual,Petrol,1,14858,17196
745000,Hyundai,NEW I20,ASTA 1.2 MT,2023,Manual,Petrol,1,14565,28252
740000,Renault,TRIBER,RXZ AMT,2024,Automatic,Petrol,1,14467,6649
735000,Maruti,Dzire,VXI CNG,2022,Manual,CNG,1,14369,56338
735000,Hyundai,NEW I20,ASTA (O) 1.2 MT,2023,Manual,Petrol,1,14369,29526
730000,Toyota,Innova,2.5 VX 8 STR,2015,Manual,Diesel,3,19224,90955
730000,Maruti,Vitara Brezza,ZXI,2021,Manual,Petrol,1,14272,58510
729000,Mahindra,XUV300,W4 1.2 PETROL,2023,Manual,Petrol,1,14252,11243
725000,Hyundai,NEW I20,ASTA 1.2 MT,2023,Manual,Petrol,1,14174,16004
722000,Maruti,Baleno,DELTA PETROL 1.2,2023,Manual,Petrol,1,14115,18020
