score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
11500000,Mercedes Benz,EQS,580 4MATIC,2022,Automatic,Electric,1,218892,12001
4975000,Landrover,Range Rover Evoque,2.0 DYNAMIC HSE TD4,2019,Automatic,Diesel,1,94695,44467
3900000,Mercedes Benz,S Class,S350 CDI,2014,Automatic,Diesel,1,127681,74512
3572340,Mercedes Benz,GLA Class,220d,2021,Automatic,Diesel,1,67996,73119
3500000,Mercedes Benz,A CLASS LIMOUSINE,A 200d,2022,Automatic,Diesel,1,66619,28644
3453000,BMW,5 Series,530d M Sport,2018,Automatic,Diesel,2,65725,49080
2600000,BMW,X3,X DRIVE 20D X-Line,2016,Automatic,Diesel,2,56530,114778
2600000,Jeep,Compass,LIMITED (O) 2.0 DIESEL 4X4 AT,2023,Automatic,Diesel,1,49489,11525
2250000,CITROEN,C5 AIRCROSS,FEEL,2021,Automatic,Diesel,2,42827,34335
2060000,MG,HECTOR PLUS,SAVVY PRO 1.5 TURBO CVT 7 STR,2023,Automatic,Petrol,1,39210,15049
1979000,Mahindra,XUV700,AX 7 LUXURY P AT 7 STR,2022,Automatic,Petrol,1,37668,49176
1837112,Hyundai,ALCAZAR,1.5 Signature (O) AE Turbo 7Str DCT,2023,Automatic,Petrol,1,34968,2225
1800000,CITROEN,C5 AIRCROSS,SHINE,2021,Automatic,Diesel,2,34261,45360
1780000,Hyundai,ALCAZAR,1.5 SIGNATURE (O) TURBO DCT 7,2023,Automatic,Petrol,1,33881,21247
1729000,Toyota,Innova Crysta,2.4 GX 8 STR,2021,Manual,Diesel,2,32910,49155
1700000,KIA,SELTOS,GTX PLUS DCT 1.4 PETROL,2023,Automatic,Petrol,1,32358,21248
1700000,KIA,SELTOS,GTX PLUS AT 1.5 DIESEL,2022,Automatic,Diesel,1,32358,87599
1650000,Volkswagen,VIRTUS,GT PIUS 1.5 TSI,2023,Manual,Petrol,1,31406,29115
1630000,Mahindra,XUV400,EL 7.2 KW,2023,Automatic,Electric,1,31026,2118
1600000,KIA,CARENS,LUXURY PLUS 1.5 DIESEL AT 6 STR,2022,Automatic,Diesel,1,30455,37280
1475000,MG,HECTOR PLUS,SHARP 1.5 PETROL TURBO HYBRID MT 6-STR,2021,Manual,Petrol,1,28075,27369
1471000,MG,ASTOR,SAVVY 1.5 CVT S RED,2023,Automatic,Petrol,1,27999,28513
1450000,MG,HECTOR,SHARP 1.5 DCT PETROL,2020,Automatic,Petrol,1,27599,44966
1450000,MG,HECTOR PLUS,SHARP 2.0 DIESEL TURBO MT 6-STR,2022,Manual,Diesel,1,31527,101254
1431000,KIA,SELTOS,HTX PLUS 1.5 DIESEL DUAL TONE,2022,Manual,Diesel,1,27238,54048
1420000,Hyundai,Creta,SX (O) 1.5 DIESEL,2022,Manual,Diesel,1,27028,62420
1408000,Hyundai,Creta,SX (O) IVT KNIGHT 1.5 PETROL,2022,Automatic,Petrol,1,26800,40675
1395555,Skoda,KUSHAQ,MONTE CARLO 1.0L TSI AT,2022,Automatic,Petrol,1,26563,18336
1377000,KIA,SELTOS,HTX PETROL 1.5,2023,Manual,Petrol,1,26210,8961
1357329,MG,HECTOR,SUPER 2.0 DIESEL,2021,Manual,Diesel,1,25836,45044
1357000,Hyundai,Creta,SX (O) IVT 1.5 PETROL,2021,Automatic,Petrol,1,25829,43955
1350000,Volkswagen,Phaeton,3.6L,2012,Automatic,Petrol,3,62921,56443
1350000,Hyundai,Creta,SX 1.5 PETROL,2023,Manual,Petrol,1,25696,20397
1350000,Mahindra,XUV500,W7 AT,2020,Automatic,Diesel,2,25696,39747
1332000,MG,ASTOR,Select 1.5 MT (Ivory),2024,Manual,Petrol,1,25353,7767
1300000,Honda,City,1.5L I-VTEC ZX CVT,2022,Automatic,Petrol,1,24744,42897
1268000,Volkswagen,VIRTUS,HIGHLINE TSI 1.0 MT,2023,Manual,Petrol,1,24135,5672
1251000,Maruti,Ertiga,ZXI+ AT SHVS,2023,Automatic,Petrol,1,23812,12147
1245000,KIA,CARENS, PRESTIGE 1.5 TURBO PETROL IMT 7 STR ,2023,Manual,Petrol,1,23697,8262
1239000,Hyundai,Creta,SX IVT 1.5 PETROL,2021,Automatic,Petrol,1,23583,16518
1231000,Mahindra,XUV500,W11 AT,2018,Automatic,Diesel,2,23431,94768
1222000,KIA,SELTOS,HTX IVT 1.5 PETROL,2021,Automatic,Petrol,1,23260,49240
1222000,KIA,SELTOS,HTX PLUS AT1.5 DIESEL,2019,Automatic,Diesel,1,23260,76441
1211000,MG,ASTOR,SHARP 1.5 MT,2023,Manual,Petrol,1,23050,18337
1211000,KIA,CARENS,PRESTIGE 1.4 PETROL 7 STR,2023,Manual,Petrol,1,23050,20633
1202000,KIA,SELTOS,GTX PLUS DCT 1.4 PETROL,2019,Automatic,Petrol,1,22879,63621
1200000,KIA,SELTOS,HTX 1.5 PETROL,2021,Manual,Petrol,1,22841,35948
1200000,Tata,NEXON EV,XZ PLUS LUX DARK EDITION,2022,Automatic,Electric,1,22841,32723
1145000,MG,HECTOR,SHARP 1.5 DCT PETROL,2020,Automatic,Petrol,2,21794,36681
1125000,MG,HECTOR,SHARP 1.5 DCT PETROL,2019,Automatic,Petrol,1,21413,80691
1122000,KIA,SONET,HTX 1.5 AT,2022,Automatic,Diesel,1,21356,42990
1113000,KIA,SELTOS,GTX PLUS 1.4 PETROL,2020,Manual,Petrol,1,21185,42203
1100000,Hyundai,New Elantra,2.0 SX AT PETROL,2019,Automatic,Petrol,1,20937,24305
1086000,Skoda,KUSHAQ,AMBITION 1.0L TSI MT,2023,Manual,Petrol,1,20671,8107
1065000,Mahindra,XUV300,W8 (O) 1.5 DIESEL AMT,2021,Automatic,Diesel,1,20271,87598
1064000,Volkswagen,TAIGUN,HIGHLINE 1.0 TSI MT,2022,Manual,Petrol,1,20252,31081
1050000,MG,ASTOR,SHARP 1.5 MT,2021,Manual,Petrol,1,19986,38533
1048000,Jeep,Compass,SPORT PLUS 1.4 PETROL,2019,Manual,Petrol,1,19948,17061
1040000,Skoda,SLAVIA,AMBITION 1.0L TSI MT,2022,Manual,Petrol,1,19795,33576
1037000,Jeep,Compass,LIMITED 2.0 DIESEL,2018,Manual,Diesel,2,19738,32489
1035000,Skoda,KUSHAQ,STYLE 1.0L TSI AT,2021,Automatic,Petrol,1,19700,46245
1028000,Skoda,KUSHAQ,AMBITION 1.0L TSI MT,2022,Manual,Petrol,1,19567,30169
1028000,KIA,SONET,GTX PLUS 1.5 AT,2020,Automatic,Diesel,1,19567,38586
1023000,Skoda,SLAVIA,Ambition Plus 1.0 TSI MT,2023,Manual,Petrol,1,19472,76567
1015000,MG,ASTOR,SUPER 1.5 MT,2022,Manual,Petrol,1,19320,17153
1005000,KIA,SONET,HTX 1.5 DIESEL IMT,2023,Manual,Diesel,1,19129,14110
1005000,KIA,SELTOS,GTX AT 1.4 PETROL,2019,Automatic,Petrol,2,19129,52156
990000,KIA,SONET,GTX PLUS 1.0 IMT DUAL TONE,2022,Manual,Petrol,1,18844,40781
981000,Tata,NEXON,XZ PLUS LUXURY SUNROOF PETROL,2023,Manual,Petrol,1,18672,7207
977000,Volkswagen,VIRTUS,HIGHLINE TSI 1.0 MT,2022,Manual,Petrol,1,18596,39461
975000,KIA,SELTOS,HTK 1.5 PETROL,2022,Manual,Petrol,1,18558,19994
969000,Skoda,KUSHAQ,AMBITION 1.0L TSI MT,2022,Manual,Petrol,1,18444,24882
966000,Hyundai,VENUE,SX 1.5 (O) EXECUTIVE CRDI,2022,Manual,Diesel,1,18387,62882
965000,KIA,SONET,GTX PLUS 1.5 AT,2020,Automatic,Diesel,1,18368,85304
962000,Tata,NEXON,XZA PLUS (PREMIUM) KAZIRANGA PETROL,2022,Automatic,Petrol,1,18311,24232
960000,Hyundai,NEW I20,ASTA (O) 1.2 AT,2022,Automatic,Petrol,1,18273,54788
956000,Honda,City,1.5L I-VTEC V MT 5TH GEN,2022,Manual,Petrol,1,18197,12951
950000,Tata,NEXON,XZA PLUS (O) PETROL DARK EDITION,2022,Automatic,Petrol,1,18082,41755
950000,Honda,City,1.5L I-VTEC V MT 5TH GEN,2021,Manual,Petrol,1,18082,29947
944000,Jeep,Compass,LIMITED 2.0 DIESEL,2018,Manual,Diesel,2,17968,66312
936000,KIA,SONET,GTX PLUS 1.5,2022,Manual,Diesel,2,17816,59720
933000,Maruti,Dzire,ZXi AMT,2024,Automatic,Petrol,1,17759,12868
921000,Toyota,Glanza,V AMT,2023,Automatic,Petrol,1,17530,23113
920000,Tata,PUNCH,Creative Dual Tone AMT Sunroof ,2024,Automatic,Petrol,1,17511,6930
900000,KIA,SELTOS,HTX 1.5 DIESEL,2020,Manual,Diesel,1,19568,103512
900000,Hyundai,VENUE,SX 1.0 TURBO IMT,2022,Manual,Petrol,2,17131,17973
884000,Tata,NEXON,XZA PLUS (HS) PETROL DARK EDITION,2022,Automatic,Petrol,1,16826,33082
883000,KIA,SONET,HTX 1.5,2021,Manual,Diesel,1,16807,93351
880000,Honda,City,1.5L I-DTEC ZX,2019,Manual,Diesel,1,16750,99294
879070,Mahindra,XUV500,W6,2018,Manual,Diesel,2,16732,75082
878000,Hyundai,VENUE,S(O) 1.2,2023,Manual,Petrol,1,16712,37227
878000,KIA,SONET,HTX ANNIVERSARY EDITION 1.0 IMT,2022,Manual,Petrol,1,16712,35965
872000,Volkswagen,TAIGUN,HIGHLINE 1.0 TSI MT,2021,Manual,Petrol,1,16598,24323
871000,Ford,Ecosport,TITANIUM 1.5L PETROL,2020,Manual,Petrol,1,16579,23896
869000,Hyundai,NEW I20,SPORTZ 1.2 IVT,2023,Automatic,Petrol,1,16541,39212
868000,Mahindra,XUV300,W6 1.2 PETROL AMT,2022,Automatic,Petrol,1,16522,14316
861000,Hyundai,NEW I20,ASTA (O) 1.2 MT,2023,Manual,Petrol,1,16388,16720
860000,Hyundai,Creta,SX AT 1.6 PETROL,2019,Automatic,Petrol,1,16369,68758
857000,Tata,NEXON,XZ PLUS (O) DIESEL DUAL TONE,2020,Manual,Diesel,1,16312,85987
850000,Maruti,S Cross,ZETA 1.5,2022,Manual,Petrol,1,16179,37718
850000,Tata,PUNCH, Accomplished AMT Sunroof ,2024,Automatic,Petrol,1,16179,4582
850000,Mahindra,MARAZZO,M6 8 STR,2019,Manual,Diesel,2,16179,52248
845000,KIA,SONET,GTX PLUS 1.0 DCT,2020,Automatic,Petrol,1,16084,65771
840000,Toyota,URBAN CRUISER,PREMIUM GRADE MT,2022,Manual,Petrol,1,15989,60057
838000,Hyundai,Creta,SX AT 1.6 PETROL,2019,Automatic,Petrol,2,15951,90004
834000,Hyundai,NEW I20,ASTA (O) 1.2 MT DUAL TONE,2022,Manual,Petrol,1,15874,35586
