score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1120000,Maruti,XL6,ALPHA PLUS MT,2022,Manual,Petrol,1,21318,68861
1110000,Skoda,SLAVIA,STYLE 1.0L TSI MT,2022,Manual,Petrol,1,21128,33243
1090000,Maruti,FRONX,ALPHA 1.0 TURBO MT,2023,Manual,Petrol,1,20747,15660
1065000,KIA,SELTOS,HTK PLUS 1.5,2021,Manual,Petrol,1,20271,11328
1040000,Tata,NEXON,XZA PLUS LUXURY SUNROOF PETROL,2023,Automatic,Petrol,1,19795,19324
1039000,Maruti,Grand Vitara,SIGMA SMART HYBRID,2023,Manual,Petrol,1,19776,14815
979000,Hyundai,Creta,SX AT 1.6 PETROL,2019,Automatic,Petrol,1,18634,25624
962000,Mahindra,XUV300,W6 1.5 Diesel,2023,Manual,Diesel,1,18311,20679
960000,KIA,SELTOS,HTK 1.5 PETROL,2022,Manual,Petrol,1,18273,29055
938000,Honda,City,1.5L I-VTE V CVT,2022,Automatic,Petrol,2,17854,58941
934000,Mahindra,XUV300,W8 (O) 1.2 PETROL AMT,2022,Automatic,Petrol,1,17778,31560
931000,Maruti,BREZZA,VXI,2024,Manual,Petrol,1,17721,5598
890000,KIA,SONET,HTX ANNIVERSARY EDITION 1.5,2022,Manual,Diesel,2,16940,60511
890000,Mahindra,XUV300,W6 1.2 PETROL,2023,Manual,Petrol,1,16940,15911
872000,Hyundai,VENUE,SX 1.5 (O) EXECUTIVE CRDI,2021,Manual,Diesel,1,16598,71443
865000,Mahindra,XUV300,W4 1.5 DIESEL,2023,Manual,Diesel,1,16464,34457
864000,Hyundai,VENUE,SX 1.5 CRDI,2020,Manual,Diesel,1,16445,86867
857000,Toyota,URBAN CRUISER,PREMIUM GRADE MT DUAL TONE,2021,Manual,Petrol,2,16312,26464
825000,KIA,SONET,HTX 1.5,2021,Manual,Diesel,1,15703,54116
815000,Honda,WR-V,1.2L I-VTEC VX MT,2021,Manual,Petrol,1,15513,27498
805000,Volkswagen,Vento,HIGHLINE PLUS 1.0L TSI AT,2020,Automatic,Petrol,1,15322,38268
788000,Hyundai,VENUE,SX PLUS 1.0 TURBO DCT,2019,Automatic,Petrol,1,15406,79620
780000,Hyundai,VENUE,SX 1.0 (O) TURBO IMT,2020,Manual,Petrol,1,15249,59324
771000,Hyundai,VENUE,SX 1.0 TURBO IMT,2021,Manual,Petrol,2,15073,53672
764000,Tata,NEXON,XZA PLUS DIESEL DARK EDITION,2021,Automatic,Diesel,2,14936,62561
757000,Tata,ALTROZ,XZ DIESEL,2023,Manual,Diesel,1,14799,35462
733000,Tata,NEXON,XMA SUNROOF PETROL,2022,Automatic,Petrol,1,14330,51544
722000,Tata,PUNCH,CREATIVE  iRA PACK MT,2022,Manual,Petrol,1,14115,46079
720000,Maruti,Baleno,DELTA 1.2 AGS,2023,Automatic,Petrol,1,14076,24046
711000,Maruti,Ciaz,DELTA DIESEL 1.3,2018,Manual,Diesel,1,13900,47027
705000,Mahindra,XUV300,W6 1.5 Diesel,2021,Manual,Diesel,2,13783,69789
701000,Volkswagen,Polo,HIGHLINE PLUS 1.0,2020,Manual,Petrol,1,13705,71880
694000,Hyundai,GRAND I10 NIOS,ASTA 1.2 KAPPA VTVT,2023,Manual,Petrol,1,13568,19078
691000,Renault,TRIBER,RXZ AMT,2022,Automatic,Petrol,1,13509,33193
684000,Honda,Amaze,1.2L I-VTEC VX,2021,Manual,Petrol,1,13372,35172
683000,Ford,Ecosport,TITANIUM + 1.5L PETROL AT,2019,Automatic,Petrol,2,13353,78605
680000,Renault,Duster,RXS 1.5 PETROL MT,2020,Manual,Petrol,1,13294,21867
678000,Tata,ALTROZ,XE PLUS DIESEL,2022,Manual,Diesel,1,13255,20446
674680,Renault,TRIBER,RXZ AMT,2021,Automatic,Petrol,1,13190,39643
646000,Tata,ALTROZ,XZ DIESEL,2021,Manual,Diesel,2,12629,61566
641000,Honda,Amaze,1.2L I-VTEC S,2020,Manual,Petrol,1,12532,47857
628000,Hyundai,GRAND I10 NIOS,SPORTZ AMT 1.2 KAPPA VTVT,2022,Automatic,Petrol,1,12278,58199
628000,Hyundai,GRAND I10 NIOS,ASTA AMT 1.2 KAPPA VTVT,2021,Automatic,Petrol,1,12278,67282
610000,Maruti,IGNIS,ZETA 1.2 AMT,2022,Automatic,Petrol,1,11926,34910
590000,Maruti,Baleno,ALPHA DIESEL 1.3,2017,Manual,Diesel,1,11535,77795
574000,Nissan,MAGNITE,XE,2023,Manual,Petrol,1,11222,6163
567000,Maruti,Baleno,DELTA PETROL 1.2,2020,Manual,Petrol,1,11085,30021
565000,Tata,ALTROZ,XM PLUS PETROL,2021,Manual,Petrol,1,11046,62817
553000,Maruti,Dzire,ZXI PLUS AMT,2018,Automatic,Petrol,1,10811,83261
549000,Renault,TRIBER,RXT,2022,Manual,Petrol,1,10733,37627
544000,Renault,TRIBER,RXZ,2021,Manual,Petrol,1,10635,33007
544000,Volkswagen,Vento,HIGHLINE PETROL AT,2016,Automatic,Petrol,2,10635,68572
526000,Ford,Ecosport,TITANIUM 1.5L DIESEL,2017,Manual,Diesel,2,10283,78519
519000,Renault,TRIBER,RXZ,2020,Manual,Petrol,1,10147,39630
512000,Maruti,Celerio X,ZXI (O) AMT,2021,Automatic,Petrol,1,10010,55682
506000,Ford,Ecosport,TITANIUM 1.5L PETROL AT,2016,Automatic,Petrol,1,9892,99005
503000,Volkswagen,Polo,TRENDLINE 1.0L,2021,Manual,Petrol,2,9834,26652
483000,Hyundai,NEW SANTRO,SPORTZ AMT,2021,Automatic,Petrol,1,9443,30069
476000,Tata,TIAGO NRG,PETROL,2019,Manual,Petrol,1,9306,47584
472000,Renault,Kwid,CLIMBER MT 1.0,2022,Manual,Petrol,1,9228,32657
471000,Hyundai,NEW SANTRO,SPORTZ MT,2020,Manual,Petrol,1,9208,22293
438000,Volkswagen,Vento,HIGHLINE 1.6 MPI,2016,Manual,Petrol,2,8563,95831
433000,Tata,Tiago,XZ PETROL,2019,Manual,Petrol,2,8465,65783
430000,Honda,Jazz,1.2L I-VTEC V AT,2015,Automatic,Petrol,2,9565,109865
405000,Maruti,Celerio,VXI,2021,Manual,Petrol,2,7918,63985
385000,Mahindra,Kuv100,K4 6 STR,2017,Manual,Petrol,1,7527,64720
384000,Maruti,Celerio,ZXI,2019,Manual,Petrol,2,7507,54490
374000,Renault,Kwid,RXT 0.8,2020,Manual,Petrol,1,7312,16257
362000,Honda,Brio,S MT,2017,Manual,Petrol,1,7077,59928
358000,Hyundai,i10,SPORTZ 1.1,2015,Manual,Petrol,1,7964,69066
356000,Maruti,Wagon R 1.0,VXI (O) AMT,2016,Automatic,Petrol,1,6960,45361
344000,Maruti,Swift,VDI,2013,Manual,Diesel,2,16193,75826
344000,Hyundai,Eon,ERA +,2018,Manual,Petrol,1,6725,46247
322000,Hyundai,Eon,MAGNA +,2017,Manual,Petrol,2,6295,38132
311000,Honda,Brio,VX MT,2015,Manual,Petrol,2,6918,48504
304000,Renault,Kwid,CLIMBER 1.0 AMT,2018,Automatic,Petrol,2,5943,69967
298000,Hyundai,Eon,ERA +,2016,Manual,Petrol,1,5826,54608
297200,Maruti,Alto,VXI,2020,Manual,Petrol,1,5810,93915
272000,Datsun,Go Plus,T (O),2016,Manual,Petrol,1,5318,53714
202000,Datsun,Redi Go,A,2018,Manual,Petrol,2,3949,56682
