score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
8875000,Porsche,718,BOXSTER,2017,Automatic,Petrol,3,168927,18344
5075000,Jeep,WRANGLER,UNLIMITED,2022,Automatic,Petrol,1,96598,18302
4325000,Mercedes Benz,GLC CLASS,220 D 4 MATIC,2019,Automatic,Diesel,1,111782,78341
3385000,BMW,6 Series,630D GT LUXURY LINE,2018,Automatic,Diesel,2,110821,66828
3090000,Mercedes Benz,GLE,250 D4 MATIC,2018,Automatic,Diesel,1,101163,85051
2865000,Landrover,DISCOVERY SPORT,HSE,2019,Automatic,Diesel,1,74047,85051
2525000,Ford,Endeavour,TITANIUM PLUS 2.2 4X2 AT SUNROOF,2020,Automatic,Diesel,1,54900,91065
2525000,Mercedes Benz,E Class,E 220 CDI AVANTGARDE,2017,Automatic,Diesel,2,117685,63000
2150000,BMW,5 Series,520I LUXURY LINE,2016,Automatic,Petrol,1,46746,103253
1995000,Mahindra,XUV700,AX 7 D AT 7 STR,2022,Automatic,Diesel,1,37973,24581
1895000,Landrover,DISCOVERY SPORT,HSE,2016,Automatic,Diesel,2,167483,78191
1760000,Audi,A4,35 TDI Technology,2017,Automatic,Diesel,1,82030,97609
1760000,Audi,A4,35 TDI Technology,2018,Automatic,Diesel,1,57620,60649
1635000,Tata,Safari,XZA PLUS KAZIRANGA,2022,Automatic,Diesel,1,31121,37015
1530000,Mahindra,XUV700,AX 5 P MT 7 STR,2023,Manual,Petrol,1,29122,12206
1525000,BMW,5 Series,520D LUXURY LINE,2015,Automatic,Diesel,1,29027,91289
1490000,Audi,Q3,35 TDI Quattro,2017,Automatic,Diesel,1,69446,69325
1300000,Toyota,Innova Crysta,2.7 VX 7 STR,2018,Manual,Petrol,1,24744,41275
1260000,KIA,SELTOS,GTX PLUS AT 1.5 DIESEL,2021,Automatic,Diesel,1,23983,22916
1251000,Hyundai,Creta,SX (O) 1.4 TURBO DCT,2021,Automatic,Petrol,1,23812,55483
1202000,KIA,SELTOS,HTX IVT 1.5 PETROL,2021,Automatic,Petrol,1,22879,38096
1201000,KIA,SELTOS,GTX AT 1.4 PETROL,2020,Automatic,Petrol,1,22860,28459
1196000,Hyundai,ALCAZAR,PLATINUM 1.5 MT 7STR,2021,Manual,Diesel,2,22765,63293
1170000,Honda,ELEVATE,V MT,2024,Manual,Petrol,1,22270,4851
1145000,Hyundai,Creta,SX (O) IVT 1.5 PETROL,2020,Automatic,Petrol,1,21794,82653
1130000,Tata,NEXON,FEARLESS PLUS S 1.5 REVOTORQ 6 MT DT,2023,Manual,Diesel,1,21509,11404
1111110,Mahindra,XUV500,W9 AT,2021,Automatic,Diesel,1,21149,48157
1105000,Mahindra,Thar,LX PETROL HT 4WD AT,2021,Automatic,Petrol,2,21033,37459
1095000,Volkswagen,VIRTUS,TOPLINE TSI 1.0 MT,2023,Manual,Petrol,1,20842,10661
1091720,MG,HECTOR,SUPER HYBRID 1.5 PETROL,2021,Manual,Petrol,1,20780,38069
1085840,Tata,NEXON,CREATIVE+ AMT 1.2 PETROL,2024,Automatic,Petrol,1,20668,11067
1065000,Skoda,KUSHAQ,AMBITION 1.0L TSI MT,2023,Manual,Petrol,1,20271,28938
1050000,Hyundai,Verna,SX 1.5 l MPI,2023,Manual,Petrol,1,19986,29626
1048000,Mahindra,XUV500,W11 AT,2018,Automatic,Diesel,1,34310,64915
1047600,Mahindra,XUV500,W7 AT,2021,Automatic,Diesel,1,19940,39381
1036800,Tata,NEXON,XZA PLUS LUX SUNROOF RED DARK DIESEL,2023,Automatic,Diesel,1,19735,45580
1035000,Jeep,Compass,LIMITED 1.4 PETROL AT,2019,Automatic,Petrol,1,19700,70824
1030000,Tata,NEXON,CREATIVE + 1.2 PETROL,2024,Manual,Petrol,1,19605,19067
1025000,Tata,NEXON,CREATIVE  AMT 1.2 PETROL,2024,Automatic,Petrol,1,19510,10727
1022000,Mahindra,XUV500,W9,2020,Manual,Diesel,1,22221,31507
1018000,Skoda,SLAVIA,STYLE 1.0L TSI MT,2022,Manual,Petrol,2,19377,47794
1015000,Tata,NEXON,CREATIVE+ DCA 1.2 PETROL,2023,Automatic,Petrol,1,19320,25657
1010000,Mahindra,Scorpio,S5,2018,Manual,Diesel,1,33066,28845
993000,MG,HECTOR,SHARP HYBRID 1.5 PETROL,2019,Manual,Petrol,1,18901,50555
993000,KIA,SONET,HTX ANNIVERSARY EDITION 1.0 IMT,2023,Manual,Petrol,1,18901,10709
979000,Mahindra,XUV300,W8 1.5 DIESEL,2022,Manual,Diesel,1,18634,29776
974000,Tata,NEXON,XZA PLUS DIESEL DARK EDITION,2023,Automatic,Diesel,1,18539,31550
970000,Tata,NEXON,XZA PLUS LUX SUNROOF RED DARK PETROL,2023,Automatic,Petrol,1,18463,23573
968240,KIA,SELTOS,HTX 1.5 PETROL,2020,Manual,Petrol,1,18430,36760
965000,Maruti,BREZZA,ZXI SMART HYBRID ,2023,Manual,Petrol,1,18368,41136
956000,Mahindra,XUV500,W9 AT,2019,Automatic,Diesel,1,24708,88462
955000,ISUZU,D-Max V Cross,4*4 MT,2017,Manual,Diesel,1,44510,68247
950000,Hyundai,Creta,EX 1.5 PETROL,2022,Manual,Petrol,1,18082,50518
940800,KIA,SELTOS,HTK 1.5 PETROL,2022,Manual,Petrol,1,17907,30597
925000,Audi,A3,35 TDI PREMIUM PLUS,2015,Automatic,Diesel,1,17607,75867
922845,MG,HECTOR,SHARP 1.5 DCT PETROL,2019,Automatic,Petrol,2,17566,78762
920000,Tata,NEXON EV,XZ PLUS,2022,Automatic,Electric,1,17511,57765
915000,Maruti,XL6,ZETA AT,2021,Automatic,Petrol,1,17416,33398
909000,Hyundai,EXTER,SX 1.2 MT Knight Edition Hy-CNG Duo,2024,Manual,CNG,1,17302,11992
888000,Mahindra,XUV500,W7 AT,2018,Automatic,Diesel,2,29072,49203
880000,Mahindra,XUV300,W8 1.5 DIESEL,2022,Manual,Diesel,1,16750,35138
873000,Maruti,FRONX,ZETA 1.0 TURBO MT,2023,Manual,Petrol,1,16617,11384
866000,Maruti,FRONX,DELTA PLUS 1.2L AGS,2024,Automatic,Petrol,1,16484,11855
866000,KIA,SELTOS,HTK PLUS 1.5,2019,Manual,Petrol,1,16484,40038
862000,Hyundai,NEW I20,ASTA (O) 1.2 AT,2023,Automatic,Petrol,1,16407,11476
862000,Mahindra,XUV500,W7,2020,Manual,Diesel,2,18742,57903
861000,Maruti,BREZZA,VXI SMART HYBRID,2023,Manual,Petrol,1,16388,21754
850000,Mahindra,XUV300,W8 1.5 DIESEL,2022,Manual,Diesel,1,16179,15682
846000,Mahindra,BOLERO NEO,N 10,2021,Manual,Diesel,1,16103,17467
845000,Renault,Duster,RXZ 1.3 TURBO PETROL CVT,2020,Automatic,Petrol,1,16084,32887
840000,Tata,NEXON,XZ PLUS PETROL SUNROOF DARK EDITION,2023,Manual,Petrol,1,15989,13627
835000,Tata,NEXON,XZA PLUS (HS) PETROL,2022,Automatic,Petrol,1,15893,17546
835000,Tata,NEXON EV,XZ PLUS,2020,Automatic,Electric,1,15893,47401
825000,Hyundai,VENUE,S 1.2,2023,Manual,Petrol,1,15703,20272
