score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
2336000,Mahindra,XUV700,AX 7 LUXURY D AT 7 STR,2024,Automatic,Diesel,1,44464,10818
1740270,Mahindra,XUV700,AX 5 P AT 5 STR,2022,Automatic,Petrol,1,33124,31604
1710000,Mahindra,XUV700,AX 7 P AT 7 STR,2022,Automatic,Petrol,1,32548,69050
1680000,Mahindra,XUV700,AX 5 D MT 5 STR,2022,Manual,Diesel,1,31977,30506
1660000,Skoda,KUSHAQ,STYLE 1.5L TSI DSG,2024,Automatic,Petrol,1,31597,5267
1632000,Mahindra,XUV700,AX 5 P AT 5 STR,2022,Automatic,Petrol,1,31064,11907
1531000,Hyundai,ALCAZAR,2.0 SIGNATURE MT 6STR,2022,Manual,Petrol,1,29141,37039
1462000,Hyundai,Creta,SX 1.4 TURBO DCT,2021,Automatic,Petrol,1,27828,34258
1454000,Hyundai,ALCAZAR,2.0 SIGNATURE MT 6STR,2021,Manual,Petrol,1,27676,58419
1443000,Hyundai,Creta,SX (O) 1.4 TURBO DCT,2021,Automatic,Petrol,1,27466,47186
1395000,Hyundai,Creta,SX (O) 1.4 TURBO DCT,2020,Automatic,Petrol,2,26553,48773
1387000,Mahindra,Thar,LX D AT 4WD HT,2022,Automatic,Diesel,1,26400,32619
1378000,Tata,NEXON,FEARLESS PLUS 1.5 REVOTORQ 6 AMT DT,2023,Automatic,Diesel,1,26229,26119
1353000,KIA,SELTOS,HTX 1.5 DIESEL,2022,Manual,Diesel,1,25753,41144
1293000,Mahindra,Thar,LX D AT 4WD HT,2022,Automatic,Diesel,1,24611,60044
1227000,Hyundai,Creta,SX (O) 1.4 TURBO DCT,2021,Automatic,Petrol,2,23355,91882
1213000,Mahindra,Thar,LX D 4*4 MT HT,2022,Manual,Diesel,1,23088,70466
1209000,Mahindra,Thar,LX D 4*4 MT HT,2022,Manual,Diesel,1,23012,65264
1153000,KIA,SELTOS,HTX ANNIVERSARY EDITION 1.5 PETROL,2021,Manual,Petrol,1,21946,31177
1148000,Maruti,FRONX,ALPHA 1.0L TURBO 6 AT,2024,Automatic,Petrol,1,21851,10037
1141700,Mahindra,XUV500,W9,2020,Manual,Diesel,1,21731,95990
1138000,Maruti,Grand Vitara,DELTA SMART HYBRID,2024,Manual,Petrol,1,21661,16938
1135000,Mahindra,Thar,LX  P 4WD AT CONVERTIBLE,2021,Automatic,Petrol,1,21604,39837
1131000,MG,HECTOR,SHARP 1.5 DCT PETROL,2020,Automatic,Petrol,1,21528,43671
1125000,Maruti,XL6,ALPHA PLUS MT,2023,Manual,Petrol,1,21413,63764
1118000,Mahindra,Thar,LX HT PETROL 4WD MT,2021,Manual,Petrol,2,21280,57366
1095000,Maruti,Grand Vitara,DELTA SMART HYBRID,2023,Manual,Petrol,1,20842,29528
1064000,Mahindra,XUV500,W7,2020,Manual,Diesel,1,20252,95073
1062000,Honda,City,1.5L I-VTEC VX CVT,2021,Automatic,Petrol,1,20214,39952
1058000,Volkswagen,TAIGUN,HIGHLINE 1.0 TSI AT,2021,Automatic,Petrol,1,20138,45050
1055000,Skoda,KUSHAQ,STYLE 1.0L TSI AT,2021,Automatic,Petrol,1,20081,70518
1022000,KIA,SONET,GTX PLUS 1.5,2022,Manual,Diesel,1,19453,77688
1021000,KIA,SONET,GTX PLUS 1.5 AT,2020,Automatic,Diesel,1,19434,77839
999000,Skoda,KUSHAQ,AMBITION 1.0L TSI MT,2022,Manual,Petrol,1,19015,47373
967000,Hyundai,Creta,SX AT 1.6 PETROL,2019,Automatic,Petrol,1,18406,93187
965000,Mahindra,XUV300,W8 1.5 DIESEL,2022,Manual,Diesel,1,18368,49424
961000,Maruti,XL6,ALPHA AT,2021,Automatic,Petrol,2,18292,37894
958000,Mahindra,XUV300,W8 (O) 1.5 DIESEL,2021,Manual,Diesel,1,18235,65376
954000,Mahindra,XUV300,W8 (O) 1.5 DIESEL,2022,Manual,Diesel,1,18159,56215
944000,Tata,NEXON,XZ PLUS (O) PETROL DARK EDITION,2021,Manual,Petrol,1,17968,29404
944000,Maruti,XL6,ALPHA AT,2021,Automatic,Petrol,2,17968,82520
937000,Maruti,Ciaz,ALPHA  AT 1.5 SHVS PETROL,2023,Automatic,Petrol,1,17835,16423
933000,Hyundai,Creta,SX AT 1.6 PETROL,2018,Automatic,Petrol,2,17759,40371
908000,Toyota,Glanza,V AMT,2024,Automatic,Petrol,1,17283,13581
902000,Hyundai,EXTER,SX(O) CONNECT 1.2 AMT,2023,Automatic,Petrol,1,17169,12088
897000,Mahindra,XUV300,W8 (O) 1.5 DIESEL AMT,2020,Automatic,Diesel,1,17074,89302
887000,Tata,NEXON,XMA PLUS SUNROOF PETROL,2022,Automatic,Petrol,1,16883,28714
871000,Honda,City,1.5L I-VTEC V MT 5TH GEN,2021,Manual,Petrol,1,16579,79147
865000,Tata,NEXON,XM SUNROOF DIESEL,2022,Manual,Diesel,1,16464,43791
864000,Tata,NEXON,XMA SUNROOF PETROL,2023,Automatic,Petrol,1,16445,22644
