score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1215000,KIA,SELTOS,HTX PLUS 1.5 DIESEL,2021,Manual,Diesel,1,23126,64851
1082600,KIA,SELTOS,GTX PLUS DCT 1.4 PETROL,2020,Automatic,Petrol,1,20606,75698
1050000,Honda,City,1.5L I-VTEC ZX,2022,Manual,Petrol,1,19986,17481
990000,Toyota,URBAN CRUISER,PREMIUM GRADE AT,2022,Automatic,Petrol,1,18844,7949
980000,Hyundai,Creta,SX (O) 1.6 DIESEL,2019,Manual,Diesel,1,18653,37610
935150,KIA,SELTOS,GTX PLUS DCT 1.4 PETROL,2019,Automatic,Petrol,2,17800,49421
931870,Hyundai,Verna,SX 1.5 CRDI,2021,Manual,Diesel,1,17737,74870
880000,Maruti,XL6,ZETA MT,2021,Manual,Petrol,1,16750,30402
870000,Hyundai,Verna,S PLUS 1.5 VTVT,2022,Manual,Petrol,1,16560,12283
855000,Mahindra,XUV300,W8 1.2 PETROL,2022,Manual,Petrol,1,16274,58820
825000,Mahindra,BOLERO NEO,N 8,2023,Manual,Diesel,1,15703,22128
815160,Maruti,Baleno, ZETA CNG 1.2L,2023,Manual,CNG,1,15516,15492
798310,Mahindra,XUV300,W6 1.2 PETROL,2022,Manual,Petrol,1,15607,39560
790000,Hyundai,NEW I20,SPORTZ 1.2 IVT,2023,Automatic,Petrol,1,15445,12027
760000,Tata,ALTROZ,XZA PLUS,2023,Automatic,Petrol,1,14858,5995
755000,Honda,WR-V,1.2L I-VTEC VX MT,2022,Manual,Petrol,1,14760,26344
745000,Honda,Amaze,1.2L I-VTEC VX,2023,Manual,Petrol,1,14565,27075
743000,Maruti,Ciaz,DELTA 1.5 SHVS MT PETROL,2022,Manual,Petrol,1,14526,59223
740000,Hyundai,VENUE,SX 1.0 TURBO,2021,Manual,Petrol,1,14467,22835
728000,Ford,Ecosport,TITANIUM 1.5L DIESEL,2019,Manual,Diesel,1,14233,69364
700000,Maruti,Vitara Brezza,VXI,2022,Manual,Petrol,1,13685,40273
685000,Maruti,Baleno,DELTA PETROL 1.2,2022,Manual,Petrol,1,13392,18481
680000,Tata,ALTROZ,XT DIESEL DARK EDITION,2022,Manual,Diesel,1,13294,29831
679000,Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,2023,Manual,Petrol,1,13275,20995
674000,Hyundai,NEW I20,SPORTZ 1.2 MT,2022,Manual,Petrol,1,13177,28160
661409,Maruti,Ciaz,SIGMA 1.5 SHVS MT  PETROL,2021,Manual,Petrol,1,12931,57343
650000,Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,2024,Manual,Petrol,1,12708,13537
625050,Tata,NEXON,XM DIESEL,2018,Manual,Diesel,1,12220,74255
610000,Tata,ALTROZ,XZ DIESEL,2021,Manual,Diesel,1,11926,80411
610000,Maruti,Baleno,DELTA PETROL 1.2,2022,Manual,Petrol,1,11926,23773
595000,Honda,Amaze,1.2L I-VTEC S,2022,Manual,CNG,1,11632,17099
590000,Hyundai,Elite i20,SPORTZ 1.4 CRDI,2018,Manual,Diesel,1,11535,72508
590000,Honda,WR-V,1.5L I-DTEC S MT,2018,Manual,Diesel,1,11535,65924
589000,Maruti,Swift,ZXI,2022,Manual,Petrol,2,11515,27679
588000,Ford,Ecosport,AMBIENTE 1.5L DIESEL,2020,Manual,Diesel,1,11496,66295
586550,Honda,Amaze,1.2L I-VTEC VX CVT,2021,Automatic,Petrol,1,11467,36478
570000,Renault,TRIBER,RXL MT,2022,Manual,Petrol,1,11144,5174
570000,Maruti,Eeco,7 STR STD 1.2,2023,Manual,CNG,1,11144,18891
557080,Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,2022,Manual,Petrol,1,10891,29855
556000,Nissan,MAGNITE,XV MT,2022,Manual,Petrol,1,10870,24462
550000,Volkswagen,Polo,TRENDLINE 1.0L,2020,Manual,Petrol,1,10753,41633
549728,Tata,NEXON,XE PETROL,2020,Manual,Petrol,1,10747,40341
547000,Maruti,IGNIS,DELTA 1.2,2023,Manual,Petrol,1,10694,22346
542000,Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,2020,Manual,Petrol,1,10596,33145
531000,Maruti,Baleno,ALPHA PETROL 1.2,2018,Manual,Petrol,1,10381,47262
517000,Maruti,Baleno,DELTA PETROL 1.2,2020,Manual,Petrol,1,10107,43450
480000,Maruti,IGNIS,SIGMA 1.2,2023,Manual,Petrol,1,9384,16263
454000,Maruti,Alto K10,VXI PLUS,2024,Manual,Petrol,1,8876,4601
413590,Hyundai,NEW SANTRO,ASTA MT,2019,Manual,Petrol,1,8086,10118
410000,Hyundai,Grand i10,SPORTZ (O) 1.2 KAPPA VTVT,2017,Manual,Petrol,1,8016,50350
406700,Renault,TRIBER,RXE MT,2020,Manual,Petrol,1,7951,48739
381000,Maruti,Celerio X,ZXI,2019,Manual,Petrol,1,7449,61112
380000,Maruti,S PRESSO,VXI+,2021,Manual,Petrol,1,7429,26356
378300,Renault,Kwid,CLIMBER 1.0 (O),2021,Manual,Petrol,1,7396,27454
362600,Hyundai,NEW SANTRO,MAGNA,2020,Manual,CNG,2,7089,56528
346000,Maruti,Celerio,VXI AMT,2015,Automatic,Petrol,1,7697,31150
339500,Hyundai,NEW SANTRO,SPORTZ MT,2019,Manual,Petrol,2,6637,64275
328000,Volkswagen,Vento,HIGHLINE 1.6 MPI,2015,Manual,Petrol,1,7296,91469
321000,Maruti,Celerio,VXI,2015,Manual,Petrol,1,7140,87429
269000,Maruti,Alto 800,LXI,2017,Manual,Petrol,1,5259,42789
264400,Honda,Brio,EX MT,2014,Manual,Petrol,1,6963,48494
210000,Maruti,Alto 800,LXI,2014,Manual,Petrol,1,5530,34768
