score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1675000,BMW,X1,sDrive 20d x Line,2017,Automatic,Diesel,1,31882,74508
1600000,KIA,SELTOS,X LINE 1.4 DCT,2023,Automatic,Petrol,1,30455,17538
1350000,MG,HECTOR,SHARP 2.0 DIESEL,2021,Manual,Diesel,1,25696,96256
1350000,Tata,Harrier,XT PLUS 2.0L KRYOTEC,2021,Manual,Diesel,1,25696,78697
1290000,Hyundai,Verna,SX 1.5 CRDI,2021,Manual,Diesel,1,24554,36550
1230000,MG,HECTOR,SHINE 1.5 PETROL TURBO MT,2022,Manual,Petrol,1,23412,18242
1210000,KIA,SELTOS,HTE 1.5 DIESEL,2022,Manual,Diesel,1,26308,104962
1113000,Maruti,XL6,ALPHA MT,2022,Manual,CNG,1,21185,63742
1050000,Hyundai,Creta,E 1.5 DIESEL,2021,Manual,Diesel,1,19986,99400
1045000,Skoda,SLAVIA,STYLE 1.0L TSI MT,2022,Manual,Petrol,1,19891,42662
1040000,Maruti,XL6,ZETA AT,2022,Automatic,Petrol,1,19795,25326
1020000,Skoda,SLAVIA,AMBITION 1.0L TSI MT,2022,Manual,Petrol,1,19415,41329
980000,Hyundai,Verna,SX 1.5 VTVT,2021,Manual,Petrol,1,18653,66677
965000,KIA,SELTOS,HTK 1.5 PETROL,2023,Manual,Petrol,1,18368,37983
925000,Skoda,KUSHAQ,ACTIVE 1.0L TSI MT,2022,Manual,Petrol,1,17607,30078
888000,Hyundai,VENUE,SX 1.5 CRDI,2020,Manual,Diesel,1,19307,106316
870000,Maruti,FRONX,DELTA PLUS 1.2L AGS,2023,Automatic,Petrol,1,16560,25482
870000,Tata,NEXON,XZ PLUS (O) PETROL,2021,Manual,CNG,1,16560,71833
870000,Honda,City,1.5L I-VTEC VX CVT,2020,Automatic,Petrol,1,16560,44525
850000,Tata,NEXON,XZA PLUS SUNROOF PETROL,2021,Automatic,Petrol,1,16179,63570
845000,Hyundai,Verna,1.6 VTVT SX,2019,Manual,Petrol,1,16084,85820
839720,Skoda,KUSHAQ,AMBITION 1.0L TSI MT,2021,Manual,Petrol,1,15983,58806
800000,Tata,NEXON,XZ PLUS PETROL DARK EDITION,2022,Manual,Petrol,1,15227,30830
800000,Hyundai,VENUE,S 1.2,2022,Manual,Petrol,1,15227,34784
755000,Mahindra,XUV300,W8 (O) 1.2 PETROL,2019,Manual,Petrol,1,14760,55545
745000,Tata,NEXON,XZ PLUS PETROL,2021,Manual,Petrol,1,14565,61119
743740,Hyundai,VENUE,SX PLUS 1.0 TURBO DCT,2019,Automatic,Petrol,1,14540,59164
710000,Hyundai,NEW I20,ASTA 1.0 GDI TURBO DCT,2020,Automatic,Petrol,2,13881,23546
710000,Ford,Ecosport,TITANIUM + 1.5L PETROL,2020,Manual,CNG,1,13881,50460
695000,Maruti,Ciaz,ALPHA DIESEL 1.5,2019,Manual,Diesel,1,13587,72928
680000,Mahindra,XUV300,W6 1.2 PETROL,2019,Manual,Petrol,1,13294,69580
675000,Hyundai,NEW I20,SPORTZ 1.2 MT,2021,Manual,Petrol,1,13196,39771
664000,Renault,Duster,RXS OPT CVT,2019,Automatic,Petrol,1,12981,55555
659600,Honda,WR-V,1.2L I-VTEC VX MT,2020,Manual,Petrol,1,12895,25003
640000,Maruti,S Cross,DELTA 1.3,2019,Manual,Diesel,1,12512,82431
635000,Hyundai,VENUE,S 1.2,2021,Manual,Petrol,1,12414,45393
634700,Honda,City,1.5L I-VTEC V MT,2017,Manual,Petrol,1,12409,78266
630000,Honda,City,1.5L I-VTEC V MT,2019,Manual,Petrol,1,12317,57901
610540,Renault,TRIBER,RXT,2023,Manual,Petrol,1,11936,15069
594000,Hyundai,Elite i20,SPORTZ PLUS 1.2 DUAL TONE,2020,Manual,Petrol,1,11613,73922
590000,Maruti,Swift,VXI,2020,Manual,Petrol,1,11535,60027
590000,Renault,TRIBER,RXZ,2022,Manual,Petrol,1,11535,15796
550000,Hyundai,Elite i20,SPORTZ PLUS 1.2,2020,Manual,Petrol,2,10753,42077
550000,Maruti,Eeco,5 STR WITH A/C+HTR,2021,Manual,Petrol,1,10753,4994
545140,Renault,TRIBER,RXL MT,2023,Manual,Petrol,1,10658,24541
540000,Nissan,MAGNITE,XV MT,2021,Manual,Petrol,1,10557,69106
476795,Renault,TRIBER,RXT,2020,Manual,Petrol,1,9321,24316
440000,Maruti,New Wagon-R,VXI 1.0,2020,Manual,Petrol,1,8602,58125
422000,Hyundai,NEW SANTRO,SPORTZ MT,2020,Manual,Petrol,1,8250,12006
392850,Maruti,New Wagon-R,VXI 1.0,2019,Manual,Petrol,2,7680,38237
372000,Renault,Kwid,CLIMBER 1.0 (O),2021,Manual,Petrol,1,7273,38938
360000,Maruti,S PRESSO,VXI PLUS AMT,2020,Automatic,Petrol,2,7038,21766
330000,Maruti,Alto,LXI,2019,Manual,Petrol,1,6452,60250
320000,Maruti,Alto 800,LXI,2018,Manual,Petrol,1,6256,71337
312000,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,2013,Manual,Petrol,1,10363,69543
