score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1445000,Mahindra,XUV700,AX 5 P MT 5 STR,2022,Manual,Petrol,1,27504,33176
1265000,KIA,SELTOS,GTX 1.4 PETROL,2020,Manual,Petrol,1,24078,40636
1215000,KIA,CARENS,PRESTIGE PLUS 1.4 PETROL 7 STR,2022,Manual,Petrol,1,23126,13313
1199000,KIA,CARENS,PRESTIGE PLUS 1.4 PETROL 7 STR,2022,Manual,Petrol,1,22822,32725
1180000,MG,HECTOR,SHARP HYBRID 1.5 PETROL,2019,Manual,Petrol,1,22460,47752
1105000,Maruti,BREZZA,ZXI + SMART HYBRID,2022,Manual,Petrol,1,21033,25152
1105000,Mahindra,BOLERO NEO,N 10 (O),2024,Manual,Diesel,1,21033,5503
1089000,Jeep,Compass,LONGITUDE (O) 2.0 DIESEL,2017,Manual,Diesel,1,20728,51603
1071000,Tata,Harrier,XZ 2.0L,2019,Manual,Diesel,2,20385,39989
1071000,Mahindra,XUV300,W8 (O) 1.2 PETROL AMT,2022,Automatic,Petrol,1,20385,19718
1054000,Hyundai,VENUE,SX 1.5 CRDI,2022,Manual,Diesel,1,20062,30285
1029000,Hyundai,NEW I20,ASTA (O) 1.2 AT,2022,Automatic,Petrol,1,19586,17382
1004000,Mahindra,XUV500,W7,2019,Manual,Diesel,1,19110,54756
991000,KIA,SONET,HTX 1.0 IMT,2022,Manual,Petrol,1,18863,10300
986000,Hyundai,VENUE,SX 1.5 CRDI,2022,Manual,Diesel,1,18768,50586
980000,KIA,SELTOS,HTX 1.5 PETROL,2020,Manual,Petrol,1,18653,46020
979000,KIA,SELTOS,HTX 1.5 PETROL,2020,Manual,Petrol,1,18634,47343
965000,KIA,SONET,HTX PLUS 1.0 IMT,2021,Manual,Petrol,1,18368,47709
948000,KIA,SONET,GTX PLUS 1.5,2021,Manual,Diesel,1,18044,87347
946000,Honda,City,1.5L I-VTEC ZX CVT,2019,Automatic,Petrol,1,18006,38014
941000,KIA,SONET,GTX PLUS 1.0 DCT,2020,Automatic,Petrol,2,17911,85210
935000,Hyundai,Creta,EX 1.5 PETROL,2021,Manual,Petrol,1,17797,27381
923000,Maruti,Baleno,ALPHA 1.2 AGS,2023,Automatic,Petrol,1,17568,20569
906000,Hyundai,NEW I20,Sportz 1.2 IVT,2023,Automatic,Petrol,1,17245,5384
897000,Nissan,MAGNITE,XV PREMIUM TURBO CVT,2023,Automatic,Petrol,1,17074,32974
889000,Toyota,URBAN CRUISER,MID GRADE AT,2022,Automatic,Petrol,1,16921,46585
889000,Nissan,MAGNITE,XV PREMIUM TURBO (O) CVT,2023,Automatic,Petrol,1,16921,16093
883000,Nissan,MAGNITE,XV CVT TURBO KURO EDITION ,2023,Automatic,Petrol,1,16807,6972
880000,Hyundai,Verna,SX 1.5 VTVT,2020,Manual,Petrol,1,16750,68199
873000,Tata,NEXON,XZA PLUS DIESEL,2021,Automatic,Diesel,1,16617,82449
863000,Tata,NEXON,XZA PLUS (O) PETROL DUAL TONE,2020,Automatic,Petrol,1,16426,43345
836000,Tata,NEXON,XZ PLUS PETROL DARK EDITION,2023,Manual,Petrol,1,15912,22981
835000,Hyundai,VENUE,SX 1.0 (O) TURBO IMT,2021,Manual,Petrol,1,15893,41647
835000,Hyundai,Verna,1.6 VTVT SX (O) AT,2018,Automatic,Petrol,1,15893,79877
827000,Honda,City,1.5L I-VTEC ZX CVT,2019,Automatic,Petrol,1,15741,73587
821000,Hyundai,NEW I20,Asta 1.0 GDI Turbo IMT,2021,Manual,Petrol,2,15627,9558
809000,Tata,NEXON,XZ PLUS (HS) PETROL,2022,Manual,Petrol,1,15399,32430
807000,Tata,NEXON,XM SUNROOF DIESEL,2021,Manual,Diesel,1,15361,50448
779000,Toyota,URBAN CRUISER,HIGH GRADE AT,2020,Automatic,Petrol,1,15230,73016
768000,Mahindra,XUV300,W8 (O) 1.2 PETROL,2019,Manual,Petrol,1,15015,26225
760000,Maruti,Ciaz,DELTA AT 1.5 SHVS PETROL,2020,Automatic,Petrol,1,14858,50814
746000,Tata,PUNCH,ACCOMPLISHED AMT,2023,Automatic,Petrol,1,14584,8363
746000,Hyundai,NEW I20,ASTA 1.2 MT,2023,Manual,Petrol,1,14584,42598
740000,Maruti,Baleno,ALPHA CVT PETROL 1.2,2019,Automatic,Petrol,1,14467,11936
730000,Honda,BR-V,1.5L I-VTEC V CVT,2016,Automatic,Petrol,1,14272,29016
727000,Renault,TRIBER,RXZ AMT DUAL TONE,2023,Automatic,Petrol,1,14213,4280
717000,Tata,TIGOR,XZA PLUS PETROL,2023,Automatic,Petrol,1,14017,14433
713000,Renault,TRIBER,RXZ AMT DUAL TONE,2021,Automatic,Petrol,1,13939,23560
712000,Tata,NEXON,XZ PLUS PETROL,2020,Manual,Petrol,1,13920,32454
711000,Nissan,MAGNITE,XV TURBO CVT,2022,Automatic,Petrol,1,13900,45576
694000,Tata,NEXON,XZ PLUS PETROL,2020,Manual,Petrol,1,13568,39293
691800,Nissan,MAGNITE,XV MT,2022,Manual,Petrol,1,13525,27640
680000,Tata,TIAGO NRG,XZ AMT,2023,Automatic,Petrol,1,13294,9592
667000,Tata,TIGOR,XZA PLUS PETROL,2022,Automatic,Petrol,2,13040,47215
664000,Hyundai,Verna,1.6 VTVT SX (O) AT,2017,Automatic,Petrol,3,14770,107650
663000,Tata,NEXON,XZ PLUS PETROL,2020,Manual,Petrol,1,12962,36017
661000,Honda,City,1.5L I-VTEC V MT,2018,Manual,Petrol,1,12923,94675
644000,Tata,NEXON,XZA PLUS PETROL DUAL TONE,2018,Automatic,Petrol,1,12590,32443
642000,Hyundai,Verna,1.4 EX PETROL,2018,Manual,Petrol,1,12551,95110
636000,Tata,NEXON,XZ PLUS DIESEL,2019,Manual,Diesel,1,12434,50642
626800,Maruti,Baleno,DELTA PETROL 1.2,2020,Manual,Petrol,1,12254,57233
