score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1420000,KIA,SELTOS,GTX PLUS 1.4 PETROL DCT DUAL TONE,2021,Automatic,Petrol,1,27028,24172
1204000,Hyundai,VENUE,SX (O) 1.0 TURBO DCT,2023,Automatic,Petrol,1,22917,47531
1195000,Honda,ELEVATE,VX CVT,2023,Automatic,Petrol,1,22746,5202
1180000,KIA,CARENS,LUXURY 1.5 DIESEL 7 STR,2022,Manual,Diesel,1,22460,40822
1141220,KIA,SELTOS,GTX PLUS 1.4 PETROL DCT DUAL TONE,2020,Automatic,Petrol,1,21722,52832
1108000,KIA,CARENS,PRESTIGE 1.5 PETROL 7 STR,2024,Manual,Petrol,1,21090,8904
1070000,Hyundai,Creta,SX (O) 1.4 TURBO DCT,2021,Automatic,Petrol,1,20366,63704
1032000,KIA,SONET,GTX PLUS 1.5 AT,2022,Automatic,Diesel,1,19643,20461
1030000,Hyundai,Creta,SX (O) IVT 1.5 PETROL,2020,Automatic,Petrol,1,19605,38369
1006740,KIA,SELTOS,HTK PLUS 1.5 IMT,2022,Manual,Petrol,1,19162,28967
990000,Hyundai,Creta,S 1.5 PETROL,2023,Manual,Petrol,1,18844,8371
975000,KIA,SONET,	 HTX 1.0 TURBO DCT,2023,Automatic,Petrol,1,18558,6514
972000,Maruti,FRONX,ALPHA 1.0L TURBO 6 AT,2023,Automatic,Petrol,1,18501,2740
950000,Hyundai,Creta,EX 1.5 PETROL,2023,Manual,Petrol,1,18082,6732
935000,Skoda,SLAVIA,AMBITION 1.0L TSI AT,2022,Automatic,Petrol,1,17797,15350
920000,Honda,City,1.5L I-VTEC VX,2023,Manual,Petrol,1,17511,39953
895000,Skoda,SLAVIA,STYLE 1.0L TSI MT,2022,Manual,Petrol,1,17036,22685
889000,Tata,NEXON,XZA PLUS (PREMIUM) KAZIRANGA PETROL,2022,Automatic,Petrol,1,16921,13489
880000,Hyundai,VENUE,SX 1.0 TURBO IMT,2021,Manual,Petrol,1,16750,16833
870000,Tata,NEXON,CREATIVE PLUS 1.2 REVOTRON 6 MT DT,2023,Manual,Petrol,1,16560,11730
841000,Hyundai,EXTER,SX (O) CONNECT,2023,Manual,Petrol,1,16008,19873
790280,Tata,ALTROZ,XZ Plus (S) Dark Edition,2023,Manual,Petrol,1,15450,4954
778320,Hyundai,NEW I20,SPORTZ 1.2 IVT,2023,Automatic,Petrol,1,15216,9912
775000,KIA,SONET,HTX 1.0 IMT,2022,Manual,Petrol,1,15151,19134
774700,Honda,City,1.5L I-VTEC V MT 5TH GEN,2022,Manual,Petrol,1,15146,36253
771260,Hyundai,NEW I20,ASTA 1.0 TURBO DCT DUAL TONE,2021,Automatic,Petrol,1,15078,4088
760000,Tata,NEXON,XZ PLUS (O) DIESEL DARK EDITION,2022,Manual,Diesel,1,14858,60009
755000,Hyundai,GRAND I10 NIOS,SPORTZ AMT 1.2 KAPPA VTVT,2023,Automatic,Petrol,1,14760,12212
730100,Jeep,Compass,LIMITED (O) 2.0 DIESEL,2018,Manual,Diesel,1,14274,84351
725000,Hyundai,Verna,S PLUS 1.5 VTVT,2021,Manual,Petrol,1,14174,19010
711010,Hyundai,VENUE,SX 1.0 TURBO,2022,Manual,Petrol,2,13900,8564
685000,Hyundai,NEW I20,SPORTZ 1.2 IVT,2023,Automatic,Petrol,1,13392,9695
670000,Toyota,URBAN CRUISER,PREMIUM GRADE AT DUAL TONE,2020,Automatic,Petrol,2,13099,42383
660000,Mahindra,XUV300,W8 1.2 PETROL,2021,Manual,Petrol,1,12903,21360
645000,Maruti,Swift,ZXi AMT,2023,Automatic,Petrol,1,12610,5314
644000,Tata,ALTROZ,XT DIESEL,2021,Manual,Diesel,1,12590,22650
634000,Nissan,MAGNITE,Kuro Edition 1.0  MT ,2023,Manual,Petrol,1,12395,9090
632490,Hyundai,VENUE,S 1.2,2020,Manual,Petrol,1,12365,18412
630000,Tata,PUNCH,ACCOMPLISHED MT CNG,2023,Manual,CNG,1,12317,34564
630000,Volkswagen,Polo,HIGHLINE PLUS 1.0L TSI AT,2020,Automatic,Petrol,1,12317,43626
619000,Hyundai,NEW I20,ASTA 1.2 MT,2021,Manual,Petrol,2,12102,17365
