score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1450000,MG,ASTOR,SHARP 1.5 CVT,2022,Automatic,Petrol,1,27599,28350
1375000,Jeep,Compass,TRAILHAWK (O) 2.0 4X4,2019,Automatic,Diesel,1,26172,53132
1325000,MG,HECTOR,SHARP 2.0 DIESEL,2022,Manual,Diesel,1,25220,62230
1200000,Hyundai,ALCAZAR,PRESTIGE 1.5 MT 6STR,2022,Manual,Diesel,2,22841,35702
1180000,Hyundai,Creta,SX AT 1.5 DIESEL,2020,Automatic,Diesel,1,22460,56903
1150000,Hyundai,Creta,S PLUS KNIGHT 1.5 PETROL,2023,Manual,Petrol,1,21889,20350
1120000,Hyundai,Creta,SX 1.5 DIESEL,2020,Manual,Diesel,1,21318,77378
1099000,Mahindra,Scorpio,S5,2022,Manual,Diesel,1,20918,29814
1099000,Mahindra,Thar,LX D AT 4WD HT,2020,Automatic,Diesel,1,20918,76069
1099000,Tata,NEXON,FEARLESS + S P MT,2023,Manual,Petrol,1,20918,19021
1095000,Mahindra,Thar,LX D 4WD MT CONVERTIBLE,2021,Manual,Diesel,1,20842,36159
1040000,Hyundai,VENUE,SX (O) 1.0 TURBO DCT,2023,Automatic,Petrol,1,19795,5367
1039000,KIA,SELTOS,HTK 1.5 DIESEL,2021,Manual,Diesel,1,19776,44304
1025000,Maruti,Ertiga,VXI CNG,2021,Manual,CNG,1,19510,68351
987000,KIA,SONET,GTX PLUS 1.0 DCT,2021,Automatic,Petrol,1,18787,36121
948000,KIA,SELTOS,HTK 1.5 DIESEL,2021,Manual,Diesel,1,18044,29590
945000,KIA,SELTOS,GTX 1.4 PETROL,2019,Manual,Petrol,1,17987,21523
810000,Tata,NEXON,XZA PLUS PETROL DARK EDITION,2022,Automatic,Petrol,1,15418,21399
795000,Tata,NEXON,XZ PLUS PETROL DARK EDITION,2023,Manual,Petrol,1,15542,48916
760000,Mahindra,XUV500,W9,2018,Manual,Diesel,2,14858,70565
755000,Hyundai,Creta,SX PLUS AT 1.6 PETROL,2017,Automatic,Petrol,1,14760,50381
739000,Hyundai,NEW I20 N LINE,N8 1.0 TURBO GDI DCT,2021,Automatic,Petrol,1,14448,36468
730000,Honda,Amaze,1.2L I-VTEC VX CVT,2022,Automatic,Petrol,1,14272,25915
695000,Hyundai,VENUE,SX 1.0 TURBO,2019,Manual,Petrol,2,13587,70352
660000,Honda,City,1.5L I-VTEC ZX CVT,2018,Automatic,Petrol,1,12903,60609
644000,Honda,Amaze,1.2L I-VTEC V CVT,2019,Automatic,Petrol,1,12590,94036
640000,Ford,Ecosport,TREND 1.5L PETROL,2021,Manual,Petrol,1,12512,50474
625000,Hyundai,VENUE,S 1.2,2021,Manual,Petrol,2,12219,36822
609000,Tata,NEXON,XE PETROL,2022,Manual,Petrol,1,11906,12136
599000,Hyundai,Elite i20,ASTA 1.2 (O),2020,Manual,Petrol,1,11711,75926
591000,Honda,Amaze,1.5L I-DTEC S,2020,Manual,Diesel,2,11554,73022
580000,Ford,Ecosport,TITANIUM 1.5L PETROL,2018,Manual,Petrol,1,11339,66435
580000,Honda,Amaze,1.2L I-VTEC VX,2021,Manual,Petrol,1,11339,63987
550000,Maruti,Baleno,ALPHA PETROL 1.2,2019,Manual,Petrol,1,10753,18705
550000,Maruti,Baleno,ZETA PETROL 1.2,2021,Manual,Petrol,1,10753,61280
540000,Honda,City,1.5L I-VTEC S MT,2017,Manual,Petrol,1,10557,28590
