score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
2150000,Ford,Endeavour,TITANIUM 3.2 4X4 AT,2018,Automatic,Diesel,1,46746,224443
2041000,Jeep,Compass,MODEL S (O) DIESEL 4X4 AT,2023,Automatic,Diesel,1,38849,22409
1850000,Toyota,Innova Crysta,2.4 GX AT 7 STR,2021,Automatic,Diesel,2,35213,63279
1499000,Toyota,Innova Crysta,2.4 GX 7 STR,2018,Manual,Diesel,1,32592,118307
1425000,Mahindra,Scorpio,S11 2WD,2017,Manual,Diesel,1,27124,87530
1400000,Mahindra,Thar,LX PETROL HT 4WD AT,2022,Automatic,Petrol,1,26648,35301
1350000,MG,HECTOR,SHARP 1.5 DCT PETROL,2020,Automatic,Petrol,1,25696,86641
1330070,MG,HECTOR,SHARP 2.0 DIESEL,2020,Manual,Diesel,1,28919,100950
1300000,Mahindra,Thar,LX D 4*4 MT HT,2021,Manual,Diesel,1,24744,29391
950000,Toyota,Fortuner,3.0 4X2 MT,2013,Manual,Diesel,4,44277,128360
950000,Maruti,Ertiga,VDI 1.3,2019,Manual,Diesel,1,18082,62310
800000,Maruti,Vitara Brezza,ZDI,2019,Manual,Diesel,1,15227,81830
795000,Toyota,URBAN CRUISER,HIGH GRADE MT,2021,Manual,Petrol,1,15542,98524
776500,Jeep,Compass,LONGITUDE (O) 2.0 DIESEL,2017,Manual,Diesel,2,15181,73983
750000,Landrover,Freelander 2,S BUSINESS EDITION,2014,Automatic,Diesel,3,24911,112254
750000,Mercedes Benz,C Class,C 220 CDI AVANTGARDE,2013,Automatic,Diesel,2,35305,103342
725000,KIA,SONET,HTK PLUS 1.2,2020,Manual,Petrol,2,14174,53439
690000,Maruti,Ertiga,VDI SHVS,2017,Manual,Diesel,1,15349,119224
675000,Hyundai,Elite i20,ASTA 1.4 CRDI (O),2019,Manual,Diesel,1,13196,82345
650000,Honda,Amaze,1.5L I-DTEC V CVT,2018,Automatic,Diesel,1,12708,64800
650000,Maruti,Dzire,LDI,2018,Manual,Diesel,2,12708,72014
650000,Maruti,Ciaz,ALPHA DIESEL 1.3,2018,Manual,Diesel,2,12708,78295
650000,Chevrolet,Cruze,LTZ AT,2016,Automatic,Diesel,2,14459,87300
585000,Hyundai,GRAND I10 NIOS,MAGNA 1.2 KAPPA VTVT,2022,Manual,Petrol,1,11437,21731
585000,Mahindra,XUV500,W6,2015,Manual,Diesel,2,15405,73546
550000,Mahindra,XUV500,W8,2014,Manual,Diesel,2,18268,126564
550000,Toyota,Fortuner,3.0 4X4 MT,2010,Manual,Diesel,4,10753,125518
550000,Audi,Q5,3.0 TDI QUATTRO,2011,Automatic,Diesel,3,10753,111237
525000,Audi,A6,2.0 TDI,2012,Automatic,Diesel,3,46646,70844
475000,Maruti,Celerio,ZXI AMT,2018,Automatic,Petrol,1,9286,68950
425000,Maruti,Swift,VDI,2014,Manual,Diesel,2,14116,95750
425000,Maruti,S PRESSO,VXI,2022,Manual,Petrol,1,8309,42780
410000,Ford,Ecosport,TITANIUM 1.5L DIESEL,2016,Manual,Diesel,1,9120,187295
310000,Maruti,Alto K10,VXI,2016,Manual,Petrol,2,6061,42970
299900,Mahindra,XUV500,W8,2013,Manual,Diesel,3,14117,133178
280000,Maruti,Ritz,VDI,2013,Manual,Diesel,2,13181,85772
255000,Maruti,Wagon R Stingray,VXI,2013,Manual,Petrol,1,8470,70550
240000,Ford,Figo,EXI 1.2 PETROL,2013,Manual,Petrol,1,7971,53941
190000,Chevrolet,Beat,LS DIESEL,2015,Manual,Diesel,1,5003,82128
134000,Datsun,Redi Go,T (O),2016,Manual,Petrol,1,2620,62625
115000,Tata,Indica V2,LX DIESEL,2013,Manual,Diesel,2,5413,108340
110000,Maruti,Alto,LX,2005,Manual,Petrol,4,2151,101664
93000,Skoda,Laura,AMBIENTE 1.9 TDI MT,2009,Manual,Diesel,2,1818,198709
