score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
2153400,Hyundai,ALCAZAR, SIGNATURE (O) DCT 1.5 PETROL 7STR,2023,Automatic,Petrol,1,40988,8996
1994320,Hyundai,Creta,SX (O) 1.5 TURBO DCT,2024,Automatic,Petrol,1,37960,2927
1593000,Mahindra,XUV700,AX 3 P AT 5 STR,2022,Automatic,Petrol,1,30321,21741
1424617,Tata,Safari,XZA PLUS 6S,2021,Automatic,Diesel,1,27116,61206
1390000,KIA,SELTOS,GTX PLUS AT 1.5 DIESEL,2021,Automatic,Diesel,1,26457,74489
1278000,MG,HECTOR,SHARP 1.5 PETROL CVT,2021,Automatic,Petrol,1,24326,71842
1269000,KIA,SELTOS,HTX IVT 1.5 PETROL,2021,Automatic,Petrol,1,24154,22490
1250000,Skoda,KUSHAQ,STYLE 1.5L TSI DSG,2021,Automatic,Petrol,1,23793,33025
1240000,Skoda,KUSHAQ,STYLE 1.0L TSI MT,2023,Manual,Petrol,1,23602,24947
1175020,Mahindra,XUV500,W11 AT,2019,Automatic,Diesel,1,22365,55499
1162110,Skoda,KUSHAQ,AMBITION 1.0L TSI AT,2022,Automatic,Petrol,1,22120,17400
1150000,Mahindra,Thar,LX  P 4WD AT CONVERTIBLE,2021,Automatic,Petrol,1,21889,6923
1128000,KIA,SONET,GTX PLUS 1.5,2022,Manual,Diesel,1,21470,39643
1118000,Tata,NEXON,FEARLESS + S P MT,2023,Manual,Petrol,1,21280,6336
1069000,Skoda,KUSHAQ,STYLE 1.0L TSI MT,2021,Manual,Petrol,1,20347,25042
1065000,KIA,SELTOS,HTX 1.5 PETROL,2021,Manual,Petrol,1,20271,37183
1064000,Tata,NEXON,XZ Plus LUX,2023,Manual,CNG,1,20252,19958
1061750,Skoda,SLAVIA,AMBITION 1.0L TSI MT,2023,Manual,Petrol,1,20209,27861
1048950,Jeep,Compass,LIMITED 1.4 PETROL AT,2019,Automatic,Petrol,1,19966,28679
1029000,Honda,City,1.5L I-VTEC V CVT 5TH GEN,2022,Automatic,Petrol,1,19586,37306
1025000,Volkswagen,TAIGUN,HIGHLINE 1.0 TSI MT,2022,Manual,Petrol,1,19510,38534
1016000,Hyundai,Creta,E 1.5 PETROL,2022,Manual,Petrol,1,19339,5884
995000,Hyundai,Creta,SX AT 1.6 PETROL,2019,Automatic,Petrol,2,18939,31201
991000,Tata,NEXON,XZA PLUS (O) PETROL DARK EDITION,2022,Automatic,Petrol,1,18863,29662
974790,KIA,SELTOS,HTK PLUS 1.5 IMT,2021,Manual,Petrol,1,18554,47063
970000,Hyundai,VENUE,S 1.0 TURBO DCT,2019,Automatic,Petrol,1,18463,45813
968800,Hyundai,Creta,SX AT 1.6 PETROL,2019,Automatic,Petrol,1,18440,45580
960300,KIA,SONET,GTX PLUS 1.0 DCT,2020,Automatic,Petrol,1,18278,14049
960000,Jeep,Compass,LIMITED 2.0 DIESEL 4X4,2018,Manual,Diesel,1,18273,43869
940500,Maruti,XL6,ZETA AT,2021,Automatic,Petrol,1,17902,69590
925440,KIA,SONET,HTX 1.0 IMT,2022,Manual,Petrol,1,17615,17623
919560,Mahindra,XUV500,W10 AT,2017,Automatic,Diesel,1,17503,82296
911000,Hyundai,Creta,SX AT 1.6 PETROL,2019,Automatic,Petrol,1,17340,49427
905000,Hyundai,Creta,SX (O) EXECUTIVE 1.6 PETROL,2019,Manual,Petrol,1,17226,22627
903000,Mahindra,XUV300,W8 (O) 1.5 DIESEL AMT DUAL TONE,2021,Automatic,Diesel,1,17188,72221
878000,Mahindra,XUV300,W8 (O) 1.2 PETROL,2022,Manual,Petrol,1,16712,9900
872122,Mahindra,XUV500,W10 AT,2017,Automatic,Diesel,1,16600,84976
857800,Hyundai,Creta,SX AT 1.6 PETROL,2018,Automatic,Petrol,1,16327,67404
852835,Tata,PUNCH,ACCOMPLISHED DAZZLE SUNROOF CNG MT,2023,Manual,CNG,1,16233,17215
850000,Tata,NEXON,XZ PLUS (HS) PETROL,2022,Manual,Petrol,1,16179,21147
848000,KIA,SONET,GTX PLUS 1.0 IMT,2020,Manual,Petrol,1,16141,19205
845000,Hyundai,Verna,1.6 VTVT SX + AT,2019,Automatic,Petrol,1,16084,33038
844600,KIA,SONET,HTX 1.0 IMT,2021,Manual,Petrol,1,16076,9575
840000,Maruti,Ciaz,ALPHA  AT 1.5 SHVS PETROL,2020,Automatic,Petrol,1,15989,62979
802000,Tata,ALTROZ, XZ PLUS (S) ,2023,Manual,Diesel,1,15265,29013
792000,Hyundai,EXTER,SX (O) CONNECT,2023,Manual,Petrol,1,15484,12631
790000,Tata,Tiago, XZA Plus CNG,2024,Automatic,CNG,1,15445,12642
788750,Hyundai,VENUE,SX 1.0 (O) TURBO IMT,2020,Manual,Petrol,1,15420,26812
786000,Tata,ALTROZ,XZ + SUNROOF,2023,Manual,Petrol,1,15366,11814
775960,Hyundai,VENUE,SX 1.0 TURBO IMT,2021,Manual,Petrol,2,15170,17887
770280,Tata,NEXON,XMA SUNROOF PETROL,2021,Automatic,Petrol,1,15059,27333
769700,Maruti,Ciaz,ALPHA  AT 1.5 SHVS PETROL,2021,Automatic,Petrol,1,15048,53972
766000,Maruti,Swift,ZDI PLUS,2019,Manual,Diesel,1,14975,50995
756000,Mahindra,XUV300,W8 (O) 1.2 PETROL,2020,Manual,Petrol,1,14780,48103
754000,Maruti,Baleno,ALPHA CVT PETROL 1.2,2022,Automatic,Petrol,1,14741,32953
752000,Hyundai,VENUE,SX 1.0 TURBO IMT,2021,Manual,Petrol,2,14702,32459
750000,Honda,City,1.5L I-VTEC ZX CVT,2018,Automatic,Petrol,1,14663,26059
750000,Hyundai,NEW I20,Asta 1.0 GDI Turbo IMT,2021,Manual,Petrol,1,14663,23958
744600,Tata,ALTROZ,XZ PLUS PETROL,2023,Manual,Petrol,1,14557,8695
740000,Honda,City,1.5L I-VTEC V MT,2020,Manual,Petrol,1,14467,22406
737200,Maruti,Ciaz,ALPHA  AT 1.5 SHVS PETROL,2021,Automatic,Petrol,1,14412,34264
732000,Maruti,Ciaz,ALPHA  AT 1.5 SHVS PETROL,2019,Automatic,Petrol,1,14311,99443
730000,Honda,City,1.5L I-VTEC ZX CVT,2018,Automatic,Petrol,1,14272,74366
729800,Nissan,MAGNITE,XV PREMIUM TURBO CVT,2022,Automatic,Petrol,1,14268,19790
720000,Skoda,Rapid,1.0 AMBITION TSI MT,2021,Manual,Petrol,1,14076,26625
717000,Maruti,Dzire,VXI AMT,2023,Automatic,Petrol,1,14017,4511
715000,Honda,Amaze,1.2L I-VTEC VX,2022,Manual,Petrol,1,13978,20841
714000,Mahindra,XUV300,W6 1.2 PETROL,2020,Manual,Petrol,1,13959,31522
712950,Maruti,Ciaz,ALPHA  AT 1.5 SHVS PETROL,2020,Automatic,Petrol,1,13938,24209
712000,Honda,Amaze,1.2L I-VTEC VX,2022,Manual,Petrol,1,13920,4855
708925,Tata,ALTROZ,XZA PLUS DARK EDTION,2022,Automatic,Petrol,1,13860,12829
705600,Tata,NEXON,XM SUNROOF PETROL,2020,Manual,Petrol,1,13795,29777
701893,Hyundai,Verna,1.6 VTVT SX (O) AT,2018,Automatic,Petrol,1,13722,52392
700971,Hyundai,Verna,1.6 VTVT SX O,2019,Manual,Petrol,2,13704,92842
697000,Mahindra,XUV300,W6 1.2 PETROL,2022,Manual,Petrol,1,13626,47136
692920,Honda,City,1.5L I-VTE V CVT,2020,Automatic,Petrol,2,13547,60282
682000,Hyundai,AURA,S 1.2 CRDI,2020,Manual,Diesel,1,13333,36392
679000,Tata,TIGOR,XZ PLUS CNG,2022,Manual,CNG,1,13275,28039
665000,Tata,Tiago,XM CNG,2025,Manual,CNG,1,13001,562
657000,Honda,City,1.5L I-VTEC VX CVT,2017,Automatic,Petrol,1,12844,51533
651000,Tata,PUNCH,ADVENTURE AMT,2023,Automatic,Petrol,1,12727,31602
650750,Hyundai,Creta,SX PLUS 1.6 PETROL,2016,Manual,Petrol,1,12722,77958
647780,Maruti,Dzire,VXI,2021,Manual,Petrol,1,12664,14906
647642,Maruti,Ertiga,VXI CNG,2016,Manual,CNG,1,17055,100241
645120,Hyundai,Creta,E PLUS 1.6 PETROL,2018,Manual,Petrol,2,12612,74088
645120,Honda,City,1.5L I-VTEC ZX CVT,2017,Automatic,Petrol,1,12612,60212
644000,Tata,NEXON,XZ PLUS PETROL,2018,Manual,CNG,2,12590,36898
635000,Hyundai,AURA,SX PLUS 1.2 AMT,2020,Automatic,Petrol,1,12414,18808
631000,Maruti,Vitara Brezza,VDI,2017,Manual,Diesel,1,12336,78328
626000,Maruti,Ciaz,ALPHA 1.5 SHVS PETROL,2018,Manual,Petrol,1,12238,28174
619000,Renault,Duster,RXS CVT,2018,Automatic,Petrol,1,12102,43797
618000,Skoda,Rapid,STYLE 1.6 MPI,2018,Manual,Petrol,1,12082,18068
616298,Tata,Tiago,XZ PLUS CNG,2023,Manual,CNG,1,12049,17422
614680,Honda,WR-V,1.2L I-VTEC VX MT,2021,Manual,Petrol,2,12017,61366
614000,Honda,WR-V,1.5L I-DTEC VX MT,2018,Manual,Diesel,1,12004,90933
609000,Honda,City,1.5L I-VTE V CVT,2017,Automatic,Petrol,1,11906,67297
604000,Tata,Tiago,XT CNG,2022,Manual,CNG,1,11808,22715
603000,Tata,PUNCH,ADVENTURE MT,2022,Manual,Petrol,1,11789,18587
596000,Tata,TIGOR,XZ CNG,2022,Manual,CNG,1,11652,70969
595000,Nissan,MAGNITE,XV MT,2022,Manual,Petrol,1,11632,20762
594000,Maruti,Eeco,5 STR AC CNG,2023,Manual,CNG,1,11613,21352
592704,Honda,City,1.5L I-VTE V CVT,2018,Automatic,Petrol,2,11587,32419
590240,Tata,Tiago,XZ PLUS CNG,2022,Manual,CNG,1,11539,29038
589000,Renault,TRIBER,RXZ AMT,2021,Automatic,Petrol,1,11515,25828
588000,Nissan,MAGNITE,XV EXECUTIVE,2022,Manual,Petrol,1,11496,17899
587000,Honda,City,1.5L I-VTEC V MT,2018,Manual,Petrol,2,11476,40528
585000,Honda,City,1.5L I-VTEC V MT,2018,Manual,Petrol,2,11437,47487
581000,Hyundai,Creta,SX PLUS 1.6 PETROL,2016,Manual,Petrol,2,11359,44781
580000,Renault,TRIBER,RXZ AMT,2021,Automatic,Petrol,1,11339,20512
580000,Hyundai,Creta,E PLUS 1.6 PETROL,2016,Manual,Petrol,1,11339,62089
579760,Honda,WR-V,1.5L I-DTEC S MT,2017,Manual,Diesel,1,11334,51370
569000,Renault,TRIBER,RXZ AMT,2021,Automatic,Petrol,1,11124,28546
565607,Maruti,Ciaz,ALPHA  AT 1.5 SHVS PETROL,2018,Automatic,Petrol,1,11058,94194
563050,Maruti,Dzire,VXI AMT,2018,Automatic,Petrol,2,11008,32821
559000,Maruti,Vitara Brezza,ZDI PLUS DUAL TONE,2016,Manual,Diesel,3,12435,79638
559000,Toyota,Glanza,V CVT,2019,Automatic,Petrol,2,10929,40854
558425,Tata,TIAGO NRG,XT ICNG,2022,Manual,CNG,1,10917,46518
558000,Ford,Ecosport,TREND + 1.5L PETROL AT,2018,Automatic,Petrol,1,10909,85300
556000,Volkswagen,Polo,HIGHLINE PLUS 1.0 16 ALLOY,2018,Manual,Petrol,1,10870,12537
555000,Hyundai,Elite i20,ASTA 1.2  CVT,2018,Automatic,Petrol,2,10850,28353
555000,Nissan,MAGNITE,XV MT,2021,Manual,Petrol,1,10850,26959
554000,Honda,City,1.5L I-VTEC VX CVT,2015,Automatic,Petrol,1,12323,66140
546000,Maruti,Celerio,VXI CNG,2022,Manual,CNG,1,10674,31714
