score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1330000,Toyota,URBAN CRUISER HYRYDER,G NEO DRIVE,2024,Manual,Petrol,1,25315,10980
1320000,KIA,CARENS,PRESTIGE PLUS 1.5 DIESEL 7 STR,2022,Manual,Diesel,1,25125,19321
1075000,Skoda,KUSHAQ,STYLE 1.0L TSI MT,2021,Manual,Petrol,1,20462,49263
1061775,Tata,NEXON,Creative Plus 1.2 Revotron 6MT,2024,Manual,Petrol,1,20210,10550
1006530,Skoda,KUSHAQ,ACTIVE 1.0L TSI MT,2023,Manual,Petrol,1,19158,20249
990000,KIA,SONET,HTX 1.0 IMT,2023,Manual,Petrol,1,18844,14539
855000,Hyundai,VENUE,SX 1.0 TURBO IMT,2021,Manual,Petrol,1,16274,21471
800000,Maruti,XL6,ALPHA AT,2020,Automatic,Petrol,2,15227,72005
793800,Maruti,Vitara Brezza,VXI,2022,Manual,Petrol,1,15519,53967
784080,Hyundai,Verna,1.4 EX CRDI,2019,Manual,Diesel,1,15329,61210
775030,Hyundai,VENUE,SX 1.0 (O) TURBO IMT,2020,Manual,Petrol,1,15152,82965
771060,Tata,NEXON,XZ PLUS (O) PETROL,2020,Manual,Petrol,1,15074,61868
740480,Maruti,Swift,ZXI AMT,2022,Automatic,Petrol,1,14477,13734
719050,Hyundai,VENUE,S 1.2,2022,Manual,Petrol,1,14058,13136
685240,Hyundai,Creta,SX PLUS 1.6 PETROL,2016,Manual,Petrol,1,13397,75053
677000,Hyundai,AURA,SX 1.2,2022,Manual,Petrol,1,13235,46648
655200,Mahindra,XUV300,W8 (O) 1.2 PETROL,2019,Manual,Petrol,1,12809,97397
644140,Maruti,New Wagon-R,ZXI PLUS 1.2,2024,Manual,Petrol,1,12593,12387
614000,Volkswagen,Vento,HIGHLINE PLUS 1.2 AT 16 ALLOY,2017,Automatic,Petrol,1,12004,71235
609000,Maruti,Swift,VXI AMT,2022,Automatic,Petrol,1,11906,47944
608000,Maruti,Baleno,ZETA PETROL 1.2,2020,Manual,Petrol,1,11887,17921
596000,Tata,TIGOR,XZ CNG,2022,Manual,CNG,1,11652,48720
590000,Honda,WR-V,1.5L I-DTEC VX MT,2017,Manual,Diesel,2,11535,88251
585000,Maruti,Baleno,DELTA PETROL 1.2,2021,Manual,Petrol,2,11437,27628
584000,Honda,City,1.5L I-VTEC V MT,2016,Manual,Petrol,1,11417,31874
581000,Tata,PUNCH,PURE MT,2023,Manual,Petrol,1,11359,3490
557000,Maruti,Dzire,VXI,2020,Manual,Petrol,2,10889,93754
549750,Honda,Amaze,1.2L I-VTEC S,2021,Manual,Petrol,1,10748,88438
549580,Volkswagen,Polo,HIGHLINE PLUS 1.0 16 ALLOY,2019,Manual,Petrol,1,10744,55590
547200,Maruti,Dzire,VXI AMT,2020,Automatic,Petrol,1,10698,56266
525000,Maruti,Baleno,ALPHA PETROL 1.2,2018,Manual,Petrol,1,10264,16582
521000,Maruti,New Wagon-R,ZXI 1.2,2022,Manual,Petrol,1,10186,36319
508000,Maruti,Eeco,7 STR,2021,Manual,Petrol,1,9931,19309
500000,Hyundai,Elite i20,SPORTZ 1.2,2017,Manual,Petrol,2,9775,62723
499800,Maruti,New Wagon-R,VXI 1.0,2022,Manual,Petrol,1,9771,35948
496000,Honda,City,1.5L I-VTEC VX,2015,Manual,Petrol,1,11033,66049
484030,Maruti,Baleno,ALPHA DIESEL 1.3,2015,Manual,Diesel,2,12746,91816
481760,Maruti,New Wagon-R,LXI CNG 1.0,2020,Manual,CNG,1,9419,20952
474000,Volkswagen,Ameo,COMFORTLINE 1.0L,2018,Manual,Petrol,1,9267,56126
471000,Honda,Amaze,1.2L I-VTEC S,2019,Manual,Petrol,1,9208,64883
468210,Maruti,New Wagon-R,VXI 1.0,2021,Manual,Petrol,1,9154,37186
468000,Maruti,Celerio,VXI CNG,2020,Manual,CNG,1,9149,27234
455000,Maruti,Celerio,VXI,2020,Manual,Petrol,1,8895,20316
451000,Volkswagen,Polo,HIGHLINE1.2L,2017,Manual,Petrol,2,8817,56866
445240,Honda,Jazz,1.2L I-VTEC V,2018,Manual,Petrol,1,8705,60650
440000,Hyundai,Elite i20,ASTA 1.2,2016,Manual,Petrol,2,8602,77177
440000,Maruti,IGNIS,SIGMA 1.2,2021,Manual,Petrol,1,8602,15448
438440,Maruti,Swift,VXI,2017,Manual,Petrol,1,8572,84240
437350,Tata,Tiago,XT PETROL,2020,Manual,Petrol,1,8550,32749
437000,Maruti,Celerio,VXI AMT,2019,Automatic,Petrol,1,8543,39168
430000,Honda,City,1.5L I-VTEC V MT,2015,Manual,Petrol,1,9565,51137
428750,Hyundai,Grand i10,SPORTZ (O) 1.2 KAPPA VTVT,2017,Manual,Petrol,1,8382,35325
427000,Maruti,S PRESSO,VXI+,2022,Manual,Petrol,1,8348,34021
426800,Volkswagen,Polo,HIGHLINE1.2L,2016,Manual,Petrol,2,8344,61116
418875,Hyundai,Elite i20,SPORTZ 1.2,2017,Manual,Petrol,2,8189,27289
417100,Maruti,Swift,VXI,2016,Manual,Petrol,1,8154,64215
407347,Maruti,IGNIS,ZETA 1.2 AMT,2017,Automatic,Petrol,2,7964,80406
404490,Hyundai,Elite i20,ASTA 1.2,2015,Manual,Petrol,2,8998,64842
385460,Maruti,S PRESSO,VXI+,2020,Manual,Petrol,1,7536,17991
379000,Maruti,Alto,VXI,2020,Manual,Petrol,1,7410,7256
377000,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,2016,Manual,Petrol,1,7370,62572
370500,Maruti,IGNIS,DELTA 1.2,2017,Manual,Petrol,2,7243,79004
370000,Renault,Kwid,RXT 1.0 (O),2021,Manual,Petrol,1,7234,43666
365000,Datsun,Redi Go,T(O),2020,Manual,Petrol,1,7136,84479
363000,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,2017,Manual,Petrol,2,7097,68107
361420,Renault,Kwid,RXL 1.0,2021,Manual,Petrol,1,7066,61935
349708,Renault,Kwid,RXL,2021,Manual,Petrol,1,6837,20288
349200,Maruti,Celerio,VXI AMT,2016,Automatic,Petrol,1,6827,31852
333000,Hyundai,Xcent,S (O) 1.2,2014,Manual,Petrol,1,8769,77745
331000,Maruti,Wagon R 1.0,VXI,2015,Manual,Petrol,1,7363,46410
330000,Hyundai,i10,SPORTZ 1.1,2016,Manual,Petrol,1,6452,89265
324000,Hyundai,Xcent,S 1.2,2014,Manual,Petrol,1,8532,55603
315250,Maruti,Wagon R 1.0,VXI,2016,Manual,Petrol,1,6163,96904
314280,Renault,Kwid,RXL 1.0,2019,Manual,Petrol,2,6144,63381
309800,Maruti,Alto K10,VXI,2018,Manual,Petrol,1,6057,27112
302000,Maruti,Alto,VXI,2020,Manual,Petrol,1,5904,10508
299000,Maruti,Alto,LXI CNG,2019,Manual,CNG,2,5846,39337
279730,Maruti,Wagon R 1.0,VXI,2014,Manual,Petrol,1,7366,75548
255000,Maruti,Wagon R 1.0,LXI,2013,Manual,Petrol,2,8470,45607
247000,Datsun,Redi Go,T(O) 1.0 AMT,2018,Automatic,Petrol,2,4829,33678
228000,Maruti,Alto 800,VXI,2015,Manual,Petrol,1,5072,91652
221950,Maruti,Wagon R 1.0,LXI,2014,Manual,Petrol,3,5845,87419
216580,Datsun,Redi Go,S,2018,Manual,Petrol,2,4234,39672
