score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
4850000,Mercedes Benz,GLA Class,200,2024,Automatic,Petrol,1,92315,4959
4210000,MG,GLOSTER,SAVVY 6 STR 2.0 TWIN TURBO 4WD,2023,Automatic,Diesel,1,80133,36300
3990000,Mercedes Benz,C Class,C 220d PROGRESSIVE,2020,Automatic,Diesel,1,75946,75000
3300000,Skoda,Kodiaq,SCOUT,2019,Automatic,Diesel,1,62812,58582
2307021,Skoda,Kodiaq,L&K 2.0 TDI 4X4 AT,2019,Automatic,Diesel,1,43912,96599
2250000,BMW,5 Series,520I LUXURY LINE,2016,Automatic,Petrol,1,42827,47450
2250000,Audi,A4,35 TDI Technology,2018,Automatic,Diesel,1,48920,120000
2022000,Mahindra,XUV700,AX 7 D MT 7 STR,2023,Manual,Diesel,1,38487,17786
1999999,Skoda,Kodiaq,STYLE 2.0 TDI 4X4 AT,2018,Automatic,Diesel,1,43485,136077
1996729,Skoda,Kodiaq,STYLE 2.0 TDI 4X4 AT,2018,Automatic,Diesel,1,38006,89250
1953000,Volkswagen,TAIGUN,GT PLUS 1.5 TSI DSG,2024,Automatic,Petrol,1,37174,5375
1849000,Tata,Safari,XZ PLUS,2021,Manual,Diesel,1,35194,91076
1821000,MG,HECTOR PLUS,SHARP 2.0 DIESEL TURBO MT 6-STR,2022,Manual,Diesel,1,34661,19336
1775000,Tata,Harrier,XZA PLUS 2.0L KAZIRANGA,2021,Automatic,Diesel,1,33785,68625
1768102,Toyota,Innova Crysta,2.4 VX 8 STR,2016,Manual,Diesel,1,38443,107770
1754000,Skoda,Kodiaq,STYLE 2.0 TDI 4X4 AT,2018,Automatic,Diesel,2,33386,97267
1750000,Volkswagen,Passat,COMFORTLINE DSG,2018,Automatic,Diesel,1,38049,110642
1750000,Mahindra,Thar,LX D AT 4WD HT,2022,Automatic,Diesel,1,33310,24000
1750000,MG,HECTOR,SHARP 1.5 DCT PETROL,2021,Automatic,Petrol,1,33310,83849
1718000,Toyota,Innova Crysta,2.4 GX AT 7 STR,2021,Automatic,Diesel,1,32701,65136
1715454,Maruti,Grand Vitara,ALPHA SMART HYBRID,2024,Manual,Petrol,1,32652,15481
1700000,MG,HECTOR,SHARP 2.0 DIESEL,2021,Manual,Diesel,1,32358,42112
1695000,Hyundai,Creta,SX 1.5 DIESEL,2022,Manual,Diesel,1,32263,45000
1690367,Toyota,Innova Crysta,2.4 ZX 7 STR,2017,Manual,Diesel,1,36753,194485
1690000,MG,HECTOR PLUS,SHARP 2.0 DIESEL TURBO MT 6-STR,2020,Manual,Diesel,1,32168,48168
1605728,KIA,SELTOS,GTX PLUS AT 1.5 DIESEL,2020,Automatic,Diesel,1,30564,78900
1600000,MG,HECTOR PLUS,SHARP 2.0 DIESEL TURBO MT 6-STR,2020,Manual,Diesel,1,30455,54700
1590000,Honda,Civic,1.6L I-DTEC VX MT,2019,Manual,Diesel,1,30264,42000
1581000,Skoda,SLAVIA,STYLE 1.0L TSI AT,2024,Automatic,Petrol,1,30093,5852
1578000,Hyundai,Creta,SX (O) 1.5 DIESEL,2022,Manual,Diesel,1,30036,69479
1527000,Maruti,Grand Vitara,ALPHA PLUS HYBRID ECVT,2022,Automatic,Hybrid,1,29065,33456
1516000,Maruti,Grand Vitara,ALPHA SMART HYBRID,2024,Manual,Petrol,1,28856,14328
1515000,KIA,CARENS,LUXURY PLUS 1.4 PETROL 7 STR,2022,Manual,Petrol,1,28837,17606
1500000,KIA,SELTOS,HTK PLUS 1.5 DIESEL IMT,2023,Manual,Diesel,1,28551,33052
1475000,MG,HECTOR,SHARP 2.0 DIESEL,2020,Manual,Diesel,1,28075,84800
1425000,Toyota,Innova Crysta,2.4 G 7 STR,2016,Manual,Diesel,2,30983,111182
1402000,Toyota,Innova Crysta,2.4 VX 7 STR,2016,Manual,Diesel,1,30483,161106
1397000,Mahindra,XUV400,EL 7.2 KW,2023,Automatic,Electric,1,26591,57536
1390915,Mahindra,XUV300,W8 1.5 DIESEL AMT,2023,Automatic,Diesel,1,26475,57431
1390000,Mahindra,Thar,LX HARD TOP 4WD MT,2020,Manual,Diesel,2,26457,64531
1390000,Tata,Harrier,XZ PLUS 2.0L DUAL TONE,2020,Manual,Diesel,1,26457,18708
1350000,Skoda,SLAVIA,STYLE 1.5L TSI DSG,2022,Automatic,Petrol,1,25696,31200
1350000,Tata,Harrier,XZ 2.0L,2019,Manual,Diesel,1,25696,50600
1325000,Tata,Harrier,XZ 2.0L,2019,Manual,Diesel,1,25220,77716
1300000,Maruti,XL6,ZETA CNG,2024,Manual,Petrol,1,24744,5041
1290576,Tata,NEXON EV,PRIME XZ PLUS DARK EDITION,2022,Automatic,Electric,1,24565,25292
1275000,Mahindra,XUV500,W11(O),2019,Manual,Diesel,1,24268,77251
1265000,MG,ASTOR,SHARP 1.5 CVT,2022,Automatic,Petrol,2,24078,46177
1250000,Audi,A4,2.0 TDI PREMIUM PLUS,2013,Automatic,Diesel,1,58260,74000
1235000,Mahindra,Thar,LX HARD TOP 4WD MT,2021,Manual,Diesel,2,23507,60665
1233000,Tata,Harrier,XT PLUS 2.0L KRYOTEC,2021,Manual,Diesel,1,26808,127488
1229000,Toyota,Innova Crysta,2.4 GX 7 STR,2018,Manual,Diesel,1,26721,136691
1196000,KIA,SONET,GTX PLUS 1.5 AT,2021,Automatic,Diesel,1,22765,38836
1175000,Maruti,Ertiga,ZDI+ 1.5,2019,Manual,Diesel,1,25547,100797
1175000,Mahindra,XUV500,W9,2019,Manual,Diesel,1,22365,73822
1171000,Mahindra,XUV500,W11(O),2018,Manual,Diesel,1,25460,105688
1150000,Mahindra,XUV500,W11,2019,Manual,Diesel,3,25004,103243
1150000,Maruti,Ertiga,  VXI (O) CNG,2023,Manual,Petrol,1,21889,38912
1100000,Hyundai,Verna,SX 1.5 CRDI AT,2021,Automatic,Diesel,2,20937,87415
1100000,MG,HECTOR,SHARP 2.0 DIESEL,2019,Manual,Diesel,2,20937,55945
1091000,Audi,A6,2.0 TDI PREMIUM,2013,Automatic,Diesel,2,50849,92348
1075000,Mahindra,BOLERO NEO,N 8,2023,Manual,Diesel,1,20462,74319
1071000,Tata,Safari Storme,2.2 VX 4X2,2018,Manual,Diesel,1,20385,85530
1055000,MG,HECTOR,SHARP 1.5 DCT PETROL,2019,Automatic,Petrol,1,22938,652010
1050000,Mercedes Benz,E Class,E 220 CDI avantgarde,2012,Automatic,Diesel,1,92801,126000
1050000,Mitsubishi,Pajero Sport,2.5 MT 4X4,2014,Manual,Diesel,2,34376,330261
1050000,Tata,NEXON EV,XZ PLUS,2022,Automatic,Electric,1,19986,54064
1049310,Tata,NEXON,XM PLUS SUNROOF DIESEL,2022,Manual,Diesel,1,19973,75140
1041000,Mahindra,Scorpio,S10 2WD INTELLI-HYBRID,2015,Manual,Diesel,1,26905,81337
1028000,Jeep,Compass,LONGITUDE (O) 2.0 DIESEL,2018,Manual,Diesel,2,19567,74824
1021000,Hyundai,Creta,SX 1.6 DIESEL,2017,Manual,Diesel,1,19434,86000
1000000,Mahindra,XUV300,W8 (O) 1.2 PETROL,2022,Manual,Petrol,1,19034,62247
990000,Mahindra,Scorpio,S10,2014,Manual,Diesel,1,32411,41300
