score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1365000,KIA,SELTOS,HTX IVT 1.5 PETROL,2021,Automatic,Petrol,2,25982,17028
1270000,KIA,SELTOS,GTX PLUS 1.4 PETROL,2021,Manual,Petrol,1,24173,70234
1160000,KIA,SELTOS,HTX PLUS AT1.5 DIESEL,2020,Automatic,Diesel,1,22080,19551
910000,KIA,SONET,HTX 1.5,2022,Manual,Diesel,1,17321,29443
903000,Tata,NEXON,XM SUNROOF PETROL,2023,Manual,Petrol,1,17188,30316
875000,KIA,SONET,GTX PLUS 1.0 DCT,2021,Automatic,Petrol,1,16655,45125
810000,KIA,SONET,HTX 1.0 DCT,2021,Automatic,Petrol,1,15418,53388
799000,Hyundai,VENUE,SX 1.0 (O) TURBO,2020,Manual,Petrol,1,15621,23332
758000,KIA,SONET,HTK PLUS 1.2,2022,Manual,Petrol,1,14819,41357
719000,Honda,City,1.5L I-VTEC V MT 4TH GEN,2021,Manual,Petrol,1,14057,44782
710000,Hyundai,NEW I20,ASTA (O) 1.2 MT,2021,Manual,Petrol,1,13881,17905
699000,KIA,SONET,HTK PLUS 1.0 IMT,2020,Manual,Petrol,1,13666,30587
690000,Tata,NEXON,XM PETROL,2021,Manual,Petrol,1,13490,23872
690000,Hyundai,NEW I20,SPORTZ 1.5 MT,2021,Manual,Diesel,1,13490,41169
650000,Hyundai,VENUE,SX 1.0 TURBO,2019,Manual,Petrol,1,12708,74684
645000,Hyundai,NEW I20,ASTA (O) 1.2 MT,2021,Manual,Petrol,2,12610,44711
636000,Nissan,MAGNITE,XV PREMIUM,2022,Manual,Petrol,1,12434,33394
613000,Hyundai,VENUE,SX PLUS 1.0 TURBO DCT,2019,Automatic,Petrol,2,11984,44210
599000,Ford,Ecosport,TITANIUM 1.5L PETROL,2019,Manual,Petrol,1,11711,23474
595000,Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT DUAL TONE,2022,Manual,Petrol,1,11632,14759
590000,Maruti,New Wagon-R,VXI CNG 1.0,2023,Manual,CNG,1,11535,45472
585000,Hyundai,Creta,SX PLUS 1.6 PETROL,2018,Manual,Petrol,2,11437,75138
585000,Honda,City,1.5L I-VTEC SV,2019,Manual,Petrol,2,11437,48384
570000,Maruti,Ciaz,ALPHA 1.4 PETROL,2018,Manual,Petrol,1,11144,21624
525000,Tata,ALTROZ,XT PETROL,2021,Manual,Petrol,1,10264,63795
523000,Nissan,MAGNITE,XE,2023,Manual,Petrol,1,10225,4199
510000,Renault,TRIBER,RXL MT,2021,Manual,Petrol,1,9971,44094
510000,Ford,Ecosport,TITANIUM 1.5L DIESEL,2018,Manual,Diesel,2,9971,58575
499000,Maruti,Baleno,DELTA DIESEL 1.3,2018,Manual,Diesel,2,9756,43154
495000,Maruti,Dzire,VDI,2017,Manual,Diesel,1,9677,57219
485000,Hyundai,GRAND I10 NIOS,ASTA 1.2 KAPPA VTVT,2019,Manual,Petrol,1,9482,79059
465000,Renault,Kwid,CLIMBER MT 1.0,2022,Manual,Petrol,1,9091,19424
435000,Maruti,Alto K10,VXI PLUS,2022,Manual,Petrol,1,8504,8654
435000,Maruti,Baleno,ZETA PETROL 1.2,2016,Manual,Petrol,1,8504,37603
426000,Maruti,IGNIS,SIGMA 1.2,2021,Manual,Petrol,1,8328,33106
370000,Maruti,Celerio,ZXI AMT,2017,Automatic,Petrol,1,7234,30412
342000,Hyundai,Elite i20,MAGNA 1.2,2015,Manual,Petrol,1,7608,36344
310000,Maruti,Alto,VXI,2020,Manual,Petrol,1,6061,31071
277000,Hyundai,Grand i10,MAGNA 1.2 KAPPA VTVT,2014,Manual,Petrol,1,7294,80593
250000,Hyundai,Grand i10,MAGNA 1.2 KAPPA VTVT,2014,Manual,Petrol,2,6583,78648
