score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
6000000,Mercedes Benz,GLE COUPE,43 AMG 4MATIC,2017,Automatic,Petrol,1,114204,59751
4000000,Mercedes Benz,S Class,S350 CDI L V6,2015,Automatic,Diesel,2,103382,57579
1906360,Toyota,Innova Crysta,2.4 G 8 STR,2020,Manual,Diesel,1,36286,50457
1770000,Mahindra,SCORPIO-N,N Z8 S Petrol AT,2024,Automatic,Petrol,1,33690,7072
1377000,KIA,CARENS,PRESTIGE PLUS 1.5 DIESEL 7 STR,2022,Manual,Diesel,1,26210,37512
1338000,KIA,SELTOS, HTX 1.5 PETROL MT,2023,Manual,Petrol,1,25468,2929
1309000,Skoda,KUSHAQ,STYLE 1.0L TSI AT,2021,Automatic,Petrol,2,24916,48318
1269100,Maruti,Grand Vitara,ALPHA SMART HYBRID ALLGRIP,2022,Manual,Petrol,1,24156,18262
1200000,Audi,Q3,35 TDI PREMIUM PLUS,2015,Automatic,Diesel,2,31015,112490
1186000,KIA,SELTOS,HTX IVT 1.5 PETROL,2021,Automatic,Petrol,1,22574,70928
1146000,KIA,SELTOS,HTX 1.5 PETROL,2021,Manual,Petrol,1,21813,37452
1088000,Mahindra,XUV500,W9,2019,Manual,Diesel,1,20709,48705
1083000,KIA,CARENS,PRESTIGE 1.4 PETROL 7 STR,2023,Manual,Petrol,1,20614,13379
1081150,Tata,Harrier,XM 2.0L KRYOTEC,2020,Manual,Diesel,2,20579,34118
1075000,BMW,X3,XDRIVE 20D,2012,Automatic,Diesel,2,95010,95868
1071000,Jeep,Compass,LIMITED 2.0 DIESEL,2018,Manual,Diesel,1,20385,78920
1063000,Tata,NEXON,CREATIVE + 1.2 PETROL,2023,Manual,Petrol,1,20233,12041
1049400,Tata,NEXON,XZA PLUS (L),2023,Automatic,Petrol,1,19974,4877
1020380,Mahindra,XUV300,W8 (O) 1.5 DIESEL AMT,2021,Automatic,Diesel,1,19422,39348
969000,Tata,NEXON,XMA SUNROOF DIESEL,2020,Automatic,Diesel,1,18444,34166
965000,Jeep,Compass,LIMITED 2.0 DIESEL,2018,Manual,Diesel,2,18368,80729
945750,KIA,SONET,HTX 1.0 IMT,2022,Manual,Petrol,1,18001,20342
933860,KIA,SELTOS,HTK PLUS 1.5,2020,Manual,Petrol,1,17775,46610
925000,Jeep,Compass,LIMITED (O) 1.4 PETROL AT,2018,Automatic,Petrol,1,17607,58649
914000,Hyundai,Creta,SX (O) 1.6 PETROL,2019,Manual,Petrol,1,17397,29556
912000,Skoda,SLAVIA,ACTIVE 1.0L TSI MT,2023,Manual,Petrol,1,17359,43766
895000,KIA,SONET,GTX PLUS 1.0 IMT,2021,Manual,Petrol,1,17036,74144
890000,Tata,PUNCH,ACCOMPLISHED DAZZLE SUNROOF CNG MT,2024,Manual,CNG,1,16940,8685
884000,Maruti,Ertiga,VXI AT SHVS,2021,Automatic,Petrol,1,16826,46869
878000,Tata,NEXON,XZA PLUS (O) PETROL DARK EDITION,2021,Automatic,Petrol,1,16712,26591
877850,Honda,City,1.5L I-VTEC ZX,2020,Manual,Petrol,2,16709,32901
870000,KIA,SONET,HTK PLUS 1.5 AT,2020,Automatic,Diesel,1,16560,81120
865000,Honda,City,1.5L I-VTEC VX CVT,2020,Automatic,Petrol,1,16464,45528
865000,Hyundai,VENUE,SX 1.0 (O) TURBO,2021,Manual,Petrol,1,16464,24329
827000,Maruti,Baleno, ZETA CNG 1.2L,2023,Manual,CNG,1,15741,17221
825000,Maruti,Baleno,ALPHA 1.2 AGS,2022,Automatic,Petrol,1,15703,15494
820000,Mahindra,XUV300,W8 (O) 1.2 PETROL,2020,Manual,Petrol,1,15608,34927
802780,Hyundai,VENUE,SX 1.0 TURBO IMT,2020,Manual,Petrol,1,15280,22216
797000,Skoda,KUSHAQ,ACTIVE 1.0L TSI MT,2021,Manual,Petrol,1,15582,47658
779000,Hyundai,AURA,S 1.2 CNG,2024,Manual,CNG,1,15230,24610
767000,Tata,Tiago,XT Rhythm CNG,2024,Manual,CNG,1,14995,22564
735000,Hyundai,VENUE,SX 1.0 (O) TURBO,2019,Manual,Petrol,2,14369,37145
734000,Hyundai,VENUE,S 1.2,2022,Manual,Petrol,1,14350,18196
730000,Skoda,Rapid,STYLE TSI,2021,Manual,Petrol,2,14272,20076
720000,Tata,ALTROZ,XZ DIESEL,2022,Manual,Diesel,1,14076,67563
711000,Volkswagen,Polo,HIGHLINE PLUS 1.0,2021,Manual,Petrol,1,13900,31887
709000,Maruti,IGNIS,ALPHA 1.2,2024,Manual,Petrol,1,13861,3804
699000,Maruti,Ciaz,DELTA AT 1.5 SHVS PETROL,2019,Automatic,Petrol,1,13666,27483
696000,Tata,NEXON,XZ PETROL,2019,Manual,Petrol,1,13607,46313
692000,Honda,Amaze,1.5L I-DTEC V,2020,Manual,Diesel,1,13529,69761
682760,Maruti,Baleno,ZETA CVT PETROL 1.2,2020,Automatic,Petrol,1,13348,4022
681000,Honda,City,1.5L I-VTEC SV,2018,Manual,Petrol,1,13314,39766
666400,Honda,Amaze,1.2L I-VTEC VX,2022,Manual,Petrol,1,13028,45240
664000,Renault,Duster,110 PS RXZ 4X2 AMT DIESEL,2018,Automatic,Diesel,2,12981,80197
663000,Hyundai,Verna,1.6 VTVT SX,2017,Manual,Petrol,1,12962,61210
660000,Renault,Duster,RXS CVT,2018,Automatic,Petrol,1,12903,18852
660000,Tata,Tiago,XZ PLUS CNG,2023,Manual,CNG,1,12903,37544
658930,Hyundai,Elite i20,ASTA 1.2 (O),2018,Manual,CNG,1,12882,40166
650000,Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT CNG,2022,Manual,CNG,1,12708,59580
649000,Nissan,MAGNITE,XL TURBO CVT,2021,Automatic,Petrol,1,12688,23586
640000,Nissan,MAGNITE, XE AMT EZ Shift,2024,Automatic,Petrol,1,12512,6970
630230,Maruti,Baleno,ZETA CVT PETROL 1.2,2017,Automatic,Petrol,1,12321,52075
