score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
916000,Hyundai,EXTER,SX(O) CONNECT 1.2 AMT,2023,Automatic,Petrol,1,17435,9468
780000,Maruti,Swift,ZXi,2024,Manual,Petrol,1,15249,23176
750000,Tata,NEXON,XM SUNROOF PETROL,2022,Manual,Petrol,1,14663,34416
730000,Tata,PUNCH,ADVENTURE RHYTHM CNG MT,2023,Manual,CNG,1,14272,32255
725200,Hyundai,VENUE,S+ 1.2,2021,Manual,Petrol,1,14178,19860
720000,Mahindra,XUV300,W8 1.2 PETROL,2021,Manual,Petrol,1,14076,32642
690000,Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT CNG,2023,Manual,CNG,1,13490,27283
675000,Hyundai,AURA,SX 1.2 (O),2022,Manual,Petrol,1,13196,38424
640000,Volkswagen,Polo,HIGHLINE PLUS 1.0L TSI AT,2021,Automatic,Petrol,2,12512,49739
630000,Hyundai,AURA,S 1.2 CNG,2022,Manual,CNG,1,12317,58241
620000,Tata,TIGOR,XZ PLUS CNG,2022,Manual,CNG,1,12121,41149
616000,Maruti,S Cross,ZETA 1.3,2019,Manual,Diesel,2,12043,98202
590000,Maruti,Dzire,VXI,2021,Manual,Petrol,1,11535,25556
587820,Hyundai,Elite i20,SPORTZ PLUS 1.2,2019,Manual,CNG,1,11492,92787
585000,Maruti,Eeco,5 STR AC CNG,2024,Manual,CNG,1,11437,19554
579300,Maruti,Swift,VXI,2022,Manual,Petrol,1,11325,49475
575000,Maruti,Swift,VXI,2021,Manual,Petrol,1,11241,49240
562600,Hyundai,Elite i20,SPORTZ 1.4 CRDI,2018,Manual,Diesel,2,10999,74512
547000,Renault,TRIBER,RXT,2023,Manual,Petrol,1,10694,12063
542977,Hyundai,Elite i20,SPORTZ PLUS 1.4 CRDI,2019,Manual,Diesel,2,10615,93161
525225,Hyundai,Elite i20,ASTA 1.2 (O),2018,Manual,Petrol,1,10268,71112
514100,Tata,Tiago,XT CNG,2022,Manual,CNG,1,10051,27503
480000,Nissan,MAGNITE,XE,2021,Manual,Petrol,1,9384,22781
451000,Maruti,Eeco,5 STR WITH A/C+HTR,2020,Manual,CNG,1,8817,60028
424000,Nissan,MAGNITE,XE,2021,Manual,Petrol,2,8289,51943
420000,Hyundai,Grand i10,SPORTZ AT 1.2 KAPPA VTVT,2017,Automatic,CNG,2,9343,68703
414000,Renault,Kwid,CLIMBER AMT 1.0,2022,Automatic,Petrol,1,8094,34472
394000,Maruti,IGNIS,DELTA 1.2,2018,Manual,Petrol,1,7703,74383
387000,Maruti,IGNIS,SIGMA 1.2,2021,Manual,Petrol,1,7566,69181
384000,Honda,Amaze,1.2L I-VTEC SX,2015,Manual,Petrol,1,8542,74816
358900,Renault,Kwid,CLIMBER 1.0 (O),2021,Manual,Petrol,1,7017,45385
334650,Tata,Tiago,XE PETROL,2018,Manual,Petrol,1,6542,66955
332925,Maruti,Swift,LXI,2014,Manual,Petrol,1,8767,48376
330000,Hyundai,Xcent,S 1.2,2015,Manual,Petrol,2,7341,91616
330000,Maruti,Wagon R 1.0,VXI,2017,Manual,Petrol,1,6452,64327
310000,Renault,Kwid,RXL,2021,Manual,Petrol,2,6061,19338
305000,Maruti,Alto,LXI,2020,Manual,Petrol,1,5963,20320
300000,Maruti,Alto 800,LXI,2019,Manual,Petrol,1,5865,27921
278000,Hyundai,Eon,ERA +,2017,Manual,Petrol,1,5435,48804
272000,Maruti,Alto 800,LXI,2019,Manual,Petrol,2,5318,15394
220000,Renault,Kwid,RXL,2017,Manual,Petrol,1,4301,85828
