score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1269000,KIA,SELTOS,GTX PLUS AT 1.5 DIESEL,2020,Automatic,Diesel,1,24154,69950
1035596,Mahindra,Thar,LX PETROL HT 4WD AT,2021,Automatic,Petrol,1,19712,29961
1034000,Mahindra,Thar,LX PETROL HT 4WD AT,2021,Automatic,Petrol,1,19681,15466
1030000,KIA,SELTOS,HTX 1.5 PETROL,2021,Manual,Petrol,1,19605,29625
975000,MG,HECTOR,SUPER 1.5 PETROL,2021,Manual,Petrol,1,18558,26496
965000,MG,HECTOR,SHARP 1.5 DCT PETROL,2019,Automatic,Petrol,1,18368,77272
930000,Tata,NEXON,XZA PLUS DIESEL KAZIRANGA,2022,Automatic,Diesel,1,17702,38893
912082,Honda,City,1.5L I-VTEC ZX CVT,2020,Automatic,Petrol,1,17361,72236
895000,Maruti,XL6,ALPHA MT,2021,Manual,Petrol,1,17036,49857
840000,Tata,ALTROZ,XZ PLUS SUNROOF CNG,2024,Manual,CNG,1,15989,30062
835000,Maruti,XL6,ZETA AT,2020,Automatic,Petrol,1,15893,37133
818000,KIA,SELTOS,HTK 1.5 PETROL,2020,Manual,Petrol,1,15570,42930
806000,Maruti,BREZZA,LXI SMART HYBRID,2022,Manual,Petrol,1,15341,38512
804000,Hyundai,NEW I20 N LINE,N8 1.0 TURBO GDI DCT,2021,Automatic,Petrol,2,15303,46770
735000,Maruti,Ciaz,SIGMA 1.5 SHVS MT  PETROL,2023,Manual,Petrol,1,14369,38372
708000,Hyundai,GRAND I10 NIOS,ASTA 1.2 KAPPA VTVT,2024,Manual,Petrol,1,13842,4715
698400,Skoda,Rapid,STYLE TSI,2021,Manual,Petrol,2,13654,77932
661000,Hyundai,NEW I20,SPORTZ 1.2 AT,2020,Automatic,Petrol,1,12923,35994
614000,Honda,WR-V,1.2L I-VTEC VX MT,2019,Manual,Petrol,1,12004,42440
607000,Renault,TRIBER,RXZ,2023,Manual,Petrol,1,11867,22244
600000,Hyundai,NEW I20,SPORTZ 1.0T GDI IMT,2021,Manual,Petrol,2,11730,44916
585000,Renault,TRIBER,RXZ,2023,Manual,Petrol,1,11437,10865
581000,Maruti,Baleno,DELTA PETROL 1.2,2021,Manual,Petrol,1,11359,15551
577150,Maruti,Celerio,VXI CNG,2023,Manual,CNG,1,11283,19984
575000,Tata,TIAGO NRG,XZ AMT,2022,Automatic,Petrol,1,11241,7834
531900,Ford,Ecosport,TREND 1.5L PETROL,2018,Manual,Petrol,1,10399,52943
527000,Maruti,New Wagon-R,VXI CNG 1.0,2022,Manual,CNG,1,10303,66854
525000,Maruti,Baleno,ZETA PETROL 1.2,2020,Manual,Petrol,1,10264,76144
515000,Maruti,Baleno,ALPHA CVT PETROL 1.2,2019,Automatic,Petrol,1,10068,94882
484903,Maruti,New Wagon-R,LXI CNG 1.0,2021,Manual,CNG,1,9480,32143
465000,Hyundai,NEW SANTRO,SPORTZ AMT,2020,Automatic,Petrol,1,9091,6961
464630,Maruti,Baleno,ALPHA PETROL 1.2,2017,Manual,Petrol,1,9084,56084
460000,Renault,Duster,RXL PETROL,2017,Manual,Petrol,1,8993,55501
450000,Renault,Kwid,RXT 1.0 AMT,2023,Automatic,Petrol,1,8798,21360
443000,Hyundai,Verna,FLUIDIC 1.6 VTVT EX,2014,Manual,Petrol,1,11666,31074
418000,Hyundai,Xcent,S 1.2,2017,Manual,Petrol,1,8172,71486
392850,Maruti,Swift,VXI,2016,Manual,Petrol,1,7680,81949
385000,Maruti,Swift,ZXI,2015,Manual,Petrol,2,8564,49499
375000,Renault,Kwid,RXT 1.0,2022,Manual,Petrol,1,7331,17786
351000,Maruti,Celerio,ZXI,2016,Manual,Petrol,1,6862,20400
339000,Maruti,S PRESSO,LXI,2021,Manual,CNG,2,6628,29373
325600,Maruti,Celerio,VXI,2017,Manual,Petrol,1,6366,57271
318000,Honda,Brio,S MT,2017,Manual,Petrol,1,6217,88046
