score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1238407.0,MG Motors,Hector Plus,Sharp 1.5 Petrol Turbo Hybrid MT 6-STR,2020,manual,petrol,1,21089.0,42101
372000.0,Maruti Suzuki,Celerio,VXI AMT,2017,automatic,petrol,1,6334.0,59169
284000.0,Renault,Kwid,RXT 1.0 SCE Special (O),2017,manual,petrol,1,4836.0,33195
284000.0,Renault,Kwid,RXL,2018,manual,petrol,1,4836.0,25063
926000.0,Hyundai,Venue,SX Plus 1.0 Turbo DCT,2021,automatic,petrol,1,15769.0,21981
877232.0,Mahindra,XUV500,W10 AT,2017,automatic,diesel,1,15678.0,83713
321920.0,Renault,Kwid,1.0 Marvel Captain America Edition,2018,automatic,petrol,2,5482.0,61231
601588.0,Tata,Tigor,XZ Petrol,2022,manual,petrol,1,10244.0,13856
225344.0,Renault,Kwid,RXT,2016,manual,petrol,2,3837.0,83964
1350069.0,MG Motors,Hector,2.0 Sharp Diesel Turbo,2021,manual,diesel,1,22990.0,88844
294000.0,Chevrolet,Beat,LT Petrol,2017,manual,petrol,1,11181.0,48428
1075802.0,Kia,Sonet,GTX Plus 1.5 Diesel IMT,2023,manual,diesel,2,18320.0,9612
745000.0,Maruti Suzuki,Ciaz,Alpha Petrol,2021,manual,petrol,1,12686.0,40391
322000.0,Hyundai,Eon,Magna +,2018,manual,petrol,1,5140.0,58043
1375469.0,Mahindra,XUV700,AX 5 Petrol AT 5 STR,2021,automatic,petrol,2,23423.0,45304
1102263.0,Mahindra,Thar,LX 4 STR Hard Top Petrol MT 4WD,2021,manual,petrol,1,18770.0,24307
306830.0,Hyundai,Eon,Era +,2018,manual,petrol,1,4898.0,34458
836000.0,Kia,Sonet,HTX Plus 1.0 iMT,2021,manual,petrol,1,14236.0,62153
444000.0,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,2018,manual,petrol,1,7561.0,76937
300794.0,Nissan,Micra,XL Diesel,2015,manual,diesel,2,5132.0,106396
297776.0,Renault,Kwid,RXT Opt,2019,manual,petrol,2,5070.0,34197
1339978.0,Volkswagen,Virtus,Highline 1.0 TSI AT,2024,automatic,petrol,1,22819.0,10784
266590.0,Maruti Suzuki,Alto 800,LXi,2016,manual,petrol,1,4764.0,41037
836992.0,Maruti Suzuki,Baleno,Alpha Petrol,2023,manual,petrol,1,14253.0,8799
522114.0,Honda,Jazz,VX Petrol,2019,manual,petrol,1,8335.0,66797
1406955.0,MG Motors,Astor,Savvy 1.3 Turbo AT S Red,2022,automatic,petrol,1,23959.0,26138
395000.0,Hyundai,New Santro 1.1,Era Executive,2020,manual,petrol,1,6306.0,45990
840010.0,Honda,Amaze,1.2 VX CVT i-VTEC,2023,automatic,petrol,1,14304.0,30821
802788.0,Honda,Amaze,1.2 VX CVT i-VTEC,2022,automatic,petrol,1,13671.0,28302
532174.0,Nissan,Magnite,XV,2021,manual,petrol,1,9062.0,68736
477000.0,Maruti Suzuki,Wagon R 1.2,ZXI,2022,manual,petrol,2,8123.0,25965
244000.0,Honda,Brio,S MT Petrol+CNG (Outside Fitted),2012,manual,petrol+cng,2,8700.0,81858
276650.0,Nissan,Micra Active,XV,2015,manual,petrol,1,5035.0,52309
889000.0,Kia,Sonet,GTX Plus 1.0 iMT,2021,manual,petrol,1,15139.0,68397
960000.0,Volkswagen,Taigun,Highline 1.0 TSI MT,2022,manual,petrol,1,16348.0,38149
1157127.0,Kia,Carens,Prestige Plus 1.4 Petrol 7 STR,2022,manual,petrol,1,19705.0,33356
313000.0,Renault,Kwid,RXT 1.0 SCE Special,2018,manual,petrol,1,5330.0,36667
1160000.0,Tata,Harrier,XE,2021,manual,diesel,1,19754.0,29698
1321045.0,Skoda,Kushaq,Style 1.5L TSI MT,2021,manual,petrol,1,22496.0,36543
1018968.0,Tata,Nexon,XZA+  1.2l LUXS Dark Edition Petrol AT,2023,automatic,petrol,1,17352.0,36318
307000.0,Datsun,GO,T,2019,manual,petrol,1,5228.0,66001
797758.0,Tata,Altroz,XZ 1.5,2022,manual,diesel,1,13585.0,44408
962000.0,Tata,Nexon,XZ Plus (O),2022,manual,petrol,1,16382.0,8255
1111000.0,Volkswagen,Taigun,Topline 1.0 TSI MT,2021,manual,petrol,1,18919.0,29898
916466.0,Hyundai,Venue,SX Plus 1.0 Turbo DCT,2020,automatic,petrol,1,15606.0,10788
864154.0,Maruti Suzuki,Vitara Brezza,ZXi,2022,manual,petrol,1,14716.0,33130
1238407.0,Kia,Sonet,X Line DCT,2023,automatic,petrol,1,21089.0,27388
240000.0,Hyundai,Eon,Magna +,2015,manual,petrol,2,4095.0,64771
1002982.0,Kia,Seltos,GTX Plus DCT,2019,automatic,petrol,1,17080.0,104026
333992.0,Hyundai,i10,Sportz 1.1 Petrol,2014,manual,petrol,1,7168.0,45036
572414.0,Toyota,Glanza,G,2022,manual,petrol,1,9747.0,100312
260000.0,Maruti Suzuki,Alto 800,Lxi,2016,manual,petrol,1,4646.0,43823
1065000.0,Skoda,Kushaq,Style 1.0L TSI MT,2021,manual,petrol,1,18136.0,86562
798764.0,Renault,Duster,RXZ Petrol,2021,manual,petrol,1,13602.0,32625
498000.0,Maruti Suzuki,Baleno,Zeta 1.2,2016,manual,petrol,1,8480.0,32543
408000.0,Hyundai,New Santro 1.1,Sportz MT,2020,manual,petrol,1,6513.0,116939
291740.0,Renault,Kwid,1.0 RXT AMT,2017,automatic,petrol,2,4968.0,42901
934574.0,Maruti Suzuki,Brezza,ZXI PLUS,2022,manual,petrol,2,15915.0,40001
354000.0,Renault,Kwid,RXL,2021,manual,petrol,1,6028.0,29379
796000.0,Honda,Jazz,ZX CVT,2021,automatic,petrol,1,12708.0,32277
447670.0,Volkswagen,Ameo,1.0 Highline Plus Petrol,2018,manual,petrol,2,7147.0,101151
793734.0,Toyota,Glanza,G E-CNG,2023,manual,petrol+cng,1,13516.0,31842
341034.0,Volkswagen,Ameo,Highline1.2L (P),2016,manual,petrol,3,5444.0,100252
318000.0,Maruti Suzuki,Alto 800,LXi,2018,manual,petrol,1,5683.0,14704
284698.0,Hyundai,Eon,Era +,2017,manual,petrol,1,4545.0,41542
917000.0,Hyundai,Venue,SX Plus 1.0 Turbo DCT,2021,automatic,petrol,1,15615.0,32475
881000.0,Mahindra,XUV 300,W8 (O) Petrol,2021,manual,petrol,1,15002.0,21456
257000.0,Hyundai,Eon,Era +,2015,manual,petrol,1,4385.0,40336
448000.0,Renault,Kwid,1.0 RXT AMT SCE,2022,automatic,petrol,1,7629.0,28179
912000.0,Hyundai,Venue,SX Plus 1.0 Turbo DCT,2021,automatic,petrol,1,15530.0,42478
522114.0,Maruti Suzuki,Ciaz,VXi+,2016,manual,petrol,1,8891.0,64069
414472.0,Honda,Jazz,V CVT,2016,automatic,petrol,2,6617.0,54482
430568.0,Hyundai,New Santro 1.1,Magna AMT,2019,automatic,petrol,1,6874.0,60224
512000.0,Hyundai,New Santro 1.1,Sportz MT,2022,manual,petrol,1,8174.0,23385
1103971.0,Skoda,Kushaq,Ambition 1.0L TSI MT,2023,manual,petrol,1,18799.0,25854
226350.0,Hyundai,i10,Sportz 1.2 Kappa2,2011,manual,petrol,2,16173.0,91966
275000.0,Hyundai,Eon,Magna +,2015,manual,petrol,1,4692.0,30916
425000.0,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,2018,manual,petrol,1,7237.0,77167
437610.0,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,2015,manual,petrol,1,7965.0,43813
933000.0,Tata,Nexon,XZ Plus HS Petrol,2023,manual,petrol,1,15888.0,34175
