score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
991000.0,Hyundai,Venue,SX 1.0  Turbo,2022,manual,petrol,1,16876,10988
610000.0,Honda,City,VX CVT,2014,automatic,petrol,1,13091,84296
488000.0,Maruti Suzuki,Eeco,AC 5 STR,2021,manual,petrol,1,7790,32904
482000.0,Honda,Jazz,V Petrol,2016,manual,petrol,2,7695,41364
278000.0,Maruti Suzuki,Alto 800,Lxi,2014,manual,petrol,1,6189,55720
699000.0,Maruti Suzuki,Baleno,Delta,2021,manual,petrol,1,11903,9518
655000.0,Maruti Suzuki,Ciaz,Alpha 1.4 MT,2018,manual,petrol,1,11154,89150
639000.0,Maruti Suzuki,Baleno,Alpha AT Petrol,2018,automatic,petrol,1,10881,90509
623000.0,Maruti Suzuki,S-Cross,Zeta 1.6,2015,manual,diesel,1,11340,129593
978000.0,Hyundai,Creta,1.4 S,2019,manual,diesel,1,16654,71360
2749000.0,Ford,Endeavour,Titanium 2.2 4x2 MT,2019,manual,diesel,1,46813,36429
551000.0,Hyundai,Elite i20,Sportz 1.2,2015,manual,petrol,1,10029,49389
518000.0,Hyundai,New Santro 1.1,Sportz AMT,2019,automatic,petrol,1,8269,22415
795000.0,Toyota,Glanza,V,2023,manual,petrol,1,13538,61301
878000.0,Hyundai,Venue,SX 1.0  Turbo,2021,manual,petrol,1,14951,56078
621000.0,Maruti Suzuki,Ignis,Zeta MT Petrol,2022,manual,petrol,1,10575,17001
540000.0,Hyundai,Grand i10,Asta 1.2 Kappa VTVT,2018,manual,petrol,1,9195,37189
868000.0,Hyundai,New i20,Asta 1.0 Turbo IMT,2021,manual,petrol,1,14781,27807
582000.0,Hyundai,New Santro 1.1,Sportz AMT,2021,automatic,petrol,1,9291,4920
479000.0,Maruti Suzuki,Celerio X,VXI AMT,2019,automatic,petrol,1,8025,70868
512000.0,Honda,Jazz,VX Petrol,2017,manual,petrol,1,8174,117975
380000.0,Honda,Mobilio,V Petrol,2014,manual,petrol,3,7645,134962
443000.0,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,2016,manual,petrol,1,7544,29411
941000.0,Kia,Sonet,GTX Plus 1.5 AT,2020,automatic,diesel,2,16024,73824
419000.0,Hyundai,i20,Asta 1.2,2013,manual,petrol,1,11294,110237
519000.0,Hyundai,Elite i20,Asta 1.2 (O),2015,manual,petrol,2,9447,90916
254000.0,Hyundai,Eon,Magna + 1.0,2014,manual,petrol,2,5110,112260
480000.0,Volkswagen,Polo,Highline1.2L (P),2013,manual,petrol,1,12129,53320
1918858.0,BMW,X1,sDrive20d Expedition,2017,automatic,diesel,2,32677,55351
1898658.0,Mercedes-Benz,GLA,200 CDI Sport,2015,automatic,diesel,2,34560,59185
1989558.0,Mercedes-Benz,CLA,200 Sport,2015,automatic,petrol,2,36214,52873
3400098.0,MG Motors,Gloster,Savvy 2.0 Twin Turbo 6 STR 4WD,2021,automatic,diesel,1,57901,58858
408000.0,Hyundai,New Santro 1.1,Magna,2019,manual,petrol,1,6513,75765
382000.0,Maruti Suzuki,Alto 800,Vxi Plus,2021,manual,petrol,1,6827,27432
340000.0,Maruti Suzuki,Alto 800,LXi,2021,manual,petrol,2,6076,27326
574000.0,Hyundai,New Santro 1.1,Sportz MT,2022,manual,petrol,1,9163,11272
1963343.0,Mahindra,XUV700,AX 5 Petrol MT 7 STR,2024,manual,petrol,1,33434,4528
999000.0,Ford,EcoSport,Titanium + 1.5L Ti-VCT AT,2020,automatic,petrol,1,17012,20296
308000.0,Maruti Suzuki,Alto 800,VXi,2016,manual,petrol,1,5504,48909
1059364.0,Kia,Sonet,GTX Plus 1.0 iMT,2021,manual,petrol,1,18040,40458
437000.0,Nissan,Micra,XV CVT,2016,automatic,petrol,1,6976,46067
349000.0,Maruti Suzuki,Alto K10,VXI AMT (O),2018,automatic,petrol,3,5943,43998
406000.0,Hyundai,Grand i10,Asta AT 1.2 Kappa VTVT,2015,automatic,petrol,3,7390,39739
463000.0,Volkswagen,Polo,Highline1.2L (P),2015,manual,petrol,2,7901,141192
436000.0,Renault,Duster,RxL Petrol,2015,manual,petrol,3,7936,51728
440000.0,Honda,Jazz,VX Petrol,2016,manual,petrol,2,7024,95809
405000.0,Maruti Suzuki,Swift,VXI,2013,manual,petrol,1,10916,50305
255000.0,Maruti Suzuki,Alto K10,VXi,2012,manual,petrol,1,9698,48834
275000.0,Hyundai,Verna Transform,1.6 VTVT,2011,manual,petrol,1,19649,138831
2221858.0,Jeep,Compass,80 Anniversary 1.4 Petrol DCT,2021,automatic,petrol,1,37836,29612
1636058.0,Mercedes-Benz,A-Class,A 200 CDI Sport,2015,automatic,diesel,2,29780,61494
2292558.0,BMW,X1,sDrive20d xLine,2017,automatic,diesel,1,39040,47755
498000.0,Renault,Kwid,CLIMBER 1.0 Opt,2022,manual,petrol,1,8480,30120
411000.0,Renault,Kwid,RXL 1.0 SCE,2021,manual,petrol,1,6999,15161
286000.0,Maruti Suzuki,Alto 800,Lxi,2014,manual,petrol,1,6367,23648
819000.0,Honda,City,V 4th Gen,2019,manual,petrol,1,13947,50022
510000.0,Honda,Jazz,VX Petrol,2016,manual,petrol,1,8142,79144
935000.0,Honda,BR-V,V CVT Petrol,2018,automatic,petrol,1,15922,37093
297000.0,Maruti Suzuki,Alto 800,Vxi,2015,manual,petrol,1,5652,59505
534000.0,Volkswagen,Polo,Highline1.2L (P),2016,manual,petrol,2,8525,74182
251000.0,Maruti Suzuki,Estilo,VXI,2011,manual,petrol,1,17934,48658
439000.0,Honda,Jazz,VX Petrol,2015,manual,petrol,1,7491,88101
406000.0,Maruti Suzuki,Swift,ZXI,2011,manual,petrol,1,29010,29873
441000.0,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,2017,manual,petrol,2,7509,44468
542000.0,Volkswagen,Polo,Comfortline 1.2L (P),2017,manual,petrol,1,8653,103423
250000.0,Hyundai,Santro Xing,GL,2013,manual,petrol,1,6317,41235
431000.0,Volkswagen,Polo,Trendline 1.2L (P),2016,manual,petrol,2,6880,94820
849000.0,Renault,Kiger,RXZ Turbo CVT Dual Tone,2022,automatic,petrol,1,14457,33775
309000.0,Maruti Suzuki,Alto K10,VXi,2016,manual,petrol,1,5262,91845
1716858.0,Audi,A4,35 TDI S Line,2015,automatic,diesel,1,31251,52502
3295902.0,MG Motors,Gloster,Savvy 2.0 Twin Turbo 6 STR 4WD,2021,automatic,diesel,1,56127,43799
1888558.0,Audi,A3,35 TFSI Premium Plus,2018,automatic,petrol,2,32161,50447
287000.0,Hyundai,Eon,Magna,2015,manual,petrol,2,4897.0,44449
531000.0,Hyundai,Grand i10,Asta AT 1.2 Kappa VTVT,2015,automatic,petrol,1,9665.0,17183
937000.0,Ford,EcoSport,Titanium + 1.5L Ti-VCT,2020,manual,petrol,1,15956.0,30845
345000.0,Maruti Suzuki,Celerio,VXI AMT,2014,automatic,petrol,1,7404.0,86136
1325023.0,Maruti Suzuki,XL6,Alpha MT Petrol,2024,manual,petrol,1,22564.0,12484
987000.0,Hyundai,Venue,SX Plus 1.0 Turbo DCT,2020,automatic,petrol,1,16808.0,53592
1062378.0,Tata,Nexon,XZ Plus S,2022,manual,petrol,1,18091.0,26918
1595293.0,Toyota,Urban Cruiser Hyryder,V Neodrive AWD,2022,manual,petrol,1,27166.0,22051
467000.0,Maruti Suzuki,Wagon R 1.0,VXI AMT,2018,automatic,petrol,1,8346.0,68770
278000.0,Maruti Suzuki,Alto K10,VXi,2015,manual,petrol,3,5060.0,49271
658000.0,Renault,Duster,RXZ Petrol,2020,manual,petrol,2,11205.0,109664
849000.0,Mahindra,XUV500,W6 AT 1.99,2016,automatic,diesel,2,15173.0,100024
368000.0,Maruti Suzuki,Celerio,ZXi AMT,2015,automatic,petrol,1,6698.0,126565
531000.0,Honda,WR-V,i-DTEC VX,2018,manual,diesel,3,9042.0,94325
911000.0,Hyundai,Creta,1.6 SX Plus Auto Petrol,2017,automatic,petrol,2,15513.0,59125
1738015.0,Mahindra,Scorpio N,Z8 L Petrol AT 7 STR,2022,automatic,petrol,2,29597.0,40117
295000.0,Hyundai,Verna Transform,1.5 SX CRDi,2010,manual,diesel,2,,83392
412000.0,Hyundai,Grand i10,Asta 1.2 Kappa VTVT (O),2014,manual,petrol,1,8842.0,91930
1969358.0,BMW,5 Series,520d Luxury Line,2015,automatic,diesel,2,35847.0,45803
1565358.0,Audi,A4,35 TDI Premium Plus Sunroof,2015,automatic,diesel,1,28493.0,44037
543000.0,Renault,Triber,RXZ,2019,manual,petrol,1,9246,67348
452000.0,Maruti Suzuki,Celerio,VXI AMT,2018,automatic,petrol,1,7697,68890
498000.0,Hyundai,New Santro 1.1,Sportz AMT,2018,automatic,petrol,1,7950,16677
424000.0,Maruti Suzuki,Alto K10,LXI,2023,manual,petrol,1,7220,37379
384000.0,Maruti Suzuki,Celerio,VXI AMT,2014,automatic,petrol,1,8241,31595
994000.0,Tata,Nexon,XZA Plus (O) AMT,2020,automatic,petrol,1,16927,34180
423000.0,Ford,Figo,Titanium 1.2 Ti-VCT,2016,manual,petrol,1,11402,61169
512000.0,Maruti Suzuki,Celerio,VXI AMT,2019,automatic,petrol,1,8719,35641
406000.0,Tata,Tiago,Revotron XZ,2016,manual,petrol,1,6913,70540
280000.0,Hyundai,i10,magna 1.1,2012,manual,petrol,2,10649,51125
275000.0,Maruti Suzuki,A-Star,VXI,2013,manual,petrol,1,6949,51427
836000.0,Mahindra,XUV500,W6,2017,manual,diesel,3,14941,79565
239000.0,Hyundai,Eon,Magna +,2015,manual,petrol,3,4078,103896
369000.0,Renault,Kwid,1.0 RXT AMT Opt,2017,automatic,petrol,2,6283,38079
696000.0,Honda,WR-V,VX i-VTEC,2019,manual,petrol,1,11852,104453
559000.0,Honda,WR-V,VX i-VTEC Petrol+cng(Outside Fitted),2017,manual,petrol+cng,2,9519,90775
309000.0,Maruti Suzuki,Alto K10,VXi (O),2017,manual,petrol,2,5262,61658
275000.0,Honda,Brio,V MT,2012,manual,petrol,3,9805,59717
2019858.0,Audi,Q5,2.0 TDI quattro Technology Pack,2015,automatic,diesel,1,36766,45452
2070358.0,Audi,Q3,35 TDI Premium,2015,automatic,diesel,1,37685,49854
455000.0,Mahindra,KUV100 NXT,K4+ 6 STR,2018,manual,petrol,1,7748,62700
1453293.0,Kia,Carens,Prestige Plus 1.5 Turbo Petrol iMT 7 STR,2023,manual,petrol,1,24748,9307
614000.0,Maruti Suzuki,Swift,ZXI AMT,2019,automatic,petrol,2,10456,36487
1251195.0,Mahindra,Thar,LX 4 STR Hard Top Petrol MT 4WD,2021,manual,petrol,1,21307,29676
632000.0,Maruti Suzuki,Baleno,Zeta 1.2,2018,manual,petrol,1,10762,51443
397000.0,Maruti Suzuki,Alto 800,Vxi Plus,2022,manual,petrol,2,7095,19582
1130048.0,Kia,Sonet,HTX 1.5,2022,manual,diesel,1,19244,29832
813000.0,Tata,Nexon,XZA Plus AMT Petrol,2019,automatic,petrol,2,13844,24231
1115908.0,Maruti Suzuki,Vitara Brezza,ZXI Plus AT,2021,automatic,petrol,1,19003,13357
528000.0,Hyundai,Elite i20,Sportz 1.2,2016,manual,petrol,2,8991,64477
286000.0,Hyundai,i10,Magna 1.2 Petrol,2011,manual,petrol,1,20435,62101
459000.0,Hyundai,Grand i10,Asta 1.2 Kappa VTVT (O),2016,manual,petrol,2,7816,67145
321000.0,Hyundai,i20,Sportz 1.2,2012,manual,petrol,1,12208,110308
355000.0,Honda,City,1.5 S MT,2013,manual,petrol,1,9569,107306
257000.0,Hyundai,Eon,Era +,2015,manual,petrol,2,4385,61861
405000.0,Hyundai,i20,Asta 1.4 CRDI,2014,manual,diesel,3,8692,120671
282000.0,Hyundai,i10,Magna 1.2 Petrol,2011,manual,petrol,1,20149,51575
1292703.0,Hyundai,Creta,SX AT Diesel,2021,automatic,diesel,1,22013,118980
264000.0,Maruti Suzuki,A-Star,VXI,2012,manual,petrol,2,9413,31852
1161358.0,Jeep,Compass,Longitude (O) 2.0 Diesel,2017,manual,diesel,1,19777,62263
393000.0,Maruti Suzuki,Wagon R 1.0,LXI,2016,manual,petrol,1,7023.0,25375
528000.0,Hyundai,Grand i10,Sportz (O) 1.2 kappa VTVT,2017,manual,petrol,1,8991.0,23128
359000.0,Maruti Suzuki,Celerio,VXI AMT,2014,automatic,petrol,1,7704.0,69559
501000.0,Renault,Kwid,1.0 RXT SCE,2023,manual,petrol,1,8531.0,11937
629000.0,Hyundai,Elite i20,Asta 1.2 (O),2015,manual,petrol,1,11449.0,19868
810000.0,Maruti Suzuki,Ciaz,Alpha Petrol,2020,manual,petrol,1,13793.0,68507
914000.0,Honda,Jazz,ZX CVT,2021,automatic,petrol,1,14592.0,13117
999000.0,Hyundai,Creta,1.6 SX VTVT Dual Tone,2019,manual,petrol,2,17012.0,51549
446000.0,Maruti Suzuki,Celerio,VXI AMT,2016,automatic,petrol,1,7595.0,17263
377000.0,Maruti Suzuki,Celerio,ZXI (O) AMT,2016,automatic,petrol,2,6420.0,99784
289000.0,Datsun,GO,T (O),2017,manual,petrol,1,6202.0,94765
557000.0,Ford,Figo,Titanium Diesel,2019,manual,diesel,1,10138.0,96697
533000.0,Volkswagen,Polo,Highline1.2L (P),2016,manual,petrol,1,8509.0,106790
582000.0,Maruti Suzuki,Dzire,VXi AMT,2019,automatic,petrol,1,9911.0,105342
295000.0,Maruti Suzuki,Swift Dzire,VXI 1.2,2010,manual,petrol,1,,115152
310000.0,Datsun,Redi-GO,T(O) 1.0 AMT,2018,automatic,petrol,1,8356.0,70160
368000.0,Maruti Suzuki,Swift,VXI,2011,manual,petrol,1,26295.0,49869
797000.0,Honda,City,V Petrol,2020,manual,petrol,1,13572.0,94688
1042178.0,Kia,Seltos,HTX IVT G,2020,automatic,petrol,3,17747.0,52924
2827858.0,Land Rover,Discovery Sport,HSE 7-Seater,2017,automatic,diesel,2,48156.0,54985
368000.0,Renault,Kwid,1.0 RXT AMT,2017,automatic,petrol,1,6266,46521
359000.0,Datsun,Redi-GO,T(O) 1.0 AMT,2020,automatic,petrol,1,6534,25604
575000.0,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,2020,manual,petrol,1,9791,57674
978000.0,Tata,Nexon,XZ Plus Optional Diesel,2020,manual,diesel,1,16654,63686
