
score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1645095.0,Citroen,C5 Aircross,Feel 2.0 Diesel AT,2021,automatic,diesel,2,28015,47851
459000.0,Hyundai,New Santro 1.1,Sportz MT,2019,manual,petrol,1,7327,52849
578000.0,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,2020,manual,petrol,1,9843,29756
829000.0,Honda,Jazz,ZX,2022,manual,petrol,1,13235,22723
1042178.0,Kia,Seltos,HTK Plus G,2020,manual,petrol,1,17747,55941
379000.0,Maruti Suzuki,Wagon R 1.0,VXI,2015,manual,petrol,1,7213,23792
548000.0,Maruti Suzuki,Celerio,ZXI (O) AMT,2021,automatic,petrol,1,9332,56539
453000.0,Hyundai,Grand i10,Sportz (O) AT 1.2 Kappa VTVT,2017,automatic,petrol,1,7714,105299
925000.0,Hyundai,New i20,Asta (O) 1.0 Turbo DCT,2021,automatic,petrol,1,15752,30914
811000.0,Maruti Suzuki,Swift,ZXI AMT,2023,automatic,petrol,1,13810,18301
480000.0,Hyundai,Elite i20,Asta 1.2,2015,manual,petrol,1,8737,91352
1071971.0,Hyundai,i20 N Line,N8 1.0 Turbo DCT Dual Tone,2022,automatic,petrol,1,18255,19657
556000.0,Hyundai,Elite i20,Asta 1.2,2017,manual,petrol,2,9468,48132
1007000.0,Hyundai,New i20,Asta (O) 1.2 IVT,2023,automatic,petrol,1,17148,6365
330000.0,Renault,Kwid,RXT Opt,2018,manual,petrol,2,5619,64065
872000.0,Kia,Sonet,HTX 1.0 iMT,2021,manual,petrol,2,14849,29938
368000.0,Renault,Kwid,1.0 RXT AMT Opt,2018,automatic,petrol,2,6266,26482
532000.0,Volkswagen,Vento,1.6L Highline plus,2016,manual,petrol,2,8493,79321
1078955.0,Honda,City,VX Petrol,2021,manual,petrol,1,18373,31021
535000.0,Maruti Suzuki,Ignis,Alpha MT Petrol,2018,manual,petrol,1,9110,40251
714000.0,Hyundai,New i20,Asta 1.0 Turbo IMT,2021,manual,petrol,1,12159,99932
858000.0,Tata,Nexon,XM Diesel,2022,manual,diesel,1,14611,14753
362000.0,Hyundai,i10,Sportz 1.1 Petrol,2014,manual,petrol,1,7769,44477
812000.0,Renault,Kiger,RXZ Turbo CVT,2021,automatic,petrol,1,13827,34498
885000.0,Hyundai,Venue,SX Plus 1.0 Turbo DCT,2020,automatic,petrol,1,15071,43684
449000.0,Renault,Kwid,1.0 RXT SCE,2022,manual,petrol,1,7646,24821
1160393.0,Skoda,Kushaq,Style 1.0L TSI AT,2021,automatic,petrol,1,19760,67224
1170955.0,Kia,Seltos,HTX Plus AT Diesel DT,2020,automatic,diesel,1,19940,120104
1372493.0,Kia,Seltos,GTX Plus DCT,2020,automatic,petrol,1,23372,36826
1139138.0,Kia,Sonet,GTX Plus 1.5,2021,manual,diesel,1,19398,24395
1008000.0,Hyundai,Venue,SX 1.5 CRDI,2022,manual,diesel,1,17165,42043
998000.0,Kia,Sonet,GTX Plus 1.0 DCT,2020,automatic,petrol,1,16995,73242
418000.0,Renault,Kwid,1.0 RXT Opt,2021,manual,petrol,1,7118,28569
812000.0,Tata,Nexon,XZ Plus Petrol,2021,manual,petrol,1,13827,47810
426000.0,Renault,Kwid,CLIMBER 1.0 AMT,2019,automatic,petrol,1,7254,32572
878000.0,Hyundai,Verna,1.6 VTVT SX,2019,manual,petrol,1,14951,27761
439000.0,Hyundai,Grand i10,Asta 1.2 Kappa VTVT,2015,manual,petrol,1,7990,45274
583000.0,Hyundai,Grand i10,Asta 1.2 Kappa VTVT,2019,manual,petrol,1,9928,22859
698000.0,Toyota,Etios,VD,2016,manual,diesel,1,11143,80503
765000.0,Hyundai,Verna,1.6 VTVT SX,2018,manual,petrol,1,13027,24694
429000.0,Tata,Tiago,Revotorq XZ,2018,manual,diesel,1,7305,84204
1391683.0,Kia,Seltos,HTX Plus D,2021,manual,diesel,1,23699,39391
1042223.0,Kia,Sonet,GTX Plus 1.0 DCT,2020,automatic,petrol,2,17748,24439
833000.0,Hyundai,New i20,Asta (O) 1.0 Turbo DCT,2021,automatic,petrol,1,14185,103406
454000.0,Hyundai,Grand i10,Magna 1.2 Kappa VTVT,2017,manual,petrol,1,7731,38251
868000.0,Maruti Suzuki,Ciaz,Alpha AT Petrol,2020,automatic,petrol,1,14781,51328
490000.0,Honda,Jazz,VX Diesel,2016,manual,diesel,2,7822,110238
468000.0,Hyundai,New Santro 1.1,Sportz MT,2019,manual,petrol,1,7471,18967
872000.0,Honda,City,ZX CVT,2018,automatic,petrol,1,14849,58780
1158328.0,Hyundai,Creta,S Diesel,2020,manual,diesel,1,19725,60203
1617902.0,Tata,Harrier,XZ,2022,manual,diesel,1,27551,29166
1066000.0,Honda,City,VX Petrol,2021,manual,petrol,1,18153,21835
844000.0,Hyundai,Venue,SX 1.0  Turbo,2021,manual,petrol,1,14372,40899
1391638.0,Skoda,Kushaq,Style 1.5L TSI MT,2022,manual,petrol,1,23698,39236
978000.0,Tata,Nexon,XZA+ HS  AMT Petrol,2022,automatic,petrol,1,16654,28447
2268363.0,Mahindra,Scorpio N,Z8 L 4WD Diesel AT 7 STR,2022,automatic,diesel,1,38628,33857
717000.0,Hyundai,Venue,S+ 1.2,2021,manual,petrol,1,12210,46151
732000.0,Hyundai,Elite i20,Asta (O) CVT,2019,automatic,petrol,1,12465,44549
486000.0,Hyundai,Elite i20,Asta 1.2,2015,manual,petrol,1,8846,99510
1042223.0,Tata,Nexon,XZ Plus S,2023,manual,petrol,1,17748,14206
494000.0,Hyundai,New Santro 1.1,Sportz MT,2021,manual,petrol,1,7886,62376
944000.0,Maruti Suzuki,S-Cross,Zeta,2022,manual,petrol,1,16075,16940
450000.0,Nissan,Micra,XV CVT,2018,automatic,petrol,1,7184,62150
413000.0,Hyundai,Grand i10,Magna 1.2 Kappa VTVT,2018,manual,petrol,1,7033,93779
449000.0,Hyundai,Grand i10,Magna 1.2 Kappa VTVT,2018,manual,petrol,1,7646,67402
859000.0,Maruti Suzuki,Ciaz,Alpha Petrol,2021,manual,petrol,2,14628,14772
429000.0,Renault,Kwid,1.0 RXT Opt,2021,manual,petrol,1,7305,33105
727000.0,Hyundai,Elite i20,Asta (O) CVT,2019,automatic,petrol,1,12380,47406
1352248.0,Kia,Seltos,GTX Plus AT D,2020,automatic,diesel,1,23027,84244
2031925.0,Mahindra,XUV700,AX 5 Diesel AT 7 STR,2022,automatic,diesel,1,34602,17798
1499753.0,Tata,Harrier,XZA Plus,2020,automatic,diesel,1,25539,48345
989000.0,Honda,City,V Petrol,2021,manual,petrol,1,16842,23089
607000.0,Maruti Suzuki,Baleno,Alpha 1.2,2018,manual,petrol,1,10336,70675
