score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1492585.0,MG Motors,Hector,2.0 Sharp Diesel Turbo,2021,manual,diesel,1,25417.0,82060
877000.0,Hyundai,i20 N Line,N8 1.0 Turbo DCT,2021,automatic,petrol,1,14934.0,89586
773000.0,Maruti Suzuki,Swift,ZXI Plus,2022,manual,petrol,1,13163.0,23305
923000.0,Hyundai,Venue,SX 1.0  Turbo,2022,manual,petrol,1,15718.0,21819
2180493.0,Mahindra,XUV700,AX 7 Diesel AT 7 STR,2023,automatic,diesel,1,37132.0,40961
870000.0,Hyundai,Venue,SX Plus 1.0 Turbo DCT,2019,automatic,petrol,1,14815.0,37915
544000.0,Hyundai,i20 Active,1.2 SX,2016,manual,petrol,2,9264.0,66977
919000.0,Maruti Suzuki,Baleno,Alpha AMT Petrol,2023,automatic,petrol,1,15650.0,10485
897000.0,Hyundai,Exter,SX(O) Connect 1.2 Petrol AMT,2023,automatic,petrol,1,15275.0,20176
398000.0,Renault,Kwid,CLIMBER 1.0 AMT,2018,automatic,petrol,1,6777.0,50574
528000.0,Maruti Suzuki,Eeco,A/C + HTR 5 STR(O),2021,manual,petrol,1,8429.0,5975
365000.0,Renault,Kwid,RXT 1.0 SCE Special,2017,manual,petrol,1,6215.0,21727
938000.0,Hyundai,Venue,SX 1.2 Petrol,2022,manual,petrol,1,15973.0,42535
839000.0,Honda,Amaze,1.2 VX CVT i-VTEC,2022,automatic,petrol,1,14287.0,21918
698000.0,Renault,Triber,RXZ,2022,manual,petrol,1,11886.0,24572
397000.0,Volkswagen,Polo,Highline 1.2 (D),2014,manual,diesel,2,7987.0,149970
916000.0,Hyundai,Venue,SX 1.0  Turbo,2021,manual,petrol,1,15598.0,10650
429000.0,Datsun,GO,T (O),2021,manual,petrol,1,7305.0,15948
577000.0,Hyundai,Elite i20,Asta 1.2,2017,manual,petrol,1,9825.0,73789
486000.0,Renault,Kwid,1.0 RXT SCE,2023,manual,petrol,1,8276.0,13748
1317953.0,Kia,Seltos,GTX Plus,2021,manual,petrol,1,22443.0,55430
299000.0,Hyundai,Eon,Sportz,2014,manual,petrol,2,6016.0,77405
324000.0,Nissan,Micra,XV Diesel,2014,manual,diesel,2,6519.0,118072
1684583.0,Maruti Suzuki,Grand Vitara,Alpha Plus Intelligent Hybrid eCVT,2022,automatic,hybrid,1,,46360
432000.0,Volkswagen,Polo,Comfortline 1.0L (P),2018,manual,petrol,3,6896.0,114717
899000.0,Hyundai,i20 N Line,N8 1.0 Turbo DCT,2021,automatic,petrol,2,15309.0,46815
476000.0,Renault,Kwid,1.0 RXT SCE,2022,manual,petrol,1,8106.0,9824
568000.0,Hyundai,Grand i10 Nios,Sportz AMT 1.2 Kappa VTVT,2020,automatic,petrol,1,9672.0,111869
759000.0,Hyundai,New i20,Asta 1.0 Turbo IMT,2021,manual,petrol,1,12925.0,66398
681000.0,Hyundai,Grand i10 Nios,Sportz 1.0 Turbo GDI,2022,manual,petrol,1,11597.0,31542
574000.0,Ford,Figo,Titanium Petrol,2020,manual,petrol,1,9774.0,21010
412000.0,Mahindra,KUV100,K4+ 6 STR,2016,manual,petrol,1,7016.0,24915
774000.0,Honda,Jazz,ZX CVT,2020,automatic,petrol,1,12356.0,45550
519000.0,Maruti Suzuki,Ignis,Alpha MT Petrol Dual Tone,2017,manual,petrol,1,8838.0,35265
498000.0,Renault,Kwid,CLIMBER 1.0 AMT Opt,2022,automatic,petrol,1,8480.0,28039
578000.0,Nissan,Magnite,XL Turbo,2021,manual,petrol,1,9843.0,94613
