score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1042223.0,Maruti Suzuki,XL6,Alpha MT Petrol,2023,manual,petrol,1,17748,71829
667000.0,Maruti Suzuki,Ertiga,VXI,2018,manual,petrol,1,11358,40520
477000.0,Nissan,Magnite,XE,2022,manual,petrol,1,8123,16584
575000.0,Hyundai,Elite i20,Sportz Plus 1.2,2019,manual,petrol,1,9791,46150
481000.0,Maruti Suzuki,Wagon R 1.0,VXI,2021,manual,petrol,1,8596,12780
1089693.0,Kia,Seltos,HTK 1.5 Petrol MT,2023,manual,petrol,1,18556,11535
627000.0,Toyota,Corolla Altis,G Petrol,2015,manual,petrol,1,11412,61614
872000.0,Kia,Sonet,HTX 1.0 iMT,2021,manual,petrol,1,14849,29115
276000.0,Maruti Suzuki,Wagon R 1.0,LXI,2015,manual,petrol,1,5252,52361
849000.0,Ford,EcoSport,SE 1.5L Ti-VCT,2021,manual,petrol,1,14457,32074
472000.0,Hyundai,New Santro 1.1,Sportz MT,2021,manual,petrol,1,7535,20363
619000.0,Tata,Nexon,XMA AMT Petrol,2020,automatic,petrol,1,10541,70052
520000.0,Tata,Nexon,XMA AMT Diesel,2018,automatic,diesel,1,8855,93233
336000.0,Maruti Suzuki,Celerio,VXi CNG,2016,manual,petrol+cng,1,5721,97456
276000.0,Renault,Kwid,1.0 RXL AMT,2017,automatic,petrol,2,4700,33062
417000.0,Hyundai,Grand i10,Asta 1.2 Kappa VTVT,2017,manual,petrol,1,7101,75957
672000.0,Tata,Altroz,XZ 1.2,2022,manual,petrol,1,11443,23865
512000.0,Hyundai,Aura,SX 1.2 Petrol,2020,manual,petrol,1,8719,66430
277000.0,Hyundai,i20,Asta 1.2,2013,manual,petrol,3,7466,50730
1604793.0,Volkswagen,Tiguan,Highline TDI,2019,automatic,diesel,1,27328,117323
3181358.0,Mercedes-Benz,GLC,300 Progressive,2017,automatic,petrol,1,54176,61048
2070358.0,Mercedes-Benz,GLA,200 CGI Sport,2016,automatic,petrol,1,35256,40045
score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
597000.0,Honda,City,VX CVT,2015,automatic,petrol,1,10866,73988
398000.0,Maruti Suzuki,Ertiga,Vxi,2013,manual,petrol,2,11240,50812
1297655.0,MG Motors,Hector Plus,Select 2.0 Diesel Turbo MT 7-STR,2021,manual,diesel,1,22098,50929
465000.0,Tata,Tiago,Revotorq XZ Plus,2019,manual,diesel,2,7918,45116
583000.0,Maruti Suzuki,S-Cross,Sigma,2020,manual,petrol,1,9928,75949
789000.0,Tata,Nexon,XMA Plus (S),2022,automatic,petrol,1,13436,55862
831000.0,Hyundai,Venue,SX 1.0  Turbo,2021,manual,petrol,1,14151,22080
484000.0,Ford,Figo,Titanium Petrol,2020,manual,petrol,1,8242,54570
780000.0,Toyota,Urban Cruiser,High Grade MT,2022,manual,petrol,1,13282,36021
1132113.0,MG Motors,Astor,Savvy CVT,2022,automatic,petrol,2,19279,41783
1292658.0,MG Motors,Hector Plus,Sharp 1.5 Petrol Turbo Hybrid MT 6-STR,2020,manual,petrol,1,22013,31264
850000.0,Hyundai,Venue,SX Plus 1.0 Turbo DCT,2019,automatic,petrol,1,14475,34736
978000.0,Hyundai,New i20,Asta (O) 1.0 Turbo DCT,2022,automatic,petrol,1,16654,16588
1526925.0,MG Motors,Hector,2.0 Sharp Diesel Turbo,2021,manual,diesel,1,26002,47199
897000.0,Hyundai,New i20,Asta (O) 1.0 Turbo DCT,2021,automatic,petrol,1,15275,27065
905000.0,Maruti Suzuki,XL6,Alpha AT Petrol,2020,automatic,petrol,1,15411,64682
840000.0,Hyundai,Verna,1.6 VTVT SX + AT,2019,automatic,petrol,1,14304,89014
2322858.0,Mercedes-Benz,GLA,200 Urban Edition,2019,automatic,petrol,1,39556,49897
