score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
459000.0,Honda,Brio,S(O)MT,2018,manual,petrol,1,7327.0,41888
312000.0,Maruti Suzuki,Alto K10,VXi,2017,manual,petrol,1,5313.0,57484
478000.0,Honda,Jazz,VX Petrol,2017,manual,petrol,1,7631.0,100579
233000.0,Maruti Suzuki,Alto 800,Lxi,2014,manual,petrol,1,5509.0,79626
862000.0,Maruti Suzuki,XL6,Alpha AT Petrol,2019,automatic,petrol,1,14679.0,96506
307000.0,Renault,Kwid,RXT,2017,manual,petrol,1,5228.0,28657
412000.0,Maruti Suzuki,Swift,VXI,2015,manual,petrol,1,7499.0,105576
829000.0,Maruti Suzuki,S-Cross,Zeta,2021,manual,petrol,1,14117.0,35828
284000.0,Hyundai,i10,Sportz 1.2 Kappa2,2013,manual,petrol,1,7655.0,87850
540000.0,Hyundai,Grand i10,Asta 1.2 Kappa VTVT,2019,manual,petrol,1,9195.0,55016
236000.0,Maruti Suzuki,Alto 800,LXi,2017,manual,petrol,2,4217.0,121655
284000.0,Maruti Suzuki,Alto 800,LXi,2018,manual,petrol,2,5075.0,36022
510000.0,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,2018,manual,petrol,1,8685.0,41157
296000.0,Maruti Suzuki,Alto K10,VXi,2017,manual,petrol,3,4563.0,41384
256000.0,Nissan,Micra Active,XV,2013,manual,petrol,3,6900.0,42383
268000.0,Maruti Suzuki,Alto 800,LXI (O),2016,manual,petrol,2,4789.0,53747
330000.0,Renault,Kwid,CLIMBER 1.0,2017,manual,petrol,1,5619.0,61632
874000.0,Nissan,Magnite,XV Premium Turbo CVT (O) Dual Tone,2021,automatic,petrol,1,14883.0,47726
674000.0,Honda,CR-V,2.0L 2WD AT,2014,automatic,petrol,2,14465.0,131684
478000.0,Hyundai,New Santro 1.1,Sportz MT,2020,manual,petrol,1,7631.0,12994
460000.0,Honda,Amaze,1.2 SX i-VTEC,2017,manual,petrol,2,7833.0,64784
350000.0,Maruti Suzuki,Alto 800,VXi,2021,manual,petrol,1,6255.0,30515
237000.0,Maruti Suzuki,Alto 800,Vxi,2014,manual,petrol,1,5276.0,105411
502000.0,Maruti Suzuki,Ignis,Delta AMT Petrol,2017,automatic,petrol,1,8548.0,37844
402000.0,Maruti Suzuki,Swift,VXI,2014,manual,petrol,1,8627.0,52578
629000.0,Hyundai,i20 Active,1.2 SX,2018,manual,petrol,2,10711.0,52820
1064398.0,Hyundai,Verna,SX Opt Petrol,2020,manual,petrol,1,18126.0,53086
561000.0,Renault,Triber,RXZ,2020,manual,petrol,1,9553.0,53687
624000.0,Hyundai,i20 Active,1.2 SX,2018,manual,petrol,1,10626.0,81396
336000.0,Maruti Suzuki,Alto 800,VXi,2018,manual,petrol,1,6005.0,29407
557000.0,Honda,City,VX,2015,manual,petrol,1,10138.0,90070
264000.0,Maruti Suzuki,Alto 800,VXi (O),2016,manual,petrol,1,4718.0,81194
255000.0,Hyundai,i10,Era Petrol,2011,manual,petrol,1,18220.0,13251
305000.0,Maruti Suzuki,Alto K10,VXi (O),2017,manual,petrol,2,5193.0,30924
611000.0,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,2021,manual,petrol,1,10404.0,31620
403000.0,Maruti Suzuki,Alto 800,Vxi Plus,2021,manual,petrol,1,7202.0,30749
592000.0,Maruti Suzuki,Ignis,Zeta AMT Petrol,2021,automatic,petrol,2,10081.0,22019
187000.0,Maruti Suzuki,Alto 800,Lxi,2013,manual,petrol,3,5185.0,87629
