score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
997000.0,MG Motors,Hector,1.5 Sharp DCT,2020,automatic,petrol,2,16978.0,67128
1895098.0,Hyundai,Tucson,GLS 4WD AT Diesel,2021,automatic,diesel,1,32272.0,47172
595000.0,Toyota,Etios Liva,VD,2019,manual,diesel,1,9499.0,35701
1095045.0,Volkswagen,Taigun,GT Plus 1.5 TSI DSG,2021,automatic,petrol,1,18647.0,78807
1250000.0,Volkswagen,Taigun,GT Plus 1.5 TSI DSG,2021,automatic,petrol,1,21286.0,26913
420000.0,Toyota,Etios Liva,GD,2017,manual,diesel,1,6705.0,110284
1022097.0,Kia,Seltos,HTK Plus G,2021,manual,petrol,1,17405.0,33540
1050000.0,MG Motors,Astor,Savvy CVT S Red,2022,automatic,petrol,2,17880.0,30182
349000.0,Toyota,Etios Cross,1.2 G,2015,manual,petrol,1,6352.0,104543
849000.0,Honda,WR-V,i-DTEC VX,2020,manual,diesel,1,14457.0,73893
528000.0,Toyota,Innova,2.5 G1 7 STR,2012,manual,diesel,1,20480.0,116499
529000.0,Skoda,Rapid New,Active 1.0 TSI MT,2020,manual,petrol,1,9008.0,90337
649000.0,Hyundai,Elite i20,Asta 1.2 (O),2020,manual,petrol,1,11052.0,33517
198000.0,Maruti Suzuki,Alto K10,VXi,2012,manual,petrol,1,7530.0,27616
1174999.0,Skoda,Superb,Style TSI MT,2019,manual,petrol,2,21000.0,96386
950000.0,Honda,WR-V,i-DTEC VX,2022,manual,diesel,1,16177.0,42171
1295000.0,Hyundai,Verna,SX Opt Turbo Petrol,2022,automatic,petrol,1,22053.0,29950
410000.0,Volkswagen,Vento,1.6L Highline Diesel,2014,manual,diesel,1,8249.0,50946
1425001.0,Volkswagen,Virtus,Topline 1.0 TSI AT,2023,automatic,petrol,1,24266.0,19905
427000.0,Hyundai,New Santro 1.1,Sportz MT,2019,manual,petrol,1,6817.0,28640
425000.0,Toyota,Etios,VX Xclusive,2015,manual,petrol,2,7252.0,56265
250000.0,Hyundai,i10,Sportz 1.1 Petrol,2013,manual,petrol,1,6738.0,96437
670000.0,Hyundai,Aura,SX 1.2 (O) Petrol,2022,manual,petrol,1,11409.0,37298
425000.0,Tata,Tiago,Revotron XZ,2019,manual,petrol,1,7237.0,66882
439000.0,Skoda,Rapid,Elegance Diesel MT,2016,manual,diesel,3,7008.0,86954
389000.0,Maruti Suzuki,Wagon R 1.0,VXI AMT,2017,automatic,petrol,2,6952.0,33928
220000.0,Ford,Figo,Duratorq Diesel LXI 1.4,2012,manual,diesel,1,,108389
1125029.0,Volkswagen,Taigun,Highline 1.0 TSI AT,2022,automatic,petrol,1,19158.0,34107
410000.0,Volkswagen,Ameo,1.0 Trendline Petrol,2019,manual,petrol,1,6545.0,81349
180000.0,Maruti Suzuki,A-Star,LXI,2011,manual,petrol,2,12057.0,57250
850000.0,Mahindra,Marazzo,M6 Plus 8str,2021,manual,diesel,1,14475.0,95172
778000.0,Honda,Jazz,ZX CVT,2021,automatic,petrol,1,12420.0,6450
269638.0,Hyundai,i10,Magna 1.2 Petrol,2012,manual,petrol,1,10255.0,21563
468000.0,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,2019,manual,petrol,1,7969.0,59920
412000.0,Ford,Figo,Titanium Petrol,2019,manual,petrol,1,7016.0,69788
185000.0,Hyundai,Santro Xing,GL,2013,manual,petrol,1,4675.0,88346
315000.0,Maruti Suzuki,Swift Dzire,ZDi,2011,manual,diesel,1,22507.0,63036
625000.0,Hyundai,Aura,S 1.2 CRDI,2020,manual,diesel,1,10643.0,41443
