score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
508956.0,Hyundai,Grand i10,Sportz 1.2 CRDi,2018,manual,diesel,1,8667.0,47881
806358.0,Volkswagen,Vento,Highline Plus 1.0L TSI Petrol AT,2020,automatic,petrol,1,12873.0,68869
806358.0,Honda,Amaze,1.2 VX CVT i-VTEC,2022,automatic,petrol,1,13731.0,30659
1185671.0,Honda,City,ZX CVT Petrol,2021,automatic,petrol,1,20191.0,47501
1355999.0,MG Motors,Hector,1.5 Sharp petrol turbo DCT,2021,automatic,petrol,1,23091.0,48836
1723001.0,Tata,Safari,XZA Plus,2022,automatic,diesel,1,29341.0,81929
1804826.0,MG Motors,Hector,Sharp Pro 1.5 Turbo Petrol CVT,2023,automatic,petrol,1,30735.0,15026
611156.0,Volkswagen,Polo,Highline 1.0 MPI,2018,manual,petrol,1,9757.0,31528
1318754.0,MG Motors,Hector,1.5 Shine Petrol Turbo CVT,2022,automatic,petrol,1,22457.0,54658
1721234.0,MG Motors,Hector,Sharp Pro 1.5 Turbo Petrol CVT,2023,automatic,petrol,1,29311.0,17533
940000.0,Hyundai,Creta,1.6 SX OPT VTVT,2019,manual,petrol,1,16007.0,79690
661234.0,Tata,Nexon,XZ Plus Petrol,2018,manual,petrol,1,11260.0,40362
656124.0,Maruti Suzuki,Baleno,Alpha,2019,manual,petrol,1,11173.0,40669
1092762.0,Hyundai,i20 N Line,N8 1.0 Turbo DCT,2023,automatic,petrol,1,18609.0,14632
610134.0,Tata,Tiago,Revotron XZ Plus,2022,manual,petrol,1,10390.0,41719
860524.0,Hyundai,Aura,SX Plus 1.2 AMT Petrol,2023,automatic,petrol,1,14654.0,7353
980098.0,Hyundai,Venue,S 1.5 CRDI,2021,manual,diesel,1,16690.0,66917
627508.0,Hyundai,Elite i20,Asta 1.2,2018,manual,petrol,1,10686.0,47856
584584.0,Maruti Suzuki,Ciaz,Delta 1.4 MT,2018,manual,petrol,1,9955.0,27382
764456.0,Maruti Suzuki,Swift,VXI AMT,2024,automatic,petrol,1,13018.0,9851
686784.0,Honda,WR-V,i-VTEC SV,2021,manual,petrol,1,11695.0,43378
1690000.0,Tata,Safari,Kaziranga XZA Plus,2022,automatic,diesel,1,28779.0,67436
755258.0,Tata,Punch,Creative AMT Dual Tone,2021,automatic,petrol,1,12861.0,33894
1094001.0,Skoda,Slavia,Style 1.0L TSI MT,2022,manual,petrol,1,18630.0,94659
707224.0,Honda,City,V CVT,2018,automatic,petrol,1,12043.0,78986
666344.0,Renault,Kiger,RXT (O) MT,2022,manual,petrol,1,11347.0,12706
648970.0,Maruti Suzuki,Baleno,Zeta,2020,manual,petrol,1,11051.0,36038
550858.0,Renault,Triber,RXZ,2020,manual,petrol,1,9380.0,76119
1628399.0,MG Motors,Hector,1.5 Sharp CVT,2022,automatic,petrol,1,27730.0,33261
591738.0,Renault,Triber,RXZ,2020,manual,petrol,1,10076.0,41395
540638.0,Tata,Tiago,Revotron XZ Plus,2021,manual,petrol,1,9206.0,48110
559000.0,Maruti Suzuki,Celerio,ZXI Plus,2022,manual,petrol,1,9519.0,40367
806358.0,Mahindra,XUV500,W10 AT,2016,automatic,diesel,1,14411.0,80585
709268.0,Tata,Punch,Accomplished Dazzle Pack MT,2022,manual,petrol,1,12078.0,37874
1092791.0,Kia,Sonet,HTX 1.0 DCT,2022,automatic,petrol,1,18609.0,8110
809424.0,Maruti Suzuki,Vitara Brezza,ZDI PLUS Dual Tone,2019,manual,diesel,1,13784.0,79346
652036.0,Maruti Suzuki,Baleno,Zeta Automatic,2019,automatic,petrol,1,11103.0,42682
406756.0,Honda,Amaze,1.2L SX,2014,manual,petrol,1,8729.0,51390
663278.0,Tata,Altroz,XZ 1.2,2021,manual,petrol,1,11295.0,27343
1022096.0,Hyundai,Venue,SX Plus 1.0 Turbo DCT,2022,automatic,petrol,1,17405.0,36782
777742.0,Hyundai,Aura,SX 1.2 Petrol,2023,manual,petrol,1,13244.0,11201
476000.0,Renault,Kwid,1.0 RXT SCE,2023,manual,petrol,1,8106.0,3445
1018934.0,Maruti Suzuki,XL6,Alpha AT Petrol,2021,automatic,petrol,1,17351.0,56135
526000.0,Maruti Suzuki,Alto K10,VXI Plus AMT,2023,automatic,petrol,1,8957.0,7822
370000.0,Renault,Kwid,1.0L RXT(O) AMT,2020,automatic,petrol,2,6300.0,33455
891184.0,Hyundai,Exter,SX 1.2 CNG MT,2024,manual,petrol+cng,1,15176.0,13320
795116.0,Honda,Amaze,1.2 VX i-VTEC,2023,manual,petrol,1,13540.0,24284
659190.0,Renault,Duster,RXS CVT Petrol,2017,automatic,petrol,1,11225.0,73151
995000.0,Volkswagen,Taigun,Highline 1.0 TSI AT,2021,automatic,petrol,1,16944.0,73586
470000.0,Volkswagen,Polo,Highline1.2L (P),2015,manual,petrol,1,8020.0,60289
673498.0,Hyundai,Elite i20,Asta (O) CVT,2019,automatic,petrol,1,11469.0,101133
1474631.0,Hyundai,Alcazar,Platinum 7 STR 2.0 Petrol MT,2021,manual,petrol,1,26355.0,22903
523264.0,Volkswagen,Vento,1.5L Highline Diesel,2015,manual,diesel,1,8929.0,91489
774676.0,Tata,Punch,Creative AMT,2022,automatic,petrol,2,13192.0,18550
1102034.0,Maruti Suzuki,Brezza,ZXI PLUS,2022,manual,petrol,1,18766.0,49421
460000.0,Renault,Kwid,1.0 RXT Opt,2022,manual,petrol,1,7833.0,6120
416000.0,Renault,Kwid,Climber 1.0l SCE Petrol MT,2022,manual,petrol,1,7084.0,50709
551880.0,Maruti Suzuki,Baleno,Zeta 1.2,2018,manual,petrol,2,9398.0,27920
745000.0,Volkswagen,Vento,1.5L Highline Plus Diesel AT,2017,automatic,diesel,1,11893.0,80002
1564000.0,Tata,Harrier,XZA Plus Camo,2021,automatic,diesel,1,26634.0,54203
234038.0,Maruti Suzuki,Alto 800,Lxi,2015,manual,petrol,3,4454.0,54978
699000.0,Volkswagen,Vento,1.5L Highline Plus Diesel AT,2017,automatic,diesel,1,11159.0,110382
601958.0,Maruti Suzuki,Vitara Brezza,VDi,2018,manual,diesel,1,10250.0,90615
560056.0,Volkswagen,Polo,Comfortline 1.0L (P),2018,manual,petrol,1,8941.0,50879
473000.0,Renault,Kwid,Climber 1.0l SCE Petrol MT,2022,manual,petrol,1,8054.0,8299
300468.0,Maruti Suzuki,Wagon R 1.0,LXI CNG,2013,manual,petrol+cng,1,8099.0,55468
550000.0,Volkswagen,Vento,1.5L Highline Diesel AT,2015,automatic,diesel,2,9385.0,90867
747000.0,Honda,WR-V,i-VTEC SV,2022,manual,petrol,1,12720.0,24413
447636.0,Maruti Suzuki,Wagon R 1.0,VXI AMT,2018,automatic,petrol,1,8000.0,25635
767000.0,Maruti Suzuki,Ciaz,S Petrol,2021,manual,petrol,1,13061.0,64885
840000.0,Renault,Kiger,RXZ Turbo CVT Dual Tone,2022,automatic,petrol,1,14304.0,18972
169000.0,Chevrolet,Spark,LS 1.0,2013,manual,petrol,1,,41533
480000.0,Renault,Kwid,Climber 1.0l SCE Petrol MT Dual Tone,2023,manual,petrol,1,8174.0,21154
427000.0,Renault,Kwid,CLIMBER 1.0 Opt,2022,manual,petrol,1,7271.0,41637
1239999.0,Mahindra,Thar,LX 4 STR Convertible Petrol AT 4WD,2021,automatic,petrol,1,21116.0,33885
357700.0,Maruti Suzuki,Alto K10,VXI AMT (O),2018,automatic,petrol,2,6091.0,31317
398000.0,Renault,Kwid,1.0 RXT AMT,2020,automatic,petrol,1,6777.0,28544
607068.0,Hyundai,Aura,S 1.2 Petrol,2021,manual,petrol,1,10338.0,27414
218708.0,Maruti Suzuki,A-Star,VXI,2012,manual,petrol,2,7798.0,84538
294000.0,Hyundai,i10,magna 1.1,2015,manual,petrol,2,5351.0,41514
533000.0,Renault,Triber,RXZ Dual Tone,2021,manual,petrol,2,9076.0,42798
376096.0,Maruti Suzuki,Swift,VXI,2014,manual,petrol,1,8071.0,98163
400624.0,Maruti Suzuki,Wagon R 1.0,VXI AMT,2016,automatic,petrol,1,7160.0,36711
