score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1140148.0,MG Motors,Astor,Smart EX 1.5 MT,2022,manual,petrol,1,19416.0,21654
656000.0,Renault,Triber,RXT Limited Edition,2022,manual,petrol,1,11171.0,25918
580000.0,Tata,Tiago,XZA Plus Dual Tone Roof AMT,2020,automatic,petrol,1,9877.0,49182
1008000.0,Hyundai,Venue,SX 1.2 Petrol,2023,manual,petrol,1,17165.0,15392
925000.0,Maruti Suzuki,S-Cross,Alpha AT,2021,automatic,petrol,1,15752.0,59060
378000.0,Renault,Kwid,RXL 1.0 SCE,2021,manual,petrol,1,6437.0,32111
928000.0,Kia,Sonet,GTX Plus 1.0 iMT,2021,manual,petrol,2,15803.0,35532
529000.0,Tata,Altroz,XE 1.2,2021,manual,petrol,1,9008.0,12630
641000.0,Tata,Altroz,XZ 1.2,2020,manual,petrol,1,10915.0,24744
419000.0,Renault,Kwid,1.0 RXL AMT,2021,automatic,petrol,1,7135.0,27719
430000.0,Tata,Tiago,Revotron XT,2019,manual,petrol,2,7322.0,24370
304000.0,Honda,Amaze,1.2 S i-VTEC,2013,manual,petrol,2,8194.0,93655
542000.0,Tata,Tiago,Revotron XZA AMT,2019,automatic,petrol,1,9229.0,29479
527000.0,Tata,Tiago,Revotron XZ Plus,2020,manual,petrol,1,8974.0,17335
218000.0,Maruti Suzuki,Alto K10,VXi,2012,manual,petrol,2,8291.0,70592
598000.0,Tata,Altroz,XZ 1.2,2021,manual,petrol,1,10183.0,52181
468000.0,Maruti Suzuki,S-Presso,VXI Plus,2022,manual,petrol,1,7969.0,7735
290000.0,Hyundai,i10,magna 1.1,2013,manual,petrol,1,7816.0,54899
210000.0,Datsun,Redi-GO,T (O),2016,manual,petrol,1,15005.0,29281
278000.0,Renault,Kwid,RXT,2016,manual,petrol,1,4734.0,46232
498000.0,Honda,Jazz,SV Petrol,2017,manual,petrol,1,7950.0,34722
292000.0,Maruti Suzuki,Wagon R 1.0,VXI,2012,manual,petrol,1,11326.0,58252
687000.0,Tata,Altroz,XT 1.5,2020,manual,diesel,1,11699.0,45253
1225029.0,Skoda,Kushaq,Style 1.0L TSI MT,2021,manual,petrol,1,20861.0,17862
659000.0,Tata,Tiago,Revotron XZ Plus,2023,manual,petrol,1,11222.0,18740
204000.0,Maruti Suzuki,Alto 800,Lxi,2013,manual,petrol,1,5657.0,60261
226000.0,Hyundai,i10,Magna 1.2 Petrol,2011,manual,petrol,2,16148.0,41253
259000.0,Hyundai,i10,Era Petrol,2013,manual,petrol,1,6981.0,34834
529000.0,Hyundai,i20 Active,1.2 SX,2017,manual,petrol,2,9008.0,31975
625000.0,Renault,Triber,RXZ AMT,2020,automatic,petrol,1,10643.0,14518
270000.0,Maruti Suzuki,Swift,VXI,2011,manual,petrol,2,19292.0,71883
602000.0,Tata,Tiago,XZA+ AMT,2020,automatic,petrol,1,10251.0,35007
450000.0,Maruti Suzuki,Baleno,Delta 1.2,2016,manual,petrol,1,7663.0,119630
408000.0,Hyundai,Elite i20,Magna Executive 1.2,2017,manual,petrol,1,6948.0,104474
878000.0,Tata,Nexon,XZ Plus (O),2021,manual,petrol,1,14951.0,23350
459000.0,Hyundai,Grand i10,Magna 1.2 Kappa VTVT,2020,manual,petrol,2,7816.0,44119
378000.0,Tata,Tiago,Revotron XM,2019,manual,petrol,1,6437.0,120256
589000.0,Tata,Tiago,XZ Plus Dual Tone Roof,2022,manual,petrol,1,10030.0,20238
675000.0,Tata,Tigor,Revotron XZ+,2023,manual,petrol,1,11494.0,10298
659000.0,Renault,Kiger,RXZ MT,2022,manual,petrol,1,11222.0,17878
341000.0,Maruti Suzuki,Celerio,VXI,2014,manual,petrol,1,7318.0,53431
703194.0,Tata,Nexon,XZ Plus Petrol,2019,manual,petrol,1,11974.0,43246
539000.0,Tata,Altroz,XM 1.2,2021,manual,petrol,1,9178.0,21226
680000.0,Tata,Altroz,XZ Turbo 1.2,2021,manual,petrol,1,11580.0,18593
355000.0,Maruti Suzuki,Swift Dzire,ZXI,2012,manual,petrol,1,13501.0,88273
335000.0,Mahindra,KUV100,K2 6 STR,2016,manual,petrol,1,5704.0,53371
489000.0,Maruti Suzuki,Swift,VXI,2017,manual,petrol,1,8327.0,43563
1149902.0,Tata,Harrier,XZ,2019,manual,diesel,2,19582.0,54128
175000.0,Datsun,GO,T,2014,manual,petrol,2,12504.0,82959
449000.0,Maruti Suzuki,Swift Dzire,VXI,2015,manual,petrol,1,8172.0,33582
535000.0,Maruti Suzuki,Baleno,Alpha 1.2,2016,manual,petrol,1,9110.0,88054
412000.0,Renault,Kwid,Climber 1.0l SCE Petrol MT,2022,manual,petrol,2,7016.0,14844
781000.0,Tata,Nexon,XZ Plus Petrol,2021,manual,petrol,1,13299.0,26934
194000.0,Maruti Suzuki,A-Star,ZXI,2010,manual,petrol,2,,48696
311000.0,Maruti Suzuki,Wagon R 1.0,VXI,2014,manual,petrol,1,6924.0,76896
605000.0,Tata,Tiago,XZA+ AMT,2021,automatic,petrol,1,10302.0,29737
360000.0,Renault,Kwid,RXT 1.0 SCE Special (O),2018,manual,petrol,1,6130.0,68695
220000.0,Datsun,GO,T,2017,manual,petrol,1,4721.0,30332
506000.0,Tata,Tiago,Revotron XZ Plus,2019,manual,petrol,1,8616.0,25353
222000.0,Datsun,GO,T,2016,manual,petrol,1,5984.0,50795
568000.0,Renault,Triber,RXZ AMT,2020,automatic,petrol,1,9672.0,53911
783000.0,Tata,Nexon,XZ Plus (O),2020,manual,petrol,1,13334.0,46997
507000.0,Volkswagen,Vento,1.6L Highline Petrol,2015,manual,petrol,1,8651.0,79948
341000.0,Maruti Suzuki,Swift,VXI,2012,manual,petrol,1,12969.0,47018
294000.0,Hyundai,i10,Sportz 1.1 Petrol,2014,manual,petrol,1,6309.0,82911
487000.0,Hyundai,i20 Active,1.2 SX,2016,manual,petrol,1,8293.0,96329
273000.0,Hyundai,i10,magna 1.1,2014,manual,petrol,1,5859.0,89996
675000.0,Hyundai,Venue,SX 1.0 (O) Turbo,2019,manual,petrol,1,11494.0,112157
301000.0,Volkswagen,Polo,Comfortline 1.2L (P),2012,manual,petrol,1,10732.0,121747
498000.0,Volkswagen,Ameo,1.0 Comfortline Petrol,2019,manual,petrol,1,7950.0,27525
1887548.0,MG Motors,Hector,Sharp Pro 1.5 Turbo Petrol CVT,2023,automatic,petrol,1,32143.0,10681
600000.0,Tata,Punch,Adventure Rhythm Pack MT,2022,manual,petrol,1,10217.0,38536
533000.0,Hyundai,Elite i20,Asta 1.2,2016,manual,petrol,1,9076.0,41652
242000.0,Maruti Suzuki,Alto 800,Lxi,2015,manual,petrol,1,4605.0,47312
458000.0,Honda,Jazz,V Petrol,2016,manual,petrol,1,7312.0,71969
450000.0,Nissan,Sunny,Special Edition XV Diesel,2014,manual,diesel,2,9054.0,88762
1138173.0,MG Motors,Hector,1.5 Hybrid Sharp,2019,manual,petrol,1,19382.0,34747
859000.0,Mahindra,XUV500,W6,2017,manual,diesel,1,15352.0,36739
429000.0,Nissan,Terrano,XL Petrol,2016,manual,petrol,1,6849.0,72767
589000.0,Maruti Suzuki,Swift,ZXI Plus,2018,manual,petrol,1,10030.0,51620
1241193.0,Skoda,Kushaq,Ambition 1.0L TSI AT,2022,automatic,petrol,1,21136.0,41755
203000.0,Datsun,GO,T,2016,manual,petrol,1,5471.0,54407
442000.0,Tata,Tiago,Revotron XZ,2020,manual,petrol,2,7527.0,43621
517000.0,Renault,Triber,RXT,2020,manual,petrol,1,8804.0,47344
298000.0,Hyundai,Eon,Magna +,2017,manual,petrol,1,4757.0,26533
558000.0,Honda,Brio,VX AT,2018,automatic,petrol,2,8908.0,52524
418000.0,Maruti Suzuki,S-Presso,VXI AMT,2020,automatic,petrol,1,7118.0,18736
639000.0,Maruti Suzuki,Baleno,Zeta 1.2,2018,manual,petrol,1,10881.0,24037
1075000.0,MG Motors,Astor,Sharp EX 1.5 MT,2022,manual,petrol,1,18306.0,32460
498000.0,Skoda,Rapid New,Ambition Petrol,2017,manual,petrol,1,8480.0,81492
549000.0,Volkswagen,Polo,Comfortline 1.2L (P),2017,manual,petrol,1,8764.0,43727
327000.0,Hyundai,Xcent,SX 1.2,2014,manual,petrol,1,6579.0,117272
1044243.0,Kia,Sonet,GTX Plus 1.0 DCT,2020,automatic,petrol,1,17782.0,15846
317000.0,Maruti Suzuki,Alto 800,VXi,2020,manual,petrol,2,5665.0,39508
758000.0,Hyundai,Elantra,2.0 SX (O),2017,manual,petrol,1,12908.0,62492
