score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
925000.0,Hyundai,Verna,SX Opt Petrol,2021,manual,petrol,1,15752.0,61426
354000.0,Volkswagen,Cross Polo,1.2 MPI,2015,manual,petrol,1,6040.0,91023
1096000.0,Volkswagen,Virtus,Highline 1.0 TSI MT,2023,manual,petrol,1,18664.0,25164
630000.0,Maruti Suzuki,Baleno,Zeta,2021,manual,petrol,1,10728.0,27720
857000.0,Hyundai,New i20,Asta (O) 1.0 Turbo DCT,2021,automatic,petrol,1,14594.0,25654
458000.0,Maruti Suzuki,Swift Dzire,ZXI,2017,manual,petrol,1,7799.0,35846
745000.0,Hyundai,New i20,Asta (O) 1.2 MT,2021,manual,petrol,1,12686.0,35135
396000.0,Maruti Suzuki,Alto 800,VXi,2022,manual,petrol,1,7077.0,4235
809000.0,Mahindra,XUV 300,W8 (O) Diesel,2020,manual,diesel,1,13776.0,86223
983000.0,Honda,City,ZX Petrol,2021,manual,petrol,1,16739.0,26244
933000.0,Kia,Seltos,HTK Plus G,2020,manual,petrol,1,15888.0,26180
868000.0,Mahindra,XUV 300,W8 (O) Petrol,2021,manual,petrol,1,14781.0,20238
540000.0,Maruti Suzuki,Swift,VXI,2021,manual,petrol,1,9195.0,20409
911000.0,Maruti Suzuki,Ciaz,Zeta Petrol,2024,manual,petrol,1,15513.0,14048
855000.0,Maruti Suzuki,Ciaz,Zeta AT Petrol,2022,automatic,petrol,1,14560.0,30160
697000.0,Hyundai,Venue,SX(O) 1.5 CRDI,2020,manual,diesel,1,11869.0,77657
442000.0,Hyundai,Elite i20,Asta 1.2,2015,manual,petrol,1,8045.0,48440
462000.0,Volkswagen,Polo,Comfortline 1.0L (P),2018,manual,petrol,1,7375.0,40528
1145198.0,Kia,Sonet,GTX Plus 1.5 AT,2022,automatic,diesel,1,19502.0,51075
617000.0,Hyundai,Grand i10 Nios,Asta 1.2 Kappa VTVT,2022,manual,petrol,1,10507.0,39836
849000.0,Hyundai,Creta,EX Petrol,2021,manual,petrol,1,14457.0,50347
497000.0,Renault,Duster,85 PS RXS MT,2017,manual,diesel,1,8463.0,69000
997000.0,Kia,Seltos,HTX IVT G,2021,automatic,petrol,2,16978.0,39809
939000.0,Kia,Sonet,GTX Plus 1.0 DCT,2021,automatic,petrol,1,15990.0,65723
649000.0,Hyundai,New i20,Asta 1.0 Turbo IMT,2020,manual,petrol,2,11052.0,26613
685000.0,Hyundai,Grand i10 Nios,Asta U2 1.2 CRDI,2020,manual,diesel,1,11665.0,13989
801000.0,Hyundai,Venue,SX 1.0  Turbo iMT,2021,manual,petrol,1,13640.0,39086
545000.0,Hyundai,Aura,SX 1.2 (O) Petrol,2020,manual,petrol,1,9281.0,58640
739000.0,Maruti Suzuki,S-Cross,Alpha,2021,manual,petrol,1,12584.0,76549
415000.0,Hyundai,New Santro 1.1,Sportz MT,2021,manual,petrol,1,6625.0,40672
561000.0,Tata,Tiago,Revotron XZ Plus,2023,manual,petrol,1,9553.0,39459
424000.0,Maruti Suzuki,S-Presso,VXI Plus,2021,manual,petrol,1,7220.0,12259
661000.0,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT CNG,2022,manual,petrol+cng,1,11256.0,9966
398000.0,Maruti Suzuki,Alto 800,VXi,2023,manual,petrol,1,7113.0,8946
580000.0,Renault,Kiger,RXZ MT,2022,manual,petrol,1,9877.0,59408
496000.0,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,2020,manual,petrol,1,8446.0,37308
438000.0,Hyundai,New Santro 1.1,Asta MT,2021,manual,petrol,1,6992.0,29930
417000.0,Hyundai,New Santro 1.1,Sportz MT,2021,manual,petrol,1,6657.0,37201
878000.0,Hyundai,New i20,Asta (O) 1.2 IVT,2022,automatic,petrol,1,14951.0,5792
1424000.0,Skoda,Slavia,Style 1.5L TSI AT,2022,automatic,petrol,1,24249.0,11078
668000.0,Maruti Suzuki,Ciaz,Alpha Petrol,2020,manual,petrol,1,11375.0,66796
804000.0,Nissan,Magnite,XV Premium Turbo CVT (O),2021,automatic,petrol,1,13691.0,34412
409000.0,Maruti Suzuki,Baleno,Delta 1.2,2016,manual,petrol,1,6965.0,58333
