score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
349000.0,Hyundai,Verna,Fluidic 1.6 VTVT EX,2013,manual,petrol,2,9407.0,23396
419000.0,Maruti Suzuki,Swift,VXI,2017,manual,petrol,1,7135.0,48167
1471955.0,Toyota,Urban Cruiser Hyryder,V Neodrive AT Dual Tone,2022,automatic,petrol,1,25066.0,23943
1089595.0,Hyundai,Tucson,GL (O) AT Diesel,2018,automatic,diesel,1,18555.0,107753
865000.0,Hyundai,Exter,SX(O) Connect 1.2 Petrol AMT,2023,automatic,petrol,1,14730.0,17858
811000.0,Honda,Amaze,1.2 VX CVT i-VTEC,2022,automatic,petrol,1,13810.0,8845
624000.0,Renault,Kiger,RXZ MT,2021,manual,petrol,1,10626.0,23094
849000.0,Mahindra,Marazzo,M6 Plus,2021,manual,diesel,1,14457.0,27695
811000.0,Hyundai,Venue,SX 1.0  Turbo iMT,2021,manual,petrol,1,13810.0,27775
849000.0,Hyundai,New i20,Asta (O) 1.0 Turbo DCT,2021,automatic,petrol,1,14457.0,46839
525000.0,Maruti Suzuki,Celerio,ZXI Plus,2022,manual,petrol,1,8940.0,26002
305000.0,Skoda,Rapid,Ambition Diesel MT,2015,manual,diesel,2,5204.0,101951
851000.0,Toyota,Glanza,V AMT,2023,automatic,petrol,1,14492.0,15412
480000.0,Maruti Suzuki,Ignis,Alpha AMT Petrol,2018,automatic,petrol,1,8174.0,58184
385000.0,Renault,Kwid,CLIMBER 1.0 Opt,2020,manual,petrol,1,6556.0,36952
619000.0,Tata,Altroz,XZ 1.2,2021,manual,petrol,1,10541.0,38254
720000.0,Tata,Altroz,XZA+,2022,automatic,petrol,1,12261.0,35400
1045000.0,Kia,Seltos,HTX G,2020,manual,petrol,1,17795.0,44935
851000.0,Kia,Sonet,GTX Plus 1.5,2020,manual,diesel,1,14492.0,77056
598000.0,Tata,Tiago,Revotron XZ Plus CNG,2022,manual,petrol+cng,1,10183.0,48861
1735995.0,Mahindra,Scorpio N,Z8 L Petrol 7 STR,2023,manual,petrol,1,29562.0,18931
792000.0,Toyota,Glanza,V,2022,manual,petrol,1,13487.0,15683
794000.0,Hyundai,Venue,SX 1.0  Turbo iMT,2021,manual,petrol,1,13521.0,33472
732000.0,Tata,Altroz,XZ 1.5,2021,manual,diesel,1,12465.0,48664
836000.0,Kia,Seltos,HTE D,2020,manual,diesel,1,14236.0,73272
583000.0,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,2021,manual,petrol,1,9928.0,19126
1060000.0,Kia,Sonet,GTX Plus 1.5 AT,2020,automatic,diesel,1,18051.0,59362
567000.0,Hyundai,Grand i10 Nios,Sportz AMT 1.2 Kappa VTVT,2019,automatic,petrol,1,9655.0,9460
745000.0,Honda,Jazz,V CVT,2022,automatic,petrol,1,11893.0,21919
711000.0,Hyundai,New i20,Sportz 1.2 MT,2022,manual,petrol,1,12107.0,9309
779000.0,Honda,City,V Petrol,2020,manual,petrol,2,13265.0,38099
539000.0,Hyundai,Elite i20,Asta 1.2,2018,manual,petrol,1,9178.0,78413
1401000.0,Tata,Safari,XZ Plus,2021,manual,diesel,1,23858.0,85907
598000.0,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT CNG,2021,manual,petrol+cng,1,10183.0,50298
569000.0,Honda,WR-V,i-VTEC SV,2020,manual,petrol,1,9689.0,85689
662000.0,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,2023,manual,petrol,1,11273.0,10757
1042223.0,Hyundai,Creta,S Petrol,2021,manual,petrol,1,17748.0,47148
595000.0,Honda,CR-V,2.0L 2WD MT,2013,manual,petrol,1,16038.0,77731
605000.0,Renault,Triber,RXT Limited Edition,2022,manual,petrol,1,10302.0,29123
289000.0,Maruti Suzuki,Ritz,Vdi BS-IV,2015,manual,diesel,1,4931.0,123276
815000.0,Maruti Suzuki,Baleno,Alpha Petrol,2023,manual,petrol,1,13878.0,26465
1447902.0,MG Motors,Hector Plus,Sharp 2.0 Diesel Turbo MT 6-STR Dual Tone,2021,manual,diesel,1,24656.0,53919
1160364.0,Maruti Suzuki,Fronx,Alpha 1.0L Turbo 6 AT,2023,automatic,petrol,1,19760.0,21294
778000.0,Honda,City,ZX CVT,2017,automatic,petrol,1,13248.0,25072
575000.0,Honda,Amaze,1.5 E i-DTEC,2020,manual,diesel,1,9791.0,78417
429000.0,Hyundai,Elite i20,Sportz 1.2,2015,manual,petrol,1,7808.0,48631
1160393.0,Mahindra,XUV500,W11 AT,2019,automatic,diesel,1,20739.0,78456
899000.0,Tata,Nexon,XZA Plus Premium Kaziranga Petrol,2022,automatic,petrol,1,15309.0,60005
437000.0,Hyundai,New Santro 1.1,Sportz MT,2021,manual,petrol,1,6976.0,50577
941000.0,Tata,Nexon,XZ Plus Premium,2022,manual,petrol,1,16024.0,6664
868000.0,Tata,Nexon,XZ Plus (O),2021,manual,petrol,1,14781.0,26451
1746095.0,Mahindra,XUV700,AX 7 Petrol AT Luxury Pack 7 STR,2021,automatic,petrol,1,29734.0,121383
1443095.0,Hyundai,Alcazar,Platinum 7 STR 2.0 Petrol MT,2022,manual,petrol,1,25791.0,42991
682000.0,Renault,Kiger,RXZ MT,2022,manual,petrol,1,11614.0,19534
564000.0,Maruti Suzuki,Baleno,Zeta,2021,manual,petrol,1,9604.0,88139
680000.0,Renault,Kiger,RXZ 1.0 Turbo MT,2021,manual,petrol,1,11580.0,43109
604000.0,Tata,Punch,Adventure MT,2022,manual,petrol,1,10285.0,2970
961000.0,Kia,Seltos,HTK G,2021,manual,petrol,1,16365.0,17951
554000.0,Honda,Amaze,1.2 V i-VTEC,2019,manual,petrol,1,9434.0,49141
732000.0,Maruti Suzuki,Baleno,Zeta Petrol,2023,manual,petrol,1,12465.0,17849
577000.0,Tata,Tiago,Revotron XT CNG,2022,manual,petrol+cng,1,9825.0,22515
1150293.0,Mahindra,XUV500,W11,2020,manual,diesel,1,20558.0,66862
789000.0,Honda,City,ZX CVT,2019,automatic,petrol,1,13436.0,98617
480000.0,Hyundai,New Santro 1.1,Sportz Executive CNG,2022,manual,petrol+cng,1,7663.0,70145
583000.0,Maruti Suzuki,Ignis,Zeta MT Petrol,2023,manual,petrol,1,9928.0,17624
732000.0,Maruti Suzuki,S-Cross,Delta,2021,manual,petrol,1,12465.0,23505
654000.0,Maruti Suzuki,Baleno,Zeta Petrol+CNG (Outside Fitted),2021,manual,petrol+cng,1,11137.0,36834
593000.0,Honda,Jazz,V,2020,manual,petrol,1,9467.0,40112
474000.0,Maruti Suzuki,Celerio,ZXI Plus,2022,manual,petrol,1,8071.0,65287
478000.0,Renault,Kwid,CLIMBER 1.0 AMT Dual Tone,2022,automatic,petrol,1,8140.0,27767
401000.0,Renault,Kwid,1.0 RXT Opt,2021,manual,petrol,1,6828.0,20491
454000.0,Maruti Suzuki,Wagon R 1.0,VXI,2020,manual,petrol,1,8114.0,27288
473000.0,Hyundai,i20 Active,1.2 S,2017,manual,petrol,1,8054.0,67148
631000.0,Maruti Suzuki,Baleno,Zeta,2021,manual,petrol,1,10745.0,44965
615000.0,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT CNG,2021,manual,petrol+cng,1,10473.0,35952
589000.0,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,2021,manual,petrol,1,10030.0,9783
572000.0,Honda,City,VX CVT,2016,automatic,petrol,2,9740.0,47915
401000.0,Maruti Suzuki,Alto K10,LXI,2023,manual,petrol,1,6828.0,26276
699000.0,Hyundai,New i20,Asta (O) 1.2 MT,2022,manual,petrol,3,11903.0,16573
997000.0,Tata,Nexon,XZ+ (O) Dark Edition Diesel,2022,manual,diesel,1,16978.0,46819
450000.0,Maruti Suzuki,Baleno,RS Petrol,2017,manual,petrol,1,7663.0,83820
434000.0,Honda,City,V,2014,manual,petrol,1,9314.0,51184
294000.0,Maruti Suzuki,Celerio,VXI AMT,2015,automatic,petrol,1,5351.0,119293
365000.0,Maruti Suzuki,Celerio,VXI,2018,manual,petrol,1,6215.0,36216
648000.0,Maruti Suzuki,Swift,ZXI,2022,manual,petrol,1,11035.0,34590
435000.0,Maruti Suzuki,S-Presso,VXI Plus,2022,manual,petrol,1,7407.0,34478
597000.0,Tata,Tigor,Revotron XZ+ CNG,2022,manual,petrol+cng,1,10166.0,95394
598000.0,Maruti Suzuki,S-Cross,Zeta,2020,manual,petrol,1,10183.0,117303
915000.0,Honda,Amaze,VX MT 1.5 Diesel,2022,manual,diesel,1,15581.0,20701
753000.0,Maruti Suzuki,Vitara Brezza,ZDi Plus Dual Tone AGS,2019,automatic,diesel,1,12823.0,77709
427000.0,Renault,Kwid,CLIMBER 1.0 Opt,2022,manual,petrol,1,7271.0,31576
1160000.0,Skoda,Kushaq,Style 1.0L TSI MT,2021,manual,petrol,1,19754.0,26778
476000.0,Hyundai,New Santro 1.1,Sportz MT,2022,manual,petrol,1,7599.0,23068
432000.0,Maruti Suzuki,Wagon R 1.0,VXI AMT,2018,automatic,petrol,1,7720.0,21334
689000.0,Tata,Altroz,XZ Plus 1.2 Dual Tone,2022,manual,petrol,1,11733.0,41300
432000.0,Maruti Suzuki,Baleno,Delta,2019,manual,petrol,1,7356.0,113610
749000.0,Hyundai,New i20,Asta 1.0 Turbo DCT,2020,automatic,petrol,1,12755.0,35572
795000.0,Toyota,Glanza,V AMT,2022,automatic,petrol,1,13538.0,28868
992000.0,Hyundai,Venue,SX 1.5 CRDI,2022,manual,diesel,1,16893.0,58600
640000.0,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT CNG,2022,manual,petrol+cng,1,10898.0,24614
789000.0,Tata,Nexon,XM Diesel S,2022,manual,diesel,1,13436.0,73199
396000.0,Hyundai,Elite i20,Sportz 1.2,2017,manual,petrol,3,6743.0,52229
878000.0,Hyundai,Verna,SX Petrol,2020,manual,petrol,1,14951.0,44118
