score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1049293.0,Volkswagen,Virtus,Comfortline 1.0 TSI MT,2023,manual,petrol,1,17868.0,7087
605000.0,Nissan,Magnite,XV,2021,manual,petrol,1,10302.0,25394
717000.0,Hyundai,New i20,Sportz 1.0 Turbo IMT,2021,manual,petrol,1,12210.0,19571
636000.0,Maruti Suzuki,Ciaz,Alpha Petrol,2018,manual,petrol,1,10830.0,65070
820000.0,Toyota,Urban Cruiser,High Grade MT,2022,manual,petrol,1,13964.0,32091
983000.0,Tata,Nexon,XZ Plus (O),2022,manual,petrol,1,16739.0,18926
1297708.0,Kia,Seltos,GTX Plus DCT,2019,automatic,petrol,1,22099.0,42938
919000.0,Skoda,Kushaq,Ambition 1.0L TSI MT,2021,manual,petrol,2,15650.0,34987
1144233.0,Kia,Seltos,HTX G,2021,manual,petrol,1,19485.0,58858
568000.0,Nissan,Magnite,XV,2021,manual,petrol,1,9672.0,53889
675000.0,Renault,Duster,RXS CVT Petrol,2018,automatic,petrol,1,11494.0,32777
1140095.0,Skoda,Octavia,1.8 TSI AT L K,2018,automatic,petrol,1,19415.0,86230
629000.0,Maruti Suzuki,Baleno,Zeta,2020,manual,petrol,1,10711.0,37906
589000.0,Toyota,Corolla Altis,G Petrol,2015,manual,petrol,1,10721.0,74218
1645193.0,Mahindra,XUV700,AX 5 Petrol MT 7 STR,2022,manual,petrol,1,28016.0,13099
663000.0,Honda,City,ZX CVT,2017,automatic,petrol,2,11290.0,61218
819000.0,Toyota,Glanza,V,2022,manual,petrol,1,13947.0,19441
1160348.0,Maruti Suzuki,Grand Vitara,Zeta Smart Hybrid,2022,manual,petrol,1,19760.0,31643
931000.0,Hyundai,Creta,1.6 SX VTVT Dual Tone,2019,manual,petrol,1,15854.0,72344
1042178.0,MG Motors,Hector,1.5 Smart DCT,2019,automatic,petrol,2,17747.0,38739
634000.0,Maruti Suzuki,Dzire,VXI AMT,2021,automatic,petrol,1,10796.0,44429
452000.0,Renault,Kwid,CLIMBER 1.0 Opt,2022,manual,petrol,1,7697.0,32691
698000.0,Maruti Suzuki,Ertiga,ZDI + SHVS,2016,manual,diesel,3,11886.0,77800
524000.0,Hyundai,New Santro 1.1,Sportz Executive CNG,2021,manual,petrol+cng,1,8365.0,42101
812000.0,Hyundai,New i20,Asta (O) 1.0 Turbo DCT,2020,automatic,petrol,1,13827.0,63414
553000.0,Volkswagen,Vento,1.2L Highline Petrol AT,2017,automatic,petrol,1,8828.0,108412
565000.0,Maruti Suzuki,Baleno,Zeta AT Petrol,2018,automatic,petrol,1,9621.0,74596
464000.0,Maruti Suzuki,Baleno,Delta 1.2 AT,2018,automatic,petrol,3,7901.0,34679
577000.0,Maruti Suzuki,Baleno,Alpha 1.2,2017,manual,petrol,1,9825.0,13989
516000.0,Maruti Suzuki,Baleno,Zeta 1.2,2017,manual,petrol,1,8787.0,53697
1179538.0,MG Motors,Hector,1.5 Sharp DCT,2019,automatic,petrol,1,20086.0,58118
598000.0,Maruti Suzuki,Baleno,Alpha AT Petrol,2018,automatic,petrol,1,10183.0,56488
602000.0,Maruti Suzuki,Swift,ZXI AMT,2019,automatic,petrol,1,10251.0,38558
564000.0,Maruti Suzuki,Dzire,VXi,2018,manual,petrol,1,9604.0,28177
668000.0,Hyundai,New i20,Sportz 1.0 Turbo IMT,2020,manual,petrol,1,11375.0,18538
1332048.0,MG Motors,Astor,Savvy 1.3 Turbo AT S Red,2021,automatic,petrol,2,22684.0,28838
423000.0,Maruti Suzuki,Ignis,Delta MT Petrol,2018,manual,petrol,2,7203.0,7556
1160393.0,MG Motors,Astor,Sharp 1.5 MT,2021,manual,petrol,1,19760.0,22153
514000.0,Maruti Suzuki,Baleno,Delta 1.2,2018,manual,petrol,1,8753.0,37693
624000.0,Renault,Kiger,RXZ MT,2021,manual,petrol,1,10626.0,10917
1042125.0,MG Motors,Hector,2.0 Sharp,2019,manual,diesel,2,17746.0,77153
866000.0,Hyundai,Venue,SX 1.0  Turbo iMT,2021,manual,petrol,1,14747.0,29334
905000.0,Maruti Suzuki,Ciaz,Alpha AT Petrol,2022,automatic,petrol,1,15411.0,42467
429000.0,Maruti Suzuki,Ignis,Zeta MT Petrol,2017,manual,petrol,1,7305.0,42859
917000.0,Hyundai,Venue,SX 1.0 (O) Turbo iMT,2021,manual,petrol,1,15615.0,47292
480000.0,Maruti Suzuki,Celerio,ZXI (O) AMT,2020,automatic,petrol,1,8174.0,37034
618000.0,Nissan,Magnite,XV Turbo Executive,2021,manual,petrol,1,10524.0,24284
759000.0,Hyundai,Venue,S+ 1.2,2021,manual,petrol,1,12925.0,25083
549000.0,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,2020,manual,petrol,1,9349.0,41772
437000.0,Maruti Suzuki,Celerio,ZXI,2020,manual,petrol,1,7441.0,54180
659000.0,Renault,Kiger,RXZ MT,2022,manual,petrol,1,11222.0,36946
450000.0,Renault,Kwid,1.0L RXT(O) AMT,2021,automatic,petrol,1,7663.0,23285
581000.0,Maruti Suzuki,Baleno,Zeta AT Petrol,2017,automatic,petrol,1,9894.0,24744
628000.0,Skoda,Rapid New,Ambition Petrol,2019,manual,petrol,1,10694.0,28728
446000.0,Maruti Suzuki,S-Presso,VXI Opt CNG,2020,manual,petrol+cng,1,7595.0,28535
1332093.0,Kia,Seltos,GTX Plus,2020,manual,petrol,1,22684.0,36046
897000.0,Honda,City,ZX CVT,2019,automatic,petrol,1,15275.0,40757
733000.0,Maruti Suzuki,Baleno,Zeta Petrol,2022,manual,petrol,1,12482.0,15644
598000.0,Maruti Suzuki,Ciaz,Zeta 1.4 MT,2018,manual,petrol,1,10183.0,36235
695000.0,Toyota,Corolla Altis,GL Petrol,2017,manual,petrol,2,11835.0,75843
372000.0,Maruti Suzuki,Alto 800,VXi,2021,manual,petrol,1,6648.0,21948
568000.0,Maruti Suzuki,Baleno,Delta,2020,manual,petrol,1,9672.0,42813
438000.0,Mahindra,KUV100 NXT,K8 6 STR,2018,manual,petrol,1,7458.0,36988
827000.0,Maruti Suzuki,Ertiga,ZXI+,2017,manual,petrol,1,14083.0,23839
