score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
256000.0,Hyundai,i10,Magna 1.2 Petrol,2012,manual,petrol,1,9736.0,57277
305000.0,Maruti Suzuki,Wagon R 1.0,LXI,2014,manual,petrol,1,6790.0,52531
397000.0,Hyundai,Grand i10,Magna 1.2 Kappa VTVT,2017,manual,petrol,2,6760.0,59682
924000.0,Hyundai,Verna,1.6 VTVT SX (O) AT,2018,automatic,petrol,1,15735.0,23412
598000.0,Maruti Suzuki,Baleno,Zeta,2020,manual,petrol,2,10183.0,26700
915000.0,Tata,Nexon,XZ Plus Petrol,2022,manual,petrol,1,15581.0,18973
509000.0,Maruti Suzuki,Ciaz,VXi+,2016,manual,petrol,1,8667.0,36199
419000.0,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,2015,manual,petrol,1,7626.0,26935
230000.0,Hyundai,Eon,Era,2013,manual,petrol,1,5812.0,34123
1133000.0,Kia,Sonet,GTX Plus 1.0 iMT,2022,manual,petrol,1,19294.0,14221
871000.0,Tata,Altroz,XZ Plus 1.5 diesel mt dual tone,2022,manual,diesel,1,14832.0,27627
949000.0,Maruti Suzuki,New Ertiga,VXi AT,2021,automatic,petrol,1,16160.0,23604
411000.0,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,2015,manual,petrol,1,7481.0,43846
393000.0,Tata,Tiago,Revotron XZ,2016,manual,petrol,1,6692.0,76717
943000.0,Tata,Nexon,XZ Plus Petrol,2022,manual,petrol,1,16058.0,11923
710000.0,Renault,Kiger,RXT (O) MT,2023,manual,petrol,1,12090.0,8685
733000.0,Maruti Suzuki,Ciaz,Alpha Petrol,2018,manual,petrol,1,12482.0,14036
539000.0,Hyundai,Elite i20,Sportz 1.2,2017,manual,petrol,1,9178.0,23173
375000.0,Hyundai,i20,Sportz 1.4 CRDI,2014,manual,diesel,1,8048.0,145622
473000.0,Hyundai,New Santro 1.1,Sportz MT,2021,manual,petrol,2,7551.0,15468
829000.0,Hyundai,Venue,SX 1.0  Turbo iMT,2021,manual,petrol,1,14117.0,51954
393000.0,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,2015,manual,petrol,2,7153.0,30733
646000.0,Renault,Kiger,RXZ MT Dual Tone,2021,manual,petrol,1,11001.0,20974
335000.0,Maruti Suzuki,Wagon R 1.0,VXI AMT,2015,automatic,petrol,2,6375.0,73562
1088638.0,Maruti Suzuki,XL6,Alpha MT Petrol,2022,manual,petrol,1,18538.0,31149
974000.0,Kia,Sonet,HTX 1.0 iMT,2022,manual,petrol,1,16586.0,35680
645000.0,Renault,Triber,RXZ,2021,manual,petrol,1,10983.0,23935
949000.0,Skoda,Kushaq,Ambition 1.0L TSI MT,2021,manual,petrol,1,16160.0,106386
395000.0,Honda,Jazz,VX Petrol,2016,manual,petrol,2,6306.0,57902
306000.0,Maruti Suzuki,Wagon R 1.0,VXI,2014,manual,petrol,2,6812.0,31302
873000.0,Hyundai,Venue,SX 1.0  Turbo iMT,2021,manual,petrol,1,14866.0,30149
644000.0,Maruti Suzuki,Baleno,Zeta Automatic,2019,automatic,petrol,1,10966.0,53150
462000.0,Maruti Suzuki,Celerio X,ZXI (Opt),2019,manual,petrol,1,7741.0,60749
843000.0,Hyundai,Venue,S+ 1.2,2022,manual,petrol,1,14355.0,18902
358000.0,Maruti Suzuki,Wagon R 1.0,LXI CNG,2016,manual,petrol+cng,2,6096.0,69096
822000.0,Maruti Suzuki,Ciaz,S Petrol,2020,manual,petrol,1,13998.0,37067
626000.0,Maruti Suzuki,Ignis,Zeta MT Petrol,2023,manual,petrol,1,10660.0,20499
