score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer,city
1830510,Mahindra,SCORPIO-N,Z8 L DIESEL MT 2WD 7 STR,2023,Manual,Diesel,1,34842,17981,surat
1395000,Hyundai,Verna,SX(O) 1.5 MPI IVT ,2023,Automatic,Petrol,1,26553,31597,surat
1283800,MG,HECTOR,SHARP 2.0 DIESEL,2021,Manual,Diesel,1,24436,38446,surat
1182860,Hyundai,Creta,SX 1.4 TURBO DCT,2021,Automatic,Petrol,1,22515,37492,surat
1050000,Mahindra,XUV500,W11(O),2019,Manual,Diesel,2,19986,73915,surat
1030000,Skoda,KUSHAQ,AMBITION 1.0L TSI AT,2022,Automatic,Petrol,1,19605,21627,surat
960000,Maruti,Ertiga,VXI CNG,2021,Manual,CNG,1,18273,45620,surat
933000,MG,HECTOR,SHARP 1.5 DCT PETROL,2019,Automatic,Petrol,1,17759,67462,surat
926000,Honda,City,1.5L I-VTE V CVT,2022,Automatic,Petrol,1,17626,35245,surat
913000,Maruti,BREZZA,VXI AT SMART HYBRID,2023,Automatic,Petrol,1,17378,32026,surat
863380,Tata,NEXON,XZA PLUS (O) PETROL DARK EDITION,2021,Automatic,Petrol,1,16434,34192,surat
850000,Hyundai,NEW I20,ASTA 1.0 GDI TURBO DCT,2023,Automatic,Petrol,1,16179,7950,surat
820000,Volkswagen,Vento,HIGHLINE PLUS 1.0L TSI AT,2021,Automatic,Petrol,1,15608,21825,surat
784980,Honda,City,1.5L I-VTEC V MT 4TH GEN,2022,Manual,Petrol,1,15347,29769,surat
784000,Skoda,Rapid,STYLE TSI,2021,Manual,Petrol,1,15327,30901,surat
782000,Jeep,Compass,LONGITUDE (O) 2.0 DIESEL,2017,Manual,Diesel,2,15288,73342,surat
740000,Maruti,Ciaz,ALPHA 1.5 SHVS PETROL,2021,Manual,Petrol,1,14467,60687,surat
727000,Honda,Jazz,1.2L I-VTEC ZX CVT,2021,Automatic,Petrol,1,14213,37795,surat
700000,Tata,NEXON,XM SUNROOF DIESEL,2021,Manual,Diesel,2,13685,33917,surat
693000,Nissan,MAGNITE,XV PREMIUM TURBO CVT,2020,Automatic,Petrol,2,13548,43265,surat
670000,Maruti,Ciaz,ALPHA 1.5 SHVS PETROL,2018,Manual,Petrol,1,13099,35159,surat
660000,Tata,NEXON,XM PETROL,2022,Manual,Petrol,1,12903,66168,surat
644000,Hyundai,VENUE,S 1.2,2019,Manual,Petrol,1,12590,31994,surat
632000,Nissan,MAGNITE,XV MT,2022,Manual,Petrol,1,12356,33038,surat
625000,Nissan,MAGNITE,XV PREMIUM TURBO (O),2022,Manual,Petrol,1,12219,27869,surat
550000,Nissan,MAGNITE,XE,2023,Manual,Petrol,1,10753,36248,surat
550000,Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT CNG,2021,Manual,CNG,1,10753,99422,surat
530000,Honda,City,1.5L I-VTE V CVT,2018,Automatic,Petrol,3,10362,82393,surat
530000,Ford,Ecosport,TITANIUM 1.5L PETROL,2018,Manual,Petrol,1,10362,59063,surat
520000,Nissan,MAGNITE,XL,2022,Manual,Petrol,1,10166,43048,surat
514000,Maruti,Baleno,ZETA PETROL 1.2,2019,Manual,Petrol,1,10049,66604,surat
506000,Ford,Ecosport,TITANIUM 1.5L PETROL,2017,Manual,Petrol,2,9892,49201,surat
498820,Tata,NEXON,XM PETROL,2018,Manual,CNG,1,9752,97166,surat
489000,Renault,TRIBER,RXT LIMITED EDITION,2022,Manual,Petrol,1,9560,41847,surat
465000,Maruti,New Wagon-R,LXI 1.0,2022,Manual,Petrol,1,9091,9864,surat
450000,Volkswagen,Ameo,HIGHLINE1.5L,2017,Manual,Diesel,2,8798,41812,surat
435000,Maruti,Swift Dzire,VXI,2016,Manual,Petrol,1,8504,69113,surat
