score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer,city
1140148.0,MG Motors,Astor,Smart EX 1.5 MT,2022,manual,petrol,1,19416.0,21654,kochi
656000.0,Renault,Triber,RXT Limited Edition,2022,manual,petrol,1,11171.0,25918,kochi
580000.0,Tata,Tiago,XZA Plus Dual Tone Roof AMT,2020,automatic,petrol,1,9877.0,49182,kochi
1008000.0,Hyundai,Venue,SX 1.2 Petrol,2023,manual,petrol,1,17165.0,15392,kochi
925000.0,Maruti Suzuki,S-Cross,Alpha AT,2021,automatic,petrol,1,15752.0,59060,kochi
378000.0,Renault,Kwid,RXL 1.0 SCE,2021,manual,petrol,1,6437.0,32111,kochi
928000.0,Kia,Sonet,GTX Plus 1.0 iMT,2021,manual,petrol,2,15803.0,35532,kochi
529000.0,Tata,Altroz,XE 1.2,2021,manual,petrol,1,9008.0,12630,kochi
641000.0,Tata,Altroz,XZ 1.2,2020,manual,petrol,1,10915.0,24744,kochi
419000.0,Renault,Kwid,1.0 RXL AMT,2021,automatic,petrol,1,7135.0,27719,kochi
430000.0,Tata,Tiago,Revotron XT,2019,manual,petrol,2,7322.0,24370,kochi
304000.0,Honda,Amaze,1.2 S i-VTEC,2013,manual,petrol,2,8194.0,93655,kochi
542000.0,Tata,Tiago,Revotron XZA AMT,2019,automatic,petrol,1,9229.0,29479,kochi
527000.0,Tata,Tiago,Revotron XZ Plus,2020,manual,petrol,1,8974.0,17335,kochi
218000.0,Maruti Suzuki,Alto K10,VXi,2012,manual,petrol,2,8291.0,70592,kochi
598000.0,Tata,Altroz,XZ 1.2,2021,manual,petrol,1,10183.0,52181,kochi
468000.0,Maruti Suzuki,S-Presso,VXI Plus,2022,manual,petrol,1,7969.0,7735,kochi
290000.0,Hyundai,i10,magna 1.1,2013,manual,petrol,1,7816.0,54899,kochi
210000.0,Datsun,Redi-GO,T (O),2016,manual,petrol,1,15005.0,29281,kochi
278000.0,Renault,Kwid,RXT,2016,manual,petrol,1,4734.0,46232,kochi
498000.0,Honda,Jazz,SV Petrol,2017,manual,petrol,1,7950.0,34722,kochi
292000.0,Maruti Suzuki,Wagon R 1.0,VXI,2012,manual,petrol,1,11326.0,58252,kochi
687000.0,Tata,Altroz,XT 1.5,2020,manual,diesel,1,11699.0,45253,kochi
1225029.0,Skoda,Kushaq,Style 1.0L TSI MT,2021,manual,petrol,1,20861.0,17862,kochi
659000.0,Tata,Tiago,Revotron XZ Plus,2023,manual,petrol,1,11222.0,18740,kochi
204000.0,Maruti Suzuki,Alto 800,Lxi,2013,manual,petrol,1,5657.0,60261,kochi
226000.0,Hyundai,i10,Magna 1.2 Petrol,2011,manual,petrol,2,16148.0,41253,kochi
259000.0,Hyundai,i10,Era Petrol,2013,manual,petrol,1,6981.0,34834,kochi
529000.0,Hyundai,i20 Active,1.2 SX,2017,manual,petrol,2,9008.0,31975,kochi
625000.0,Renault,Triber,RXZ AMT,2020,automatic,petrol,1,10643.0,14518,kochi
270000.0,Maruti Suzuki,Swift,VXI,2011,manual,petrol,2,19292.0,71883,kochi
602000.0,Tata,Tiago,XZA+ AMT,2020,automatic,petrol,1,10251.0,35007,kochi
450000.0,Maruti Suzuki,Baleno,Delta 1.2,2016,manual,petrol,1,7663.0,119630,kochi
408000.0,Hyundai,Elite i20,Magna Executive 1.2,2017,manual,petrol,1,6948.0,104474,kochi
878000.0,Tata,Nexon,XZ Plus (O),2021,manual,petrol,1,14951.0,23350,kochi
459000.0,Hyundai,Grand i10,Magna 1.2 Kappa VTVT,2020,manual,petrol,2,7816.0,44119,kochi
378000.0,Tata,Tiago,Revotron XM,2019,manual,petrol,1,6437.0,120256,kochi
589000.0,Tata,Tiago,XZ Plus Dual Tone Roof,2022,manual,petrol,1,10030.0,20238,kochi
675000.0,Tata,Tigor,Revotron XZ+,2023,manual,petrol,1,11494.0,10298,kochi
659000.0,Renault,Kiger,RXZ MT,2022,manual,petrol,1,11222.0,17878,kochi
341000.0,Maruti Suzuki,Celerio,VXI,2014,manual,petrol,1,7318.0,53431,kochi
703194.0,Tata,Nexon,XZ Plus Petrol,2019,manual,petrol,1,11974.0,43246,kochi
